,code,term
178,C349,"Malignant neoplasm: Bronchus or lung, unspecified"
179,C37X,Malignant neoplasm of thymus
180,C38X,"Malignant neoplasm of heart, mediastinum and pleura"
181,C380,Malignant neoplasm: Heart
182,C381,Malignant neoplasm: Anterior mediastinum
183,C382,Malignant neoplasm: Posterior mediastinum
184,C383,"Malignant neoplasm: Mediastinum, part unspecified"
185,C384,Malignant neoplasm: Pleura
186,C388,"Malignant neoplasm: Overlapping lesion of heart, mediastinum and pleura"
187,C39X,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
188,C390,"Malignant neoplasm: Upper respiratory tract, part unspecified"
189,C398,Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs
190,C399,Malignant neoplasm: Ill-defined sites within the respiratory system
191,C40X,Malignant neoplasm of bone and articular cartilage of limbs
192,C40-C41,Malignant neoplasms of bone and articular cartilage
193,C400,Malignant neoplasm: Scapula and long bones of upper limb
194,C401,Malignant neoplasm: Short bones of upper limb
195,C402,Malignant neoplasm: Long bones of lower limb
196,C403,Malignant neoplasm: Short bones of lower limb
197,C408,Malignant neoplasm: Overlapping lesion of bone and articular cartilage of limbs
198,C409,"Malignant neoplasm: Bone and articular cartilage of limb, unspecified"
199,C41X,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
200,C410,Malignant neoplasm: Bones of skull and face
201,C411,Malignant neoplasm: Mandible
202,C412,Malignant neoplasm: Vertebral column
203,C413,"Malignant neoplasm: Ribs, sternum and clavicle"
204,C414,"Malignant neoplasm: Pelvic bones, sacrum and coccyx"
205,C418,Malignant neoplasm: Overlapping lesion of bone and articular cartilage
206,C419,"Malignant neoplasm: Bone and articular cartilage, unspecified"
207,C43X,Malignant melanoma of skin
208,C43-C44,Melanoma and other malignant neoplasms of skin
209,C430,Malignant neoplasm: Malignant melanoma of lip
210,C431,"Malignant neoplasm: Malignant melanoma of eyelid, including canthus"
211,C432,Malignant neoplasm: Malignant melanoma of ear and external auricular canal
212,C433,Malignant neoplasm: Malignant melanoma of other and unspecified parts of face
213,C434,Malignant neoplasm: Malignant melanoma of scalp and neck
214,C435,Malignant neoplasm: Malignant melanoma of trunk
215,C436,"Malignant neoplasm: Malignant melanoma of upper limb, including shoulder"
216,C437,"Malignant neoplasm: Malignant melanoma of lower limb, including hip"
217,C438,Malignant neoplasm: Overlapping malignant melanoma of skin
218,C439,"Malignant neoplasm: Malignant melanoma of skin, unspecified"
219,C44X,Other malignant neoplasms of skin
220,C440,Malignant neoplasm: Skin of lip
221,C441,"Malignant neoplasm: Skin of eyelid, including canthus"
222,C442,Malignant neoplasm: Skin of ear and external auricular canal
223,C443,Malignant neoplasm: Skin of other and unspecified parts of face
224,C444,Malignant neoplasm: Skin of scalp and neck
225,C445,Malignant neoplasm: Skin of trunk
226,C446,"Malignant neoplasm: Skin of upper limb, including shoulder"
227,C447,"Malignant neoplasm: Skin of lower limb, including hip"
228,C448,Malignant neoplasm: Overlapping lesion of skin
229,C449,"Malignant neoplasm: Malignant neoplasm of skin, unspecified"
230,C45X,Mesothelioma
231,C45-C49,Malignant neoplasms of mesothelial and soft tissue
232,C450,Mesothelioma of pleura
233,C451,Mesothelioma of peritoneum
234,C452,Mesothelioma of pericardium
235,C457,Mesothelioma of other sites
236,C459,"Mesothelioma, unspecified"
237,C46X,Kaposi sarcoma
238,C460,Kaposi sarcoma of skin
239,C461,Kaposi sarcoma of soft tissue
240,C462,Kaposi sarcoma of palate
241,C463,Kaposi sarcoma of lymph nodes
242,C467,Kaposi sarcoma of other sites
243,C468,Kaposi sarcoma of multiple organs
244,C469,"Kaposi sarcoma, unspecified"
245,C47X,Malignant neoplasm of peripheral nerves and autonomic nervous system
246,C470,"Malignant neoplasm: Peripheral nerves of head, face and neck"
247,C471,"Malignant neoplasm: Peripheral nerves of upper limb, including shoulder"
248,C472,"Malignant neoplasm: Peripheral nerves of lower limb, including hip"
249,C473,Malignant neoplasm: Peripheral nerves of thorax
250,C474,Malignant neoplasm: Peripheral nerves of abdomen
251,C475,Malignant neoplasm: Peripheral nerves of pelvis
252,C476,"Malignant neoplasm: Peripheral nerves of trunk, unspecified"
253,C478,Malignant neoplasm: Overlapping lesion of peripheral nerves and autonomic nervous system
254,C479,"Malignant neoplasm: Peripheral nerves and autonomic nervous system, unspecified"
255,C48X,Malignant neoplasm of retroperitoneum and peritoneum
256,C480,Malignant neoplasm: Retroperitoneum
257,C481,Malignant neoplasm: Specified parts of peritoneum
258,C482,"Malignant neoplasm: Peritoneum, unspecified"
259,C488,Malignant neoplasm: Overlapping lesion of retroperitoneum and peritoneum
260,C49X,Malignant neoplasm of other connective and soft tissue
261,C490,"Malignant neoplasm: Connective and soft tissue of head, face and neck"
262,C491,"Malignant neoplasm: Connective and soft tissue of upper limb, including shoulder"
263,C492,"Malignant neoplasm: Connective and soft tissue of lower limb, including hip"
264,C493,Malignant neoplasm: Connective and soft tissue of thorax
265,C494,Malignant neoplasm: Connective and soft tissue of abdomen
266,C495,Malignant neoplasm: Connective and soft tissue of pelvis
267,C496,"Malignant neoplasm: Connective and soft tissue of trunk, unspecified"
268,C498,Malignant neoplasm: Overlapping lesion of connective and soft tissue
269,C499,"Malignant neoplasm: Connective and soft tissue, unspecified"
270,C50X,Malignant neoplasm of breast
271,C50-C50,Malignant neoplasm of breast
272,C500,Malignant neoplasm: Nipple and areola
273,C501,Malignant neoplasm: Central portion of breast
274,C502,Malignant neoplasm: Upper-inner quadrant of breast
275,C503,Malignant neoplasm: Lower-inner quadrant of breast
276,C504,Malignant neoplasm: Upper-outer quadrant of breast
277,C505,Malignant neoplasm: Lower-outer quadrant of breast
278,C506,Malignant neoplasm: Axillary tail of breast
279,C508,Malignant neoplasm: Overlapping lesion of breast
280,C509,"Malignant neoplasm: Breast, unspecified"
281,C51X,Malignant neoplasm of vulva
282,C51-C58,Malignant neoplasms of female genital organs
283,C510,Malignant neoplasm: Labium majus
284,C511,Malignant neoplasm: Labium minus
285,C512,Malignant neoplasm: Clitoris
286,C518,Malignant neoplasm: Overlapping lesion of vulva
287,C519,"Malignant neoplasm: Vulva, unspecified"
288,C52X,Malignant neoplasm of vagina
289,C53X,Malignant neoplasm of cervix uteri
290,C530,Malignant neoplasm: Endocervix
291,C531,Malignant neoplasm: Exocervix
292,C538,Malignant neoplasm: Overlapping lesion of cervix uteri
293,C539,"Malignant neoplasm: Cervix uteri, unspecified"
294,C54X,Malignant neoplasm of corpus uteri
295,C540,Malignant neoplasm: Isthmus uteri
296,C541,Malignant neoplasm: Endometrium
297,C542,Malignant neoplasm: Myometrium
298,C543,Malignant neoplasm: Fundus uteri
299,C548,Malignant neoplasm: Overlapping lesion of corpus uteri
300,C549,"Malignant neoplasm: Corpus uteri, unspecified"
301,C55X,"Malignant neoplasm of uterus, part unspecified"
302,C56X,Malignant neoplasm of ovary
303,C57X,Malignant neoplasm of other and unspecified female genital organs
304,C570,Malignant neoplasm: Fallopian tube
305,C571,Malignant neoplasm: Broad ligament
306,C572,Malignant neoplasm: Round ligament
307,C573,Malignant neoplasm: Parametrium
308,C574,"Malignant neoplasm: Uterine adnexa, unspecified"
309,C577,Malignant neoplasm: Other specified female genital organs
310,C578,Malignant neoplasm: Overlapping lesion of female genital organs
311,C579,"Malignant neoplasm: Female genital organ, unspecified"
312,C58X,Malignant neoplasm of placenta
313,C60X,Malignant neoplasm of penis
314,C60-C63,Malignant neoplasms of male genital organs
315,C600,Malignant neoplasm: Prepuce
316,C601,Malignant neoplasm: Glans penis
317,C602,Malignant neoplasm: Body of penis
318,C608,Malignant neoplasm: Overlapping lesion of penis
319,C609,"Malignant neoplasm: Penis, unspecified"
320,C61X,Malignant neoplasm of prostate
321,C62X,Malignant neoplasm of testis
322,C620,Malignant neoplasm: Undescended testis
323,C621,Malignant neoplasm: Descended testis
324,C629,"Malignant neoplasm: Testis, unspecified"
325,C63X,Malignant neoplasm of other and unspecified male genital organs
326,C630,Malignant neoplasm: Epididymis
327,C631,Malignant neoplasm: Spermatic cord
328,C632,Malignant neoplasm: Scrotum
329,C637,Malignant neoplasm: Other specified male genital organs
330,C638,Malignant neoplasm: Overlapping lesion of male genital organs
331,C639,"Malignant neoplasm: Male genital organ, unspecified"
332,C64X,"Malignant neoplasm of kidney, except renal pelvis"
333,C64-C68,Malignant neoplasms of urinary tract
334,C65X,Malignant neoplasm of renal pelvis
335,C66X,Malignant neoplasm of ureter
336,C67X,Malignant neoplasm of bladder
337,C670,Malignant neoplasm: Trigone of bladder
338,C671,Malignant neoplasm: Dome of bladder
339,C672,Malignant neoplasm: Lateral wall of bladder
340,C673,Malignant neoplasm: Anterior wall of bladder
341,C674,Malignant neoplasm: Posterior wall of bladder
342,C675,Malignant neoplasm: Bladder neck
343,C676,Malignant neoplasm: Ureteric orifice
344,C677,Malignant neoplasm: Urachus
345,C678,Malignant neoplasm: Overlapping lesion of bladder
346,C679,"Malignant neoplasm: Bladder, unspecified"
347,C68X,Malignant neoplasm of other and unspecified urinary organs
348,C680,Malignant neoplasm: Urethra
349,C681,Malignant neoplasm: Paraurethral gland
350,C688,Malignant neoplasm: Overlapping lesion of urinary organs
351,C689,"Malignant neoplasm: Urinary organ, unspecified"
352,C69X,Malignant neoplasm of eye and adnexa
353,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system"
354,C690,Malignant neoplasm: Conjunctiva
355,C691,Malignant neoplasm: Cornea
356,C692,Malignant neoplasm: Retina
357,C693,Malignant neoplasm: Choroid
358,C694,Malignant neoplasm: Ciliary body
359,C695,Malignant neoplasm: Lacrimal gland and duct
360,C696,Malignant neoplasm: Orbit
361,C698,Malignant neoplasm: Overlapping lesion of eye and adnexa
362,C699,"Malignant neoplasm: Eye, unspecified"
363,C70X,Malignant neoplasm of meninges
364,C700,Malignant neoplasm: Cerebral meninges
365,C701,Malignant neoplasm: Spinal meninges
366,C709,"Malignant neoplasm: Meninges, unspecified"
367,C71X,Malignant neoplasm of brain
368,C710,"Malignant neoplasm: Cerebrum, except lobes and ventricles"
369,C711,Malignant neoplasm: Frontal lobe
370,C712,Malignant neoplasm: Temporal lobe
371,C713,Malignant neoplasm: Parietal lobe
372,C714,Malignant neoplasm: Occipital lobe
373,C715,Malignant neoplasm: Cerebral ventricle
374,C716,Malignant neoplasm: Cerebellum
375,C717,Malignant neoplasm: Brain stem
376,C718,Malignant neoplasm: Overlapping lesion of brain
377,C719,"Malignant neoplasm: Brain, unspecified"
378,C72X,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
379,C720,Malignant neoplasm: Spinal cord
380,C721,Malignant neoplasm: Cauda equina
381,C722,Malignant neoplasm: Olfactory nerve
382,C723,Malignant neoplasm: Optic nerve
383,C724,Malignant neoplasm: Acoustic nerve
384,C725,Malignant neoplasm: Other and unspecified cranial nerves
385,C728,Malignant neoplasm: Overlapping lesion of brain and other parts of central nervous system
386,C729,"Malignant neoplasm: Central nervous system, unspecified"
387,C73X,Malignant neoplasm of thyroid gland
388,C73-C75,Malignant neoplasms of thyroid and other endocrine glands
389,C74X,Malignant neoplasm of adrenal gland
390,C740,Malignant neoplasm: Cortex of adrenal gland
391,C741,Malignant neoplasm: Medulla of adrenal gland
392,C749,"Malignant neoplasm: Adrenal gland, unspecified"
393,C75X,Malignant neoplasm of other endocrine glands and related structures
394,C750,Malignant neoplasm: Parathyroid gland
395,C751,Malignant neoplasm: Pituitary gland
396,C752,Malignant neoplasm: Craniopharyngeal duct
397,C753,Malignant neoplasm: Pineal gland
398,C754,Malignant neoplasm: Carotid body
399,C755,Malignant neoplasm: Aortic body and other paraganglia
400,C758,"Malignant neoplasm: Pluriglandular involvement, unspecified"
401,C759,"Malignant neoplasm: Endocrine gland, unspecified"
402,C76X,Malignant neoplasm of other and ill-defined sites
403,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
404,C760,"Malignant neoplasm of other and ill-defined sites: Head, face and neck"
405,C761,Malignant neoplasm of other and ill-defined sites: Thorax
406,C762,Malignant neoplasm of other and ill-defined sites: Abdomen
407,C763,Malignant neoplasm of other and ill-defined sites: Pelvis
408,C764,Malignant neoplasm of other and ill-defined sites: Upper limb
409,C765,Malignant neoplasm of other and ill-defined sites: Lower limb
410,C767,Malignant neoplasm of other and ill-defined sites: Other ill-defined sites
411,C768,Malignant neoplasm of other and ill-defined sites: Overlapping lesion of other and ill-defined sites
412,C77X,Secondary and unspecified malignant neoplasm of lymph nodes
413,C770,"Secondary and unspecified malignant neoplasm: Lymph nodes of head, face and neck"
414,C771,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes
415,C772,Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes
416,C773,Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes
417,C774,Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes
418,C775,Secondary and unspecified malignant neoplasm: Intrapelvic lymph nodes
419,C778,Secondary and unspecified malignant neoplasm: Lymph nodes of multiple regions
420,C779,"Secondary and unspecified malignant neoplasm: Lymph node, unspecified"
421,C78X,Secondary malignant neoplasm of respiratory and digestive organs
422,C780,Secondary malignant neoplasm of lung
423,C781,Secondary malignant neoplasm of mediastinum
424,C782,Secondary malignant neoplasm of pleura
425,C783,Secondary malignant neoplasm of other and unspecified respiratory organs
426,C784,Secondary malignant neoplasm of small intestine
427,C785,Secondary malignant neoplasm of large intestine and rectum
428,C786,Secondary malignant neoplasm of retroperitoneum and peritoneum
429,C787,Secondary malignant neoplasm of liver and intrahepatic bile duct
430,C788,Secondary malignant neoplasm of other and unspecified digestive organs
431,C79X,Secondary malignant neoplasm of other and unspecified sites
432,C790,Secondary malignant neoplasm of kidney and renal pelvis
433,C791,Secondary malignant neoplasm of bladder and other and unspecified urinary organs
434,C792,Secondary malignant neoplasm of skin
435,C793,Secondary malignant neoplasm of brain and cerebral meninges
436,C794,Secondary malignant neoplasm of other and unspecified parts of nervous system
437,C795,Secondary malignant neoplasm of bone and bone marrow
438,C796,Secondary malignant neoplasm of ovary
439,C797,Secondary malignant neoplasm of adrenal gland
440,C798,Secondary malignant neoplasm of other specified sites
441,C799,"Secondary malignant neoplasm, unspecified site"
442,C80X,"Malignant neoplasm, without specification of site"
443,C800,"Malignant neoplasm, primary site unknown, so stated"
444,C809,"Malignant neoplasm, primary site unspecified"
445,C81X,Hodgkin lymphoma
446,C81-C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
447,C810,Nodular lymphocyte predominant Hodgkin lymphoma
448,C811,Nodular sclerosis classical Hodgkin lymphoma
449,C812,Mixed cellularity classical Hodgkin lymphoma
450,C813,Lymphocyte depleted classical Hodgkin lymphoma
451,C814,Lymphocyte-rich (classical) Hodgkin lymphoma
452,C817,Other classical Hodgkin lymphoma
453,C819,"Hodgkin lymphoma, unspecified"
454,C82X,Follicular lymphoma
455,C820,Follicular lymphoma grade I
456,C821,Follicular lymphoma grade II
457,C822,"Follicular lymphoma grade III, unspecified"
458,C823,Follicular lymphoma grade IIIa
459,C824,Follicular lymphoma grade IIIb
460,C825,Diffuse follicle centre lymphoma
461,C826,Cutaneous follicle centre lymphoma
462,C827,Other types of follicular lymphoma
463,C829,"Follicular lymphoma, unspecified"
464,C83X,Non-follicular lymphoma
465,C830,Small cell B-cell lymphoma
466,C831,Mantle cell lymphoma
467,C833,Diffuse large B-cell lymphoma
468,C835,Lymphoblastic (diffuse) lymphoma
469,C837,Burkitt lymphoma
470,C838,Other non-follicular lymphoma
471,C839,"Non-follicular (diffuse) lymphoma, unspecified"
472,C84X,Mature T/NK-cell lymphomas
473,C840,Mycosis fungoides
474,C841,Sézary disease
475,C844,"Peripheral T-cell lymphoma, not elsewhere classified"
476,C845,Other mature T/NK-cell lymphomas
477,C846,"Anaplastic large cell lymphoma, ALK-positive"
478,C847,"Anaplastic large cell lymphoma, ALK-negative"
479,C848,"Cutaneous T-cell lymphoma, unspecified"
480,C849,"Mature T/NK-cell lymphoma, unspecified"
481,C85X,Other and unspecified types of non-Hodgkin lymphoma
482,C851,"B-cell lymphoma, unspecified"
483,C852,Mediastinal (thymic) large B-cell lymphoma
484,C857,Other specified types of non-Hodgkin lymphoma
485,C859,"Non-Hodgkin lymphoma, unspecified"
486,C86X,Other specified types of T/NK-cell lymphoma
487,C860,"Extranodal NK/T-cell lymphoma, nasal type"
488,C861,Hepatosplenic T-cell lymphoma
489,C862,Enteropathy-type (intestinal) T-cell lymphoma
490,C863,Subcutaneous panniculitis-like T-cell lymphoma
491,C864,Blastic NK-cell lymphoma
492,C865,Angioimmunoblastic T-cell lymphoma
493,C866,Primary cutaneous CD30-positive T-cell proliferations
494,C88X,Malignant immunoproliferative diseases
495,C880,Waldenström macroglobulinaemia
496,C882,Other heavy chain disease
497,C883,Immunoproliferative small intestinal disease
498,C884,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lyphoma]
499,C887,Other malignant immunoproliferative diseases
500,C889,"Malignant immunoproliferative disease, unspecified"
501,C90X,Multiple myeloma and malignant plasma cell neoplasms
502,C900,Multiple myeloma
503,C901,Plasma cell leukaemia
504,C902,Extramedullary plasmacytoma
505,C903,Solitary plasmacytoma
506,C91X,Lymphoid leukaemia
507,C910,Acute lymphoblastic leukaemia [ALL]
508,C911,Chronic lymphocytic leukaemia of B-cell type
509,C913,Prolymphocytic leukaemia of B-cell type
510,C914,Hairy-cell leukaemia
511,C915,Adult T-cell lymphoma/leukaemia [HTLV-1-associated]
512,C916,Prolymphocytic leukaemia of T-cell type
513,C917,Other lymphoid leukaemia
514,C918,Mature B-cell leukaemia Burkitt-type
515,C919,"Lymphoid leukaemia, unspecified"
516,C92X,Myeloid leukaemia
517,C920,Acute myeloblastic leukaemia [AML]
518,C921,"Chronic myeloid leukaemia [CML], BCR/ABL-positive"
519,C922,"Atypical chronic myeloid leukaemia, BCR/ABL- negative"
520,C923,Myeloid sarcoma
521,C924,Acute promyelocytic leukaemia [PML]
522,C925,Acute myelomonocytic leukaemia
523,C926,Acute myeloid leukaemia with 11q23-abnormality
524,C927,Other myeloid leukaemia
525,C928,Acute myeloid leukaemia with multilineage dysplasia
526,C929,"Myeloid leukaemia, unspecified"
527,C93X,Monocytic leukaemia
528,C930,Acute monoblastic/monocytic leukaemia
529,C931,Chronic myelomonocytic leukaemia
530,C933,Juvenile myelomonocytic leukaemia
531,C937,Other monocytic leukaemia
532,C939,"Monocytic leukaemia, unspecified"
