,code,term
0,C00X,Malignant neoplasm of lip
1,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx"
2,C00-C75,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue"
3,C00-C97,Malignant neoplasms
4,C000,Malignant neoplasm: External upper lip
5,C001,Malignant neoplasm: External lower lip
6,C002,"Malignant neoplasm: External lip, unspecified"
7,C003,"Malignant neoplasm: Upper lip, inner aspect"
8,C004,"Malignant neoplasm: Lower lip, inner aspect"
9,C005,"Malignant neoplasm: Lip, unspecified, inner aspect"
10,C006,Malignant neoplasm: Commissure of lip
11,C008,Malignant neoplasm: Overlapping lesion of lip
12,C009,"Malignant neoplasm: Lip, unspecified"
13,C01X,Malignant neoplasm of base of tongue
14,C02X,Malignant neoplasm of other and unspecified parts of tongue
15,C020,Malignant neoplasm: Dorsal surface of tongue
16,C021,Malignant neoplasm: Border of tongue
17,C022,Malignant neoplasm: Ventral surface of tongue
18,C023,"Malignant neoplasm: Anterior two-thirds of tongue, part unspecified"
19,C024,Malignant neoplasm: Lingual tonsil
20,C028,Malignant neoplasm: Overlapping lesion of tongue
21,C029,"Malignant neoplasm: Tongue, unspecified"
22,C03X,Malignant neoplasm of gum
23,C030,Malignant neoplasm: Upper gum
24,C031,Malignant neoplasm: Lower gum
25,C039,"Malignant neoplasm: Gum, unspecified"
26,C04X,Malignant neoplasm of floor of mouth
27,C040,Malignant neoplasm: Anterior floor of mouth
28,C041,Malignant neoplasm: Lateral floor of mouth
29,C048,Malignant neoplasm: Overlapping lesion of floor of mouth
30,C049,"Malignant neoplasm: Floor of mouth, unspecified"
31,C05X,Malignant neoplasm of palate
32,C050,Malignant neoplasm: Hard palate
33,C051,Malignant neoplasm: Soft palate
34,C052,Malignant neoplasm: Uvula
35,C058,Malignant neoplasm: Overlapping lesion of palate
36,C059,"Malignant neoplasm: Palate, unspecified"
37,C06X,Malignant neoplasm of other and unspecified parts of mouth
38,C060,Malignant neoplasm: Cheek mucosa
39,C061,Malignant neoplasm: Vestibule of mouth
40,C062,Malignant neoplasm: Retromolar area
41,C068,Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth
42,C069,"Malignant neoplasm: Mouth, unspecified"
43,C07X,Malignant neoplasm of parotid gland
44,C08X,Malignant neoplasm of other and unspecified major salivary glands
45,C080,Malignant neoplasm: Submandibular gland
46,C081,Malignant neoplasm: Sublingual gland
47,C088,Malignant neoplasm: Overlapping lesion of major salivary glands
48,C089,"Malignant neoplasm: Major salivary gland, unspecified"
49,C09X,Malignant neoplasm of tonsil
50,C090,Malignant neoplasm: Tonsillar fossa
51,C091,Malignant neoplasm: Tonsillar pillar (anterior)(posterior)
52,C098,Malignant neoplasm: Overlapping lesion of tonsil
53,C099,"Malignant neoplasm: Tonsil, unspecified"
54,C10X,Malignant neoplasm of oropharynx
55,C100,Malignant neoplasm: Vallecula
56,C101,Malignant neoplasm: Anterior surface of epiglottis
57,C102,Malignant neoplasm: Lateral wall of oropharynx
58,C103,Malignant neoplasm: Posterior wall of oropharynx
59,C104,Malignant neoplasm: Branchial cleft
60,C108,Malignant neoplasm: Overlapping lesion of oropharynx
61,C109,"Malignant neoplasm: Oropharynx, unspecified"
62,C11X,Malignant neoplasm of nasopharynx
63,C110,Malignant neoplasm: Superior wall of nasopharynx
64,C111,Malignant neoplasm: Posterior wall of nasopharynx
65,C112,Malignant neoplasm: Lateral wall of nasopharynx
66,C113,Malignant neoplasm: Anterior wall of nasopharynx
67,C118,Malignant neoplasm: Overlapping lesion of nasopharynx
68,C119,"Malignant neoplasm: Nasopharynx, unspecified"
69,C12X,Malignant neoplasm of piriform sinus
70,C13X,Malignant neoplasm of hypopharynx
71,C130,Malignant neoplasm: Postcricoid region
72,C131,"Malignant neoplasm: Aryepiglottic fold, hypopharyngeal aspect"
73,C132,Malignant neoplasm: Posterior wall of hypopharynx
74,C138,Malignant neoplasm: Overlapping lesion of hypopharynx
75,C139,"Malignant neoplasm: Hypopharynx, unspecified"
76,C14X,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
77,C140,"Malignant neoplasm: Pharynx, unspecified"
78,C142,Malignant neoplasm: Waldeyer ring
79,C148,"Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx"
80,C15X,Malignant neoplasm of oesophagus
81,C15-C26,Malignant neoplasms of digestive organs
82,C150,Malignant neoplasm: Cervical part of oesophagus
83,C151,Malignant neoplasm: Thoracic part of oesophagus
84,C152,Malignant neoplasm: Abdominal part of oesophagus
85,C153,Malignant neoplasm: Upper third of oesophagus
86,C154,Malignant neoplasm: Middle third of oesophagus
87,C155,Malignant neoplasm: Lower third of oesophagus
88,C158,Malignant neoplasm: Overlapping lesion of oesophagus
89,C159,"Malignant neoplasm: Oesophagus, unspecified"
90,C16X,Malignant neoplasm of stomach
91,C160,Malignant neoplasm: Cardia
92,C161,Malignant neoplasm: Fundus of stomach
93,C162,Malignant neoplasm: Body of stomach
94,C163,Malignant neoplasm: Pyloric antrum
95,C164,Malignant neoplasm: Pylorus
96,C165,"Malignant neoplasm: Lesser curvature of stomach, unspecified"
97,C166,"Malignant neoplasm: Greater curvature of stomach, unspecified"
98,C168,Malignant neoplasm: Overlapping lesion of stomach
99,C169,"Malignant neoplasm: Stomach, unspecified"
100,C17X,Malignant neoplasm of small intestine
101,C170,Malignant neoplasm: Duodenum
102,C171,Malignant neoplasm: Jejunum
103,C172,Malignant neoplasm: Ileum
104,C173,Malignant neoplasm: Meckel diverticulum
105,C178,Malignant neoplasm: Overlapping lesion of small intestine
106,C179,"Malignant neoplasm: Small intestine, unspecified"
107,C18X,Malignant neoplasm of colon
108,C180,Malignant neoplasm: Caecum
109,C181,Malignant neoplasm: Appendix
110,C182,Malignant neoplasm: Ascending colon
111,C183,Malignant neoplasm: Hepatic flexure
112,C184,Malignant neoplasm: Transverse colon
113,C185,Malignant neoplasm: Splenic flexure
114,C186,Malignant neoplasm: Descending colon
115,C187,Malignant neoplasm: Sigmoid colon
116,C188,Malignant neoplasm: Overlapping lesion of colon
117,C189,"Malignant neoplasm: Colon, unspecified"
118,C19X,Malignant neoplasm of rectosigmoid junction
119,C20X,Malignant neoplasm of rectum
120,C21X,Malignant neoplasm of anus and anal canal
121,C210,"Malignant neoplasm: Anus, unspecified"
122,C211,Malignant neoplasm: Anal canal
123,C212,Malignant neoplasm: Cloacogenic zone
124,C218,"Malignant neoplasm: Overlapping lesion of rectum, anus and anal canal"
125,C22X,Malignant neoplasm of liver and intrahepatic bile ducts
126,C220,Malignant neoplasm: Liver cell carcinoma
127,C221,Malignant neoplasm: Intrahepatic bile duct carcinoma
128,C222,Malignant neoplasm: Hepatoblastoma
129,C223,Malignant neoplasm: Angiosarcoma of liver
130,C224,Malignant neoplasm: Other sarcomas of liver
131,C227,Malignant neoplasm: Other specified carcinomas of liver
132,C229,"Malignant neoplasm: Liver, unspecified"
133,C23X,Malignant neoplasm of gallbladder
134,C24X,Malignant neoplasm of other and unspecified parts of biliary tract
135,C240,Malignant neoplasm: Extrahepatic bile duct
136,C241,Malignant neoplasm: Ampulla of Vater
137,C248,Malignant neoplasm: Overlapping lesion of biliary tract
138,C249,"Malignant neoplasm: Biliary tract, unspecified"
139,C25X,Malignant neoplasm of pancreas
140,C250,Malignant neoplasm: Head of pancreas
141,C251,Malignant neoplasm: Body of pancreas
142,C252,Malignant neoplasm: Tail of pancreas
143,C253,Malignant neoplasm: Pancreatic duct
144,C254,Malignant neoplasm: Endocrine pancreas
145,C257,Malignant neoplasm: Other parts of pancreas
146,C258,Malignant neoplasm: Overlapping lesion of pancreas
147,C259,"Malignant neoplasm: Pancreas, unspecified"
148,C26X,Malignant neoplasm of other and ill-defined digestive organs
149,C260,"Malignant neoplasm: Intestinal tract, part unspecified"
150,C261,Malignant neoplasm: Spleen
151,C268,Malignant neoplasm: Overlapping lesion of digestive system
152,C269,Malignant neoplasm: Ill-defined sites within the digestive system
153,C30X,Malignant neoplasm of nasal cavity and middle ear
154,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs
155,C300,Malignant neoplasm: Nasal cavity
156,C301,Malignant neoplasm: Middle ear
157,C31X,Malignant neoplasm of accessory sinuses
158,C310,Malignant neoplasm: Maxillary sinus
159,C311,Malignant neoplasm: Ethmoidal sinus
160,C312,Malignant neoplasm: Frontal sinus
161,C313,Malignant neoplasm: Sphenoidal sinus
162,C318,Malignant neoplasm: Overlapping lesion of accessory sinuses
163,C319,"Malignant neoplasm: Accessory sinus, unspecified"
164,C32X,Malignant neoplasm of larynx
165,C320,Malignant neoplasm: Glottis
166,C321,Malignant neoplasm: Supraglottis
167,C322,Malignant neoplasm: Subglottis
168,C323,Malignant neoplasm: Laryngeal cartilage
169,C328,Malignant neoplasm: Overlapping lesion of larynx
170,C329,"Malignant neoplasm: Larynx, unspecified"
171,C33X,Malignant neoplasm of trachea
172,C34X,Malignant neoplasm of bronchus and lung
173,C340,Malignant neoplasm: Main bronchus
174,C341,"Malignant neoplasm: Upper lobe, bronchus or lung"
175,C342,"Malignant neoplasm: Middle lobe, bronchus or lung"
176,C343,"Malignant neoplasm: Lower lobe, bronchus or lung"
177,C348,Malignant neoplasm: Overlapping lesion of bronchus and lung
