,date,ethnicity,CVD,population,"European Standard population rate per 100,000"
0,2018-12-31,1.0,4038.0,16694485.0,23.314999999999998
1,2018-12-31,2.0,31.0,342627.0,21.470000000000002
2,2018-12-31,3.0,236.0,1519660.0,28.865000000000002
3,2018-12-31,4.0,64.0,504971.0,24.74
4,2018-12-31,5.0,33.0,463472.0,13.930000000000001
5,2019-01-07,1.0,5272.0,16706245.0,30.249999999999996
6,2019-01-07,2.0,34.0,343103.0,26.41
7,2019-01-07,3.0,284.0,1521299.0,34.824999999999996
8,2019-01-07,4.0,79.0,505551.0,25.745
9,2019-01-07,5.0,65.0,464257.0,26.309999999999995
10,2019-01-14,1.0,5119.0,16721549.0,29.510000000000005
11,2019-01-14,2.0,50.0,343818.0,42.375
12,2019-01-14,3.0,283.0,1523563.0,34.62
13,2019-01-14,4.0,83.0,506389.0,26.540000000000003
14,2019-01-14,5.0,49.0,465382.0,22.605000000000004
15,2019-01-21,1.0,5331.0,16735714.0,30.455
16,2019-01-21,2.0,31.0,344511.0,20.544999999999998
17,2019-01-21,3.0,294.0,1525526.0,37.21
18,2019-01-21,4.0,76.0,507348.0,29.049999999999997
19,2019-01-21,5.0,57.0,466427.0,26.820000000000004
20,2019-01-28,1.0,5077.0,16749978.0,29.17
21,2019-01-28,2.0,40.0,345179.0,38.315
22,2019-01-28,3.0,288.0,1527649.0,34.525
23,2019-01-28,4.0,74.0,508236.0,28.735000000000003
24,2019-01-28,5.0,41.0,467416.0,20.285
25,2019-02-04,1.0,5199.0,16763135.0,29.760000000000005
26,2019-02-04,2.0,37.0,345771.0,31.825
27,2019-02-04,3.0,318.0,1529854.0,38.065
28,2019-02-04,4.0,86.0,509057.0,29.565
29,2019-02-04,5.0,60.0,468430.0,24.240000000000002
30,2019-02-11,1.0,5297.0,16775894.0,30.240000000000006
31,2019-02-11,2.0,30.0,346373.0,28.255000000000003
32,2019-02-11,3.0,287.0,1532049.0,33.97
33,2019-02-11,4.0,67.0,509798.0,25.37
34,2019-02-11,5.0,60.0,469456.0,28.06
35,2019-02-18,1.0,4914.0,16788659.0,28.175000000000004
36,2019-02-18,2.0,38.0,346999.0,35.735
37,2019-02-18,3.0,307.0,1534326.0,39.22
38,2019-02-18,4.0,96.0,510604.0,36.335
39,2019-02-18,5.0,52.0,470444.0,22.95
40,2019-02-25,1.0,5220.0,16801908.0,29.785
41,2019-02-25,2.0,40.0,347591.0,31.53
42,2019-02-25,3.0,274.0,1536522.0,33.655
43,2019-02-25,4.0,84.0,511431.0,34.45
44,2019-02-25,5.0,55.0,471411.0,22.3
45,2019-03-04,1.0,5500.0,16814678.0,31.255000000000003
46,2019-03-04,2.0,35.0,348151.0,29.12
47,2019-03-04,3.0,335.0,1538576.0,40.34
48,2019-03-04,4.0,81.0,512130.0,25.555
49,2019-03-04,5.0,67.0,472286.0,28.675000000000004
50,2019-03-11,1.0,5321.0,16828418.0,30.235000000000003
51,2019-03-11,2.0,29.0,348742.0,24.080000000000002
52,2019-03-11,3.0,331.0,1540670.0,39.625
53,2019-03-11,4.0,87.0,512917.0,30.380000000000003
54,2019-03-11,5.0,69.0,473262.0,30.490000000000002
55,2019-03-18,1.0,5347.0,16840584.0,30.300000000000004
56,2019-03-18,2.0,26.0,349324.0,21.490000000000002
57,2019-03-18,3.0,313.0,1542658.0,38.294999999999995
58,2019-03-18,4.0,79.0,513655.0,25.445
59,2019-03-18,5.0,52.0,474144.0,23.965000000000003
60,2019-03-25,1.0,5181.0,16855682.0,29.475
61,2019-03-25,2.0,38.0,349930.0,26.44
62,2019-03-25,3.0,307.0,1544654.0,36.845
63,2019-03-25,4.0,86.0,514468.0,31.764999999999997
64,2019-03-25,5.0,73.0,475138.0,33.080000000000005
65,2019-04-01,1.0,5466.0,16865006.0,30.89
66,2019-04-01,2.0,37.0,350461.0,26.960000000000004
67,2019-04-01,3.0,294.0,1546544.0,36.215
68,2019-04-01,4.0,83.0,515218.0,29.060000000000002
69,2019-04-01,5.0,57.0,475923.0,26.5
70,2019-04-08,1.0,5184.0,16879564.0,29.41
71,2019-04-08,2.0,44.0,351139.0,37.645
72,2019-04-08,3.0,288.0,1548792.0,35.915
73,2019-04-08,4.0,84.0,516110.0,29.400000000000006
74,2019-04-08,5.0,42.0,476847.0,18.080000000000002
75,2019-04-15,1.0,4595.0,16891073.0,26.000000000000004
76,2019-04-15,2.0,32.0,351702.0,21.740000000000006
77,2019-04-15,3.0,273.0,1550822.0,35.035000000000004
78,2019-04-15,4.0,73.0,516944.0,25.455
79,2019-04-15,5.0,61.0,477699.0,28.66
80,2019-04-22,1.0,4920.0,16898167.0,27.945000000000004
81,2019-04-22,2.0,33.0,352092.0,23.875
82,2019-04-22,3.0,303.0,1551889.0,38.155
83,2019-04-22,4.0,72.0,517365.0,21.71
84,2019-04-22,5.0,54.0,478158.0,26.835000000000004
85,2019-04-29,1.0,5297.0,16910956.0,29.935000000000002
86,2019-04-29,2.0,41.0,352691.0,27.564999999999998
87,2019-04-29,3.0,310.0,1553968.0,38.05500000000001
88,2019-04-29,4.0,104.0,518224.0,32.53
89,2019-04-29,5.0,61.0,479031.0,25.845000000000002
90,2019-05-06,1.0,5008.0,16920982.0,28.365
91,2019-05-06,2.0,25.0,353170.0,17.46
92,2019-05-06,3.0,297.0,1555691.0,38.36
93,2019-05-06,4.0,93.0,518844.0,33.230000000000004
94,2019-05-06,5.0,58.0,479719.0,26.005
