,date,ethnicity,population,disease,"European Standard population rate per 100,000"
0,2018-12-31,1.0,16694485.0,19899.0,115.63056533027941
1,2018-12-31,2.0,342627.0,210.0,97.56465036074903
2,2018-12-31,3.0,1519660.0,1061.0,101.99647853976684
3,2018-12-31,4.0,504971.0,318.0,91.1040301419158
4,2018-12-31,5.0,463472.0,222.0,75.97899712127334
5,2019-01-07,1.0,16706245.0,23601.0,136.30155167723527
6,2019-01-07,2.0,343103.0,219.0,108.7438737199109
7,2019-01-07,3.0,1521299.0,1238.0,119.38225952851917
8,2019-01-07,4.0,505551.0,420.0,118.33276038513334
9,2019-01-07,5.0,464257.0,315.0,107.86313584571849
10,2019-01-14,1.0,16721549.0,22582.0,130.40300812024094
11,2019-01-14,2.0,343818.0,250.0,129.33253716377646
12,2019-01-14,3.0,1523563.0,1213.0,116.67886655164222
13,2019-01-14,4.0,506389.0,408.0,113.27838654777311
14,2019-01-14,5.0,465382.0,273.0,87.97644117605637
15,2019-01-21,1.0,16735714.0,22957.0,132.63977391421923
16,2019-01-21,2.0,344511.0,239.0,92.9780608705803
17,2019-01-21,3.0,1525526.0,1231.0,119.79377646481649
18,2019-01-21,4.0,507348.0,387.0,110.58794537121797
19,2019-01-21,5.0,466427.0,291.0,95.84297503782268
20,2019-01-28,1.0,16749978.0,22816.0,131.66268717177365
21,2019-01-28,2.0,345179.0,258.0,122.36099165724885
22,2019-01-28,3.0,1527649.0,1244.0,116.55793778008263
23,2019-01-28,4.0,508236.0,372.0,107.41044737195553
24,2019-01-28,5.0,467416.0,264.0,88.82151118985333
25,2019-02-04,1.0,16763135.0,23414.0,134.7682173639154
26,2019-02-04,2.0,345771.0,228.0,105.84061592883621
27,2019-02-04,3.0,1529854.0,1273.0,125.46922856069286
28,2019-02-04,4.0,509057.0,406.0,115.42215648101322
29,2019-02-04,5.0,468430.0,313.0,98.90448823976325
30,2019-02-11,1.0,16775894.0,23150.0,133.06491730818436
31,2019-02-11,2.0,346373.0,235.0,110.22154796982947
32,2019-02-11,3.0,1532049.0,1207.0,116.77090799703882
33,2019-02-11,4.0,509798.0,400.0,112.56009749458119
34,2019-02-11,5.0,469456.0,293.0,99.86961134399681
35,2019-02-18,1.0,16788659.0,21873.0,125.60062152446298
36,2019-02-18,2.0,346999.0,246.0,131.99453402022695
37,2019-02-18,3.0,1534326.0,1181.0,115.53468492517045
38,2019-02-18,4.0,510604.0,391.0,112.09793884573695
39,2019-02-18,5.0,470444.0,257.0,87.21755497540524
40,2019-02-25,1.0,16801908.0,21901.0,125.68075869228923
41,2019-02-25,2.0,347591.0,236.0,108.48647057107316
42,2019-02-25,3.0,1536522.0,1132.0,113.11319084399351
43,2019-02-25,4.0,511431.0,399.0,121.589157850539
44,2019-02-25,5.0,471411.0,280.0,90.57051686302957
45,2019-03-04,1.0,16814678.0,22384.0,127.98475470013588
46,2019-03-04,2.0,348151.0,236.0,117.87387795485286
47,2019-03-04,3.0,1538576.0,1157.0,111.73207417687725
48,2019-03-04,4.0,512130.0,407.0,110.42359012741248
49,2019-03-04,5.0,472286.0,291.0,97.0150041985064
50,2019-03-11,1.0,16828418.0,22381.0,127.69154486021537
51,2019-03-11,2.0,348742.0,218.0,97.0363985531492
52,2019-03-11,3.0,1540670.0,1226.0,116.74167228376814
53,2019-03-11,4.0,512917.0,377.0,106.96641995386749
54,2019-03-11,5.0,473262.0,296.0,108.10050453306816
55,2019-03-18,1.0,16840584.0,21565.0,123.1939881142923
56,2019-03-18,2.0,349324.0,237.0,103.68201579861147
57,2019-03-18,3.0,1542658.0,1196.0,117.83527362484934
58,2019-03-18,4.0,513655.0,360.0,97.94353907608165
59,2019-03-18,5.0,474144.0,260.0,83.14798761776711
60,2019-03-25,1.0,16855682.0,21289.0,121.52319659580921
61,2019-03-25,2.0,349930.0,233.0,104.90412757574062
62,2019-03-25,3.0,1544654.0,1123.0,105.96258886445975
63,2019-03-25,4.0,514468.0,366.0,104.5261666903183
64,2019-03-25,5.0,475138.0,303.0,106.0544168794666
65,2019-04-01,1.0,16865006.0,22488.0,127.82888073042382
66,2019-04-01,2.0,350461.0,232.0,103.86465324179865
67,2019-04-01,3.0,1546544.0,1141.0,111.0500219113024
68,2019-04-01,4.0,515218.0,369.0,104.58149774611736
69,2019-04-01,5.0,475923.0,286.0,99.56723499318619
70,2019-04-08,1.0,16879564.0,22009.0,125.11415084484165
71,2019-04-08,2.0,351139.0,228.0,116.15680763768248
72,2019-04-08,3.0,1548792.0,1117.0,110.0149848689297
73,2019-04-08,4.0,516110.0,399.0,114.87328881199869
74,2019-04-08,5.0,476847.0,247.0,83.5955085004952
75,2019-04-15,1.0,16891073.0,19159.0,108.99344955806326
76,2019-04-15,2.0,351702.0,193.0,94.56562631661822
77,2019-04-15,3.0,1550822.0,1016.0,103.3424161117737
78,2019-04-15,4.0,516944.0,324.0,95.34728712218426
79,2019-04-15,5.0,477699.0,254.0,91.4868207796853
80,2019-04-22,1.0,16898167.0,20197.0,114.80346579212666
81,2019-04-22,2.0,352092.0,206.0,96.75068527198898
82,2019-04-22,3.0,1551889.0,1100.0,109.07371364059733
83,2019-04-22,4.0,517365.0,359.0,103.18992762791727
84,2019-04-22,5.0,478158.0,240.0,86.15982843972941
85,2019-04-29,1.0,16910956.0,21679.0,123.05298808617717
86,2019-04-29,2.0,352691.0,227.0,112.495647713547
87,2019-04-29,3.0,1553968.0,1138.0,114.97351996152707
88,2019-04-29,4.0,518224.0,388.0,114.55743667808075
89,2019-04-29,5.0,479031.0,259.0,87.76067101545169
90,2019-05-06,1.0,16920982.0,19585.0,110.84277200575902
91,2019-05-06,2.0,353170.0,181.0,84.81328662632076
92,2019-05-06,3.0,1555691.0,1017.0,102.42389252516433
93,2019-05-06,4.0,518844.0,328.0,95.41938987436575
94,2019-05-06,5.0,479719.0,243.0,85.59337852320748
95,2019-05-13,1.0,16933865.0,21820.0,123.32879508443335
96,2019-05-13,2.0,353770.0,202.0,113.60891203519837
97,2019-05-13,3.0,1557825.0,1109.0,110.21520015635159
98,2019-05-13,4.0,519666.0,357.0,102.77539070309713
99,2019-05-13,5.0,480575.0,257.0,92.10101000841647
100,2019-05-20,1.0,16946485.0,21851.0,123.308704146767
101,2019-05-20,2.0,354364.0,240.0,120.80213601872629
102,2019-05-20,3.0,1559882.0,1051.0,106.51940130765904
103,2019-05-20,4.0,520536.0,399.0,115.57721272617128
104,2019-05-20,5.0,481452.0,259.0,90.51775244323255
105,2019-05-27,1.0,16956113.0,18464.0,104.23631490853438
106,2019-05-27,2.0,354867.0,159.0,88.32721067824167
107,2019-05-27,3.0,1561638.0,924.0,93.26269554691585
108,2019-05-27,4.0,521159.0,308.0,93.20539822258169
109,2019-05-27,5.0,482101.0,233.0,82.39802174356367
110,2019-06-03,1.0,16968771.0,21564.0,121.23964555716026
111,2019-06-03,2.0,355502.0,189.0,96.32845392072714
112,2019-06-03,3.0,1563626.0,1006.0,101.60988489234128
113,2019-06-03,4.0,521843.0,363.0,103.91884970998964
114,2019-06-03,5.0,482918.0,265.0,96.21271558652147
115,2019-06-10,1.0,16982460.0,21493.0,120.8244461914506
116,2019-06-10,2.0,356136.0,201.0,108.67690296527879
117,2019-06-10,3.0,1565508.0,1143.0,114.59110429832162
118,2019-06-10,4.0,522621.0,363.0,109.825287703428
119,2019-06-10,5.0,483862.0,290.0,98.76584529561252
120,2019-06-17,1.0,16995122.0,21190.0,119.25549142475353
121,2019-06-17,2.0,356804.0,214.0,96.2346837414941
122,2019-06-17,3.0,1567619.0,1116.0,110.02927599842029
123,2019-06-17,4.0,523511.0,364.0,100.76492683597704
124,2019-06-17,5.0,484734.0,257.0,82.94141154702395
125,2019-06-24,1.0,17008331.0,21729.0,122.18108207587048
126,2019-06-24,2.0,357499.0,219.0,107.6083104335387
127,2019-06-24,3.0,1569798.0,1133.0,109.90923766677149
128,2019-06-24,4.0,524396.0,390.0,114.3055114566796
129,2019-06-24,5.0,485669.0,231.0,82.00717484218546
130,2019-07-01,1.0,17018206.0,21168.0,118.57658614786594
131,2019-07-01,2.0,358052.0,213.0,120.07223946896767
132,2019-07-01,3.0,1571658.0,1063.0,104.33834844946766
133,2019-07-01,4.0,525217.0,373.0,104.1557463041199
134,2019-07-01,5.0,486401.0,247.0,81.21811950021853
135,2019-07-08,1.0,17033676.0,21097.0,118.01825444349828
136,2019-07-08,2.0,358807.0,191.0,97.88486996693926
137,2019-07-08,3.0,1574139.0,1003.0,98.78758892413133
138,2019-07-08,4.0,526177.0,354.0,94.87336107718274
139,2019-07-08,5.0,487489.0,272.0,95.34197993787583
140,2019-07-15,1.0,17046133.0,21262.0,119.09173716289847
141,2019-07-15,2.0,359448.0,197.0,90.28368143463722
142,2019-07-15,3.0,1576326.0,978.0,93.56986852267661
143,2019-07-15,4.0,526980.0,353.0,98.81541623915805
144,2019-07-15,5.0,488509.0,254.0,86.28001736865397
145,2019-07-22,1.0,17058397.0,20989.0,117.48660274603743
146,2019-07-22,2.0,360048.0,188.0,94.96456432771511
147,2019-07-22,3.0,1578412.0,964.0,96.64750504520678
148,2019-07-22,4.0,527764.0,350.0,105.71554315297362
149,2019-07-22,5.0,489456.0,255.0,90.0389881088188
150,2019-07-29,1.0,17070233.0,20998.0,117.44139654529458
151,2019-07-29,2.0,360641.0,203.0,106.80597116945347
152,2019-07-29,3.0,1580362.0,1036.0,101.81594726865893
153,2019-07-29,4.0,528557.0,350.0,102.03702246804875
154,2019-07-29,5.0,490406.0,243.0,77.931289633327
155,2019-08-05,1.0,17083332.0,20812.0,116.16904720331593
156,2019-08-05,2.0,361306.0,190.0,93.02938428146054
157,2019-08-05,3.0,1582657.0,1048.0,102.14888519563934
158,2019-08-05,4.0,529457.0,379.0,106.47540147963322
159,2019-08-05,5.0,491379.0,262.0,85.9814657601205
160,2019-08-12,1.0,17096692.0,20771.0,115.70118954351535
161,2019-08-12,2.0,361996.0,175.0,96.67781590542296
162,2019-08-12,3.0,1584839.0,967.0,94.99260767015716
163,2019-08-12,4.0,530358.0,385.0,110.56730221606432
164,2019-08-12,5.0,492489.0,235.0,87.47590711555499
165,2019-08-19,1.0,17109887.0,20916.0,116.40691817021595
166,2019-08-19,2.0,362639.0,203.0,100.19217181663784
167,2019-08-19,3.0,1587019.0,1045.0,104.23272159229543
168,2019-08-19,4.0,531259.0,332.0,95.17839058817304
169,2019-08-19,5.0,493484.0,243.0,83.21313010685103
170,2019-08-26,1.0,17120345.0,18753.0,104.5435704609086
171,2019-08-26,2.0,363175.0,191.0,98.91883162678072
172,2019-08-26,3.0,1588792.0,963.0,98.08017159425023
173,2019-08-26,4.0,531976.0,316.0,85.07401593558285
174,2019-08-26,5.0,494356.0,229.0,79.85152623707017
175,2019-09-02,1.0,17134360.0,21223.0,117.74936307971595
176,2019-09-02,2.0,363918.0,205.0,95.8847891718509
177,2019-09-02,3.0,1591229.0,972.0,97.82342199806511
178,2019-09-02,4.0,532886.0,379.0,104.40850423453605
