date,cvd_emergency,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,4498.0,23619197.0,19.0,19.810000000000002
2019-01-07,4716.0,23624719.0,20.0,20.620000000000005
2019-01-14,4728.0,23632143.0,20.0,20.675
2019-01-21,4879.0,23638988.0,21.0,21.575
2019-01-28,4577.0,23646947.0,19.0,19.975000000000005
2019-02-04,4655.0,23654659.0,20.0,20.410000000000004
2019-02-11,4753.0,23659946.0,20.0,20.755000000000003
2019-02-18,4575.0,23665827.0,19.0,20.125
2019-02-25,4645.0,23671905.0,20.0,20.41
2019-03-04,4977.0,23676511.0,21.0,21.76
2019-03-11,4852.0,23683479.0,20.0,21.25
2019-03-18,4825.0,23687990.0,20.0,21.145
2019-03-25,4602.0,23697067.0,19.0,20.32
2019-04-01,4878.0,23695010.0,21.0,21.300000000000004
2019-04-08,4792.0,23707297.0,20.0,21.06
2019-04-15,4634.0,23711021.0,20.0,20.23
2019-04-22,4771.0,23713298.0,20.0,20.939999999999998
2019-04-29,4770.0,23718332.0,20.0,20.835
2019-05-06,4762.0,23722306.0,20.0,20.775000000000002
2019-05-13,4967.0,23728769.0,21.0,21.85
2019-05-20,4776.0,23735492.0,20.0,20.86
2019-05-27,4510.0,23740009.0,19.0,19.740000000000002
2019-06-03,4794.0,23746398.0,20.0,20.895
2019-06-10,4888.0,23754543.0,21.0,21.175
2019-06-17,4834.0,23761788.0,20.0,20.955000000000002
2019-06-24,4768.0,23770206.0,20.0,20.849999999999998
2019-07-01,4579.0,23771244.0,19.0,19.930000000000003
2019-07-08,4561.0,23785117.0,19.0,19.810000000000002
2019-07-15,4641.0,23789691.0,20.0,20.220000000000002
2019-07-22,4689.0,23796445.0,20.0,20.41
2019-07-29,4565.0,23802426.0,19.0,19.85
2019-08-05,4654.0,23807775.0,20.0,20.16
2019-08-12,4631.0,23814150.0,19.0,20.035
2019-08-19,4567.0,23821112.0,19.0,19.875
2019-08-26,4445.0,23824779.0,19.0,19.175000000000004
2019-09-02,4554.0,23832901.0,19.0,19.620000000000005
2019-09-09,4782.0,23841184.0,20.0,20.570000000000004
2019-09-16,4731.0,23850455.0,20.0,20.395
2019-09-23,4954.0,23860519.0,21.0,21.47
2019-09-30,5016.0,23864138.0,21.0,21.69
2019-10-07,4867.0,23875684.0,20.0,20.915000000000003
2019-10-14,5015.0,23884554.0,21.0,21.63
2019-10-21,4779.0,23893680.0,20.0,20.615000000000002
2019-10-28,4884.0,23903389.0,20.0,21.200000000000003
2019-11-04,5065.0,23912086.0,21.0,21.78
2019-11-11,4944.0,23921107.0,21.0,21.505000000000003
2019-11-18,4926.0,23928414.0,21.0,21.25
2019-11-25,4778.0,23933825.0,20.0,20.69
2019-12-02,4617.0,23941383.0,19.0,19.884999999999998
2019-12-09,4569.0,23946784.0,19.0,19.624999999999996
2019-12-16,4766.0,23951030.0,20.0,20.515000000000004
2019-12-23,4186.0,23954008.0,17.0,18.16
2019-12-30,4655.0,23955954.0,19.0,20.06
2020-01-06,4927.0,23957924.0,21.0,21.180000000000003
2020-01-13,4841.0,23964025.0,20.0,20.88
2020-01-20,4799.0,23970394.0,20.0,20.605
2020-01-27,4902.0,23978016.0,20.0,21.044999999999998
2020-02-03,4922.0,23985133.0,21.0,21.100000000000005
2020-02-10,5032.0,23990464.0,21.0,21.575
2020-02-17,4856.0,23995726.0,20.0,20.96
2020-02-24,4962.0,24000255.0,21.0,21.425000000000004
2020-03-02,4973.0,24006358.0,21.0,21.240000000000002
2020-03-09,4223.0,24013653.0,18.0,17.995
2020-03-16,3213.0,24017215.0,13.0,13.675
2020-03-23,2459.0,24020164.0,10.0,10.645
