date,cvd_emergency,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2020-03-30,2576.0,24021353.0,11.0,10.98
2020-04-06,2548.0,24022733.0,11.0,10.86
2020-04-13,2839.0,24018826.0,12.0,12.155000000000001
2020-04-20,3352.0,24013876.0,14.0,14.29
2020-04-27,3781.0,24010686.0,16.0,16.33
2020-05-04,3838.0,24008646.0,16.0,16.445
2020-05-11,3958.0,24006906.0,16.0,17.095
2020-05-18,4204.0,24007251.0,18.0,18.07
2020-05-25,3922.0,24006234.0,16.0,16.845
2020-06-01,4204.0,24007604.0,18.0,18.155000000000005
2020-06-08,4415.0,24008253.0,18.0,18.950000000000003
2020-06-15,4497.0,24009419.0,19.0,19.35
2020-06-22,4657.0,24010297.0,19.0,20.075
2020-06-29,4492.0,24011147.0,19.0,19.32
2020-07-06,4457.0,24014105.0,19.0,19.120000000000005
2020-07-13,4636.0,24015400.0,19.0,19.825
2020-07-20,4587.0,24019031.0,19.0,19.720000000000002
2020-07-27,4542.0,24021237.0,19.0,19.45
2020-08-03,4395.0,24022742.0,18.0,18.785
2020-08-10,4355.0,24025552.0,18.0,18.81
2020-08-17,4475.0,24026962.0,19.0,19.19
2020-08-24,4546.0,24026794.0,19.0,19.380000000000003
2020-08-31,4334.0,24026990.0,18.0,18.535
2020-09-07,4492.0,24032832.0,19.0,19.210000000000004
2020-09-14,4451.0,24033068.0,19.0,19.12
2020-09-21,4445.0,24038036.0,18.0,18.845000000000006
2020-09-28,4720.0,24040465.0,20.0,20.165
2020-10-05,4685.0,24049153.0,19.0,19.95
2020-10-12,4527.0,24053926.0,19.0,19.375
2020-10-19,4473.0,24060061.0,19.0,19.1
2020-10-26,4205.0,24065286.0,17.0,17.900000000000002
2020-11-02,4184.0,24069750.0,17.0,17.724999999999998
2020-11-09,4396.0,24074213.0,18.0,18.665
2020-11-16,4266.0,24078398.0,18.0,18.215
2020-11-23,4327.0,24081767.0,18.0,18.509999999999998
2020-11-30,4577.0,24084556.0,19.0,19.56
2020-12-07,4636.0,24088259.0,19.0,19.66
2020-12-14,4226.0,24091733.0,18.0,18.01
2020-12-21,3799.0,24095649.0,16.0,16.134999999999998
2020-12-28,3826.0,24096851.0,16.0,16.23
