,date,imd_group,"European Standard population rate per 100,000",cancer,population
0,2018-12-31,Least deprived,47.42962121212123,2082.0,4025420.0
1,2018-12-31,Middle level,46.35217171717172,6048.0,13249287.0
2,2018-12-31,Most deprived,41.33833333333333,1549.0,4828771.0
3,2019-01-07,Least deprived,62.95090909090911,2746.0,4027821.0
4,2019-01-07,Middle level,58.244671717171734,7612.0,13259445.0
5,2019-01-07,Most deprived,53.03462121212122,2001.0,4832888.0
6,2019-01-14,Least deprived,57.9360606060606,2544.0,4030922.0
7,2019-01-14,Middle level,56.01027777777779,7310.0,13272637.0
8,2019-01-14,Most deprived,49.529242424242426,1889.0,4838816.0
9,2019-01-21,Least deprived,58.46590909090911,2575.0,4033629.0
10,2019-01-21,Middle level,54.93666666666666,7186.0,13285038.0
11,2019-01-21,Most deprived,51.16969696969697,1931.0,4844389.0
12,2019-01-28,Least deprived,56.52939393939394,2491.0,4036239.0
13,2019-01-28,Middle level,56.50643939393939,7374.0,13297094.0
14,2019-01-28,Most deprived,51.790833333333325,1967.0,4850476.0
15,2019-02-04,Least deprived,56.82227272727272,2522.0,4038724.0
16,2019-02-04,Middle level,56.44265151515151,7406.0,13308686.0
17,2019-02-04,Most deprived,51.559924242424245,1946.0,4855903.0
18,2019-02-11,Least deprived,59.48863636363634,2626.0,4041161.0
19,2019-02-11,Middle level,56.67606060606061,7420.0,13319965.0
20,2019-02-11,Most deprived,50.50590909090907,1927.0,4861112.0
21,2019-02-18,Least deprived,54.36348484848485,2412.0,4043641.0
22,2019-02-18,Middle level,54.45255050505051,7159.0,13331386.0
23,2019-02-18,Most deprived,48.80856060606062,1882.0,4866260.0
24,2019-02-25,Least deprived,58.1739393939394,2575.0,4046139.0
25,2019-02-25,Middle level,55.15833333333333,7240.0,13342822.0
26,2019-02-25,Most deprived,51.60590909090908,1955.0,4871751.0
27,2019-03-04,Least deprived,59.826893939393926,2651.0,4048452.0
28,2019-03-04,Middle level,55.22780303030303,7291.0,13353702.0
29,2019-03-04,Most deprived,54.44174242424243,2070.0,4877038.0
30,2019-03-11,Least deprived,60.47333333333332,2685.0,4050957.0
31,2019-03-11,Middle level,58.72537878787879,7770.0,13365215.0
32,2019-03-11,Most deprived,52.60757575757577,1999.0,4882973.0
33,2019-03-18,Least deprived,56.84924242424241,2530.0,4053422.0
34,2019-03-18,Middle level,55.38727272727272,7303.0,13375899.0
35,2019-03-18,Most deprived,49.098333333333336,1887.0,4887654.0
36,2019-03-25,Least deprived,56.444393939393926,2510.0,4055972.0
37,2019-03-25,Middle level,53.943005050505064,7134.0,13387436.0
38,2019-03-25,Most deprived,50.061439393939395,1912.0,4895549.0
39,2019-04-01,Least deprived,60.27007575757576,2690.0,4057827.0
40,2019-04-01,Middle level,57.40227272727273,7594.0,13395991.0
41,2019-04-01,Most deprived,54.244015151515136,2061.0,4899604.0
42,2019-04-08,Least deprived,58.48704545454546,2619.0,4060541.0
43,2019-04-08,Middle level,56.945,7531.0,13408357.0
44,2019-04-08,Most deprived,54.30219696969697,2087.0,4905371.0
45,2019-04-15,Least deprived,49.7659090909091,2221.0,4062881.0
46,2019-04-15,Middle level,48.38611111111111,6410.0,13418638.0
47,2019-04-15,Most deprived,43.934015151515155,1707.0,4909984.0
48,2019-04-22,Least deprived,52.33924242424243,2339.0,4064378.0
49,2019-04-22,Middle level,53.286085858585864,7063.0,13424755.0
50,2019-04-22,Most deprived,47.84166666666667,1855.0,4912595.0
51,2019-04-29,Least deprived,60.553181818181805,2702.0,4067098.0
52,2019-04-29,Middle level,59.12366161616163,7864.0,13435893.0
53,2019-04-29,Most deprived,55.42265151515153,2125.0,4917484.0
54,2019-05-06,Least deprived,52.97265151515153,2365.0,4069066.0
55,2019-05-06,Middle level,51.85631313131314,6897.0,13444737.0
56,2019-05-06,Most deprived,45.957045454545465,1759.0,4921351.0
57,2019-05-13,Least deprived,61.304848484848485,2733.0,4071679.0
58,2019-05-13,Middle level,58.27926767676769,7755.0,13455898.0
59,2019-05-13,Most deprived,54.04090909090908,2079.0,4926307.0
60,2019-05-20,Least deprived,60.085227272727295,2688.0,4074213.0
61,2019-05-20,Middle level,59.20972222222222,7873.0,13466750.0
62,2019-05-20,Most deprived,54.44719696969697,2075.0,4931594.0
63,2019-05-27,Least deprived,50.25318181818182,2250.0,4076212.0
64,2019-05-27,Middle level,50.16376262626264,6681.0,13475318.0
65,2019-05-27,Most deprived,44.490833333333335,1698.0,4935585.0
66,2019-06-03,Least deprived,61.13439393939393,2730.0,4078780.0
67,2019-06-03,Middle level,59.21835858585859,7903.0,13486105.0
68,2019-06-03,Most deprived,55.01113636363636,2089.0,4940799.0
69,2019-06-10,Least deprived,61.74060606060607,2770.0,4081469.0
70,2019-06-10,Middle level,59.184621212121215,7878.0,13497191.0
71,2019-06-10,Most deprived,52.74780303030302,2057.0,4946807.0
72,2019-06-17,Least deprived,56.58159090909092,2545.0,4083980.0
73,2019-06-17,Middle level,57.01204545454545,7589.0,13507977.0
74,2019-06-17,Most deprived,50.75219696969697,1961.0,4952486.0
75,2019-06-24,Least deprived,59.86098484848484,2685.0,4086602.0
76,2019-06-24,Middle level,60.00565656565657,7996.0,13519326.0
77,2019-06-24,Most deprived,53.8098484848485,2098.0,4958453.0
78,2019-07-01,Least deprived,59.0940909090909,2678.0,4088652.0
79,2019-07-01,Middle level,58.273585858585854,7802.0,13528123.0
80,2019-07-01,Most deprived,55.02098484848484,2088.0,4962955.0
81,2019-07-08,Least deprived,59.66022727272728,2708.0,4091769.0
82,2019-07-08,Middle level,58.23843434343434,7820.0,13541526.0
83,2019-07-08,Most deprived,50.42984848484849,1953.0,4969089.0
84,2019-07-15,Least deprived,60.26780303030304,2736.0,4094476.0
85,2019-07-15,Middle level,58.58421717171717,7836.0,13552396.0
86,2019-07-15,Most deprived,52.47787878787878,2035.0,4974079.0
87,2019-07-22,Least deprived,60.085681818181826,2706.0,4097041.0
88,2019-07-22,Middle level,58.46484848484849,7831.0,13563167.0
89,2019-07-22,Most deprived,51.26833333333333,1993.0,4979115.0
90,2019-07-29,Least deprived,59.6273484848485,2703.0,4099531.0
91,2019-07-29,Middle level,59.02856060606061,7896.0,13573590.0
92,2019-07-29,Most deprived,53.07727272727273,2040.0,4983802.0
93,2019-08-05,Least deprived,59.88901515151515,2716.0,4102526.0
94,2019-08-05,Middle level,59.470757575757574,7978.0,13585366.0
95,2019-08-05,Most deprived,52.782499999999985,2095.0,4988824.0
96,2019-08-12,Least deprived,59.5994696969697,2727.0,4105476.0
97,2019-08-12,Middle level,58.97737373737374,7946.0,13597414.0
98,2019-08-12,Most deprived,52.03590909090908,2037.0,4993845.0
99,2019-08-19,Least deprived,61.118409090909104,2799.0,4108401.0
100,2019-08-19,Middle level,59.54560606060607,8007.0,13609138.0
101,2019-08-19,Most deprived,54.49825757575758,2112.0,4998946.0
102,2019-08-26,Least deprived,52.71704545454547,2378.0,4110792.0
103,2019-08-26,Middle level,52.045075757575766,7006.0,13618576.0
104,2019-08-26,Most deprived,46.62416666666664,1833.0,5003001.0
105,2019-09-02,Least deprived,61.59522727272728,2798.0,4114271.0
106,2019-09-02,Middle level,61.011136363636375,8245.0,13631409.0
107,2019-09-02,Most deprived,57.31568181818181,2245.0,5008184.0
108,2019-09-09,Least deprived,61.01090909090909,2799.0,4118160.0
109,2019-09-09,Middle level,60.495505050505045,8170.0,13645506.0
110,2019-09-09,Most deprived,56.68159090909091,2219.0,5014102.0
111,2019-09-16,Least deprived,61.93522727272727,2804.0,4121834.0
112,2019-09-16,Middle level,60.633737373737375,8193.0,13660871.0
113,2019-09-16,Most deprived,56.73015151515153,2231.0,5020004.0
114,2019-09-23,Least deprived,62.08825757575759,2846.0,4125787.0
115,2019-09-23,Middle level,60.68914141414141,8171.0,13678127.0
116,2019-09-23,Most deprived,57.418712121212145,2260.0,5026744.0
117,2019-09-30,Least deprived,63.550681818181836,2907.0,4129811.0
118,2019-09-30,Middle level,62.01823232323233,8387.0,13695688.0
119,2019-09-30,Most deprived,57.35378787878786,2261.0,5033698.0
120,2019-10-07,Least deprived,63.01484848484848,2899.0,4134736.0
121,2019-10-07,Middle level,62.29088383838383,8455.0,13712441.0
122,2019-10-07,Most deprived,55.70469696969697,2216.0,5040499.0
123,2019-10-14,Least deprived,63.351212121212114,2897.0,4138532.0
124,2019-10-14,Middle level,63.91439393939395,8661.0,13727492.0
125,2019-10-14,Most deprived,58.10924242424242,2276.0,5046666.0
126,2019-10-21,Least deprived,63.42734848484849,2915.0,4142115.0
127,2019-10-21,Middle level,61.97517676767675,8410.0,13742263.0
128,2019-10-21,Most deprived,57.39181818181818,2267.0,5052797.0
129,2019-10-28,Least deprived,62.495530303030286,2859.0,4145578.0
130,2019-10-28,Middle level,61.31073232323232,8327.0,13756881.0
131,2019-10-28,Most deprived,54.833181818181814,2165.0,5058810.0
132,2019-11-04,Least deprived,65.5005303030303,3018.0,4148877.0
133,2019-11-04,Middle level,65.49441919191918,8924.0,13771044.0
134,2019-11-04,Most deprived,59.92628787878788,2379.0,5064905.0
135,2019-11-11,Least deprived,63.846060606060625,2927.0,4152026.0
136,2019-11-11,Middle level,64.11689393939393,8726.0,13785602.0
137,2019-11-11,Most deprived,57.606590909090926,2292.0,5071250.0
138,2019-11-18,Least deprived,63.635530303030315,2936.0,4155061.0
139,2019-11-18,Middle level,65.31058080808081,8875.0,13798921.0
140,2019-11-18,Most deprived,59.175075757575755,2346.0,5077468.0
141,2019-11-25,Least deprived,65.21234848484846,3014.0,4157910.0
142,2019-11-25,Middle level,63.58974747474749,8680.0,13811831.0
143,2019-11-25,Most deprived,59.3575,2343.0,5083377.0
144,2019-12-02,Least deprived,66.73113636363637,3091.0,4161037.0
145,2019-12-02,Middle level,66.23285353535353,9063.0,13824690.0
146,2019-12-02,Most deprived,61.723787878787874,2418.0,5089077.0
147,2019-12-09,Least deprived,66.70886363636362,3060.0,4163763.0
148,2019-12-09,Middle level,65.74709595959598,9000.0,13836261.0
149,2019-12-09,Most deprived,59.102878787878794,2370.0,5094383.0
150,2019-12-16,Least deprived,65.1075,3022.0,4166331.0
151,2019-12-16,Middle level,65.94436868686869,9005.0,13846655.0
152,2019-12-16,Most deprived,59.746818181818185,2370.0,5099769.0
153,2019-12-23,Least deprived,36.89333333333332,1697.0,4168648.0
154,2019-12-23,Middle level,36.21138888888889,4970.0,13856989.0
155,2019-12-23,Most deprived,33.170984848484856,1320.0,5104545.0
156,2019-12-30,Least deprived,53.38106060606061,2472.0,4170017.0
157,2019-12-30,Middle level,52.53994949494949,7193.0,13862755.0
158,2019-12-30,Most deprived,48.372878787878804,1906.0,5107262.0
159,2020-01-06,Least deprived,71.59371212121215,3309.0,4172179.0
160,2020-01-06,Middle level,70.18989898989899,9654.0,13871748.0
161,2020-01-06,Most deprived,63.50234848484848,2544.0,5111625.0
