,date,ethnicity,population,disease,"European Standard population rate per 100,000"
0,2018-12-31,1.0,16795784.0,8966.0,52.54466104419569
1,2018-12-31,2.0,344181.0,117.0,42.63241201180832
2,2018-12-31,3.0,1523156.0,638.0,60.69616741340199
3,2018-12-31,4.0,506256.0,154.0,45.77472202013942
4,2018-12-31,5.0,464946.0,97.0,34.38266386510977
5,2019-01-07,1.0,16807602.0,8900.0,51.93560456247508
6,2019-01-07,2.0,344653.0,128.0,50.41223312439112
7,2019-01-07,3.0,1524796.0,664.0,63.66315736290589
8,2019-01-07,4.0,506846.0,174.0,48.93167511123333
9,2019-01-07,5.0,465729.0,141.0,49.983499052534505
10,2019-01-14,1.0,16822966.0,8663.0,50.46080542928342
11,2019-01-14,2.0,345375.0,136.0,61.19586690209485
12,2019-01-14,3.0,1527069.0,647.0,61.33504944043909
13,2019-01-14,4.0,507685.0,175.0,44.070682884071346
14,2019-01-14,5.0,466856.0,115.0,36.70033317636736
15,2019-01-21,1.0,16837209.0,8949.0,52.18725319692143
16,2019-01-21,2.0,346073.0,135.0,31.34216905600343
17,2019-01-21,3.0,1529041.0,646.0,63.56026383165286
18,2019-01-21,4.0,508648.0,160.0,45.78323559753486
19,2019-01-21,5.0,467898.0,111.0,34.169471821202805
20,2019-01-28,1.0,16851548.0,8597.0,50.0901174362014
21,2019-01-28,2.0,346738.0,147.0,49.45958113313867
22,2019-01-28,3.0,1531167.0,692.0,65.36478079393704
23,2019-01-28,4.0,509540.0,150.0,44.84535198615494
24,2019-01-28,5.0,468892.0,118.0,37.74897785418715
25,2019-02-04,1.0,16864794.0,9118.0,52.95113299299064
26,2019-02-04,2.0,347330.0,131.0,47.68854154287345
27,2019-02-04,3.0,1533377.0,693.0,70.53748690386105
28,2019-02-04,4.0,510363.0,168.0,43.734764011385415
29,2019-02-04,5.0,469910.0,124.0,34.938351028706535
30,2019-02-11,1.0,16877605.0,8822.0,51.17289825794175
31,2019-02-11,2.0,347934.0,125.0,46.04667611269099
32,2019-02-11,3.0,1535577.0,637.0,60.043409711415045
33,2019-02-11,4.0,511108.0,167.0,46.3067548014869
34,2019-02-11,5.0,470939.0,116.0,38.84659349132203
35,2019-02-18,1.0,16890418.0,8318.0,48.196382156197
36,2019-02-18,2.0,348562.0,114.0,46.231833805522555
37,2019-02-18,3.0,1537862.0,613.0,62.49935125325373
38,2019-02-18,4.0,511916.0,153.0,43.45992222769535
39,2019-02-18,5.0,471925.0,103.0,36.240562511084306
40,2019-02-25,1.0,16903703.0,7818.0,45.199752521095284
41,2019-02-25,2.0,349160.0,122.0,43.94020930915379
42,2019-02-25,3.0,1540072.0,568.0,56.87038147945362
43,2019-02-25,4.0,512741.0,167.0,50.65321874001686
44,2019-02-25,5.0,472902.0,100.0,28.9458642178599
45,2019-03-04,1.0,16916530.0,8009.0,46.23134885964509
46,2019-03-04,2.0,349716.0,121.0,40.46562853716487
47,2019-03-04,3.0,1542144.0,586.0,55.72722228721968
48,2019-03-04,4.0,513441.0,167.0,45.01646871135737
49,2019-03-04,5.0,473790.0,112.0,40.755266543411494
50,2019-03-11,1.0,16930336.0,7702.0,44.39822932253885
51,2019-03-11,2.0,350311.0,110.0,30.62143193365463
52,2019-03-11,3.0,1544242.0,633.0,60.90405366342143
53,2019-03-11,4.0,514225.0,169.0,48.47441650915009
54,2019-03-11,5.0,474766.0,116.0,43.28860916449461
55,2019-03-18,1.0,16942570.0,7634.0,44.02083277028693
56,2019-03-18,2.0,350892.0,117.0,34.67362634894081
57,2019-03-18,3.0,1546235.0,622.0,62.72073467865187
58,2019-03-18,4.0,514965.0,143.0,38.437060797451494
59,2019-03-18,5.0,475647.0,98.0,31.333597234525676
60,2019-03-25,1.0,16957778.0,7397.0,42.636447281307575
61,2019-03-25,2.0,351496.0,134.0,48.9639346351646
62,2019-03-25,3.0,1548229.0,553.0,52.25159568865868
63,2019-03-25,4.0,515781.0,149.0,43.27999817233526
64,2019-03-25,5.0,476644.0,103.0,35.227353647920616
65,2019-04-01,1.0,16967142.0,7804.0,44.83957072471825
66,2019-04-01,2.0,352027.0,123.0,46.074362023097706
67,2019-04-01,3.0,1550132.0,571.0,56.92605643778503
68,2019-04-01,4.0,516542.0,156.0,45.328002054755245
69,2019-04-01,5.0,477431.0,111.0,42.020814966130715
70,2019-04-08,1.0,16981755.0,7671.0,44.1137043188722
71,2019-04-08,2.0,352715.0,103.0,40.978387866118055
72,2019-04-08,3.0,1552387.0,550.0,54.97042613386297
73,2019-04-08,4.0,517433.0,145.0,43.08191081148104
74,2019-04-08,5.0,478366.0,93.0,29.66121123718738
75,2019-04-15,1.0,16993326.0,7196.0,41.319191962613274
76,2019-04-15,2.0,353280.0,101.0,35.30361443333908
77,2019-04-15,3.0,1554423.0,562.0,59.42891812059668
78,2019-04-15,4.0,518280.0,140.0,42.33481669476987
79,2019-04-15,5.0,479227.0,92.0,35.49727648107004
80,2019-04-22,1.0,17000443.0,7329.0,42.008249945209364
81,2019-04-22,2.0,353673.0,84.0,33.61487957848147
82,2019-04-22,3.0,1555485.0,561.0,59.01008275248904
83,2019-04-22,4.0,518704.0,133.0,36.72675044537031
84,2019-04-22,5.0,479699.0,90.0,31.1013022775735
85,2019-04-29,1.0,17013301.0,6769.0,38.846148674837494
86,2019-04-29,2.0,354277.0,88.0,39.053955134306456
87,2019-04-29,3.0,1557573.0,526.0,54.01457283040654
88,2019-04-29,4.0,519560.0,137.0,37.88586569221776
89,2019-04-29,5.0,480583.0,75.0,25.49623186277991
90,2019-05-06,1.0,17023366.0,6747.0,38.5039377451917
