,date,sex,population,disease,"European Standard population rate per 100,000"
0,2018-12-31,F,11819036.0,8497.0,73.25296853593464
2,2018-12-31,M,11799691.0,8022.0,74.05431814610965
4,2019-01-07,F,11821445.0,10917.0,93.71955667188978
6,2019-01-07,M,11802803.0,10699.0,98.3196940590338
8,2019-01-14,F,11824638.0,10308.0,88.50782450188741
10,2019-01-14,M,11807032.0,10239.0,94.29783726499977
12,2019-01-21,F,11827774.0,10258.0,88.29837212353239
14,2019-01-21,M,11810741.0,10259.0,94.2462910845462
16,2019-01-28,F,11831215.0,10368.0,89.13683663302247
18,2019-01-28,M,11815260.0,10373.0,95.39949546427069
20,2019-02-04,F,11834662.0,10325.0,88.51632767814867
22,2019-02-04,M,11819523.0,10599.0,97.187739126901
24,2019-02-11,F,11836759.0,10457.0,89.66700315060235
26,2019-02-11,M,11822714.0,10460.0,95.98299651259015
28,2019-02-18,F,11839356.0,10003.0,85.84622826908551
30,2019-02-18,M,11825999.0,9905.0,90.7613367149284
32,2019-02-25,F,11842472.0,10254.0,87.96107568437664
34,2019-02-25,M,11828961.0,10154.0,93.44189097821877
36,2019-03-04,F,11844184.0,10303.0,88.14335086399936
38,2019-03-04,M,11831854.0,10469.0,95.97343973082702
40,2019-03-11,F,11847766.0,10728.0,91.7532319334116
42,2019-03-11,M,11835242.0,10494.0,96.21575271725122
44,2019-03-18,F,11849987.0,10139.0,86.96138524932472
46,2019-03-18,M,11837533.0,10164.0,93.2171711118073
48,2019-03-25,F,11854516.0,9976.0,85.53982002027348
50,2019-03-25,M,11842081.0,10036.0,91.89603428110588
52,2019-04-01,F,11853073.0,10628.0,90.81051292133814
54,2019-04-01,M,11841468.0,10493.0,96.10360675546701
56,2019-04-08,F,11858946.0,10312.0,88.03757903578655
58,2019-04-08,M,11847883.0,10394.0,95.21608414169432
60,2019-04-15,F,11860597.0,8785.0,75.17433415805642
62,2019-04-15,M,11849954.0,8648.0,79.11559952821408
64,2019-04-22,F,11861518.0,9448.0,80.8331697012035
66,2019-04-22,M,11851311.0,9080.0,83.19551299847821
68,2019-04-29,F,11863918.0,10613.0,90.7977647702964
70,2019-04-29,M,11853944.0,10777.0,98.85898486745555
72,2019-05-06,F,11865473.0,9323.0,79.55927040107886
74,2019-05-06,M,11856364.0,9075.0,82.94544429394882
76,2019-05-13,F,11868787.0,10522.0,89.69573683256809
78,2019-05-13,M,11859515.0,10452.0,95.73638714440018
80,2019-05-20,F,11872022.0,10481.0,89.48226905493355
82,2019-05-20,M,11863001.0,10501.0,96.06996987300366
84,2019-05-27,F,11874100.0,8731.0,74.50655705874179
86,2019-05-27,M,11865441.0,8634.0,79.21161563435837
88,2019-06-03,F,11877294.0,10622.0,90.41848011015453
90,2019-06-03,M,11868637.0,10341.0,94.46185619187729
92,2019-06-10,F,11881178.0,10472.0,89.19900080497173
94,2019-06-10,M,11872900.0,10529.0,96.16759440136796
96,2019-06-17,F,11884531.0,10123.0,86.23640569285698
98,2019-06-17,M,11876792.0,9973.0,90.85634908783075
100,2019-06-24,F,11888810.0,10481.0,89.21828598057665
102,2019-06-24,M,11880932.0,10433.0,95.242915471511
104,2019-07-01,F,11889068.0,10312.0,87.63358773986319
106,2019-07-01,M,11881712.0,10264.0,93.3430586862566
108,2019-07-08,F,11895881.0,10027.0,85.22839251019198
110,2019-07-08,M,11888771.0,10274.0,93.51502526037497
112,2019-07-15,F,11897910.0,10328.0,87.79930256982198
114,2019-07-15,M,11891314.0,10097.0,91.98792111504898
116,2019-07-22,F,11901465.0,10050.0,85.45398822513832
118,2019-07-22,M,11894511.0,10044.0,91.46879183971323
120,2019-07-29,F,11904562.0,10160.0,86.44116408210473
122,2019-07-29,M,11897394.0,10143.0,92.54805542668666
124,2019-08-05,F,11907174.0,10343.0,87.83372226448009
126,2019-08-05,M,11900131.0,9991.0,90.83905297885978
128,2019-08-12,F,11910037.0,10098.0,85.68893246372427
130,2019-08-12,M,11903644.0,10169.0,92.52662871060714
132,2019-08-19,F,11913515.0,10132.0,86.00066782936764
134,2019-08-19,M,11907125.0,9994.0,90.80307404667096
136,2019-08-26,F,11915306.0,8961.0,76.16746261782119
138,2019-08-26,M,11909002.0,8629.0,78.46976117412392
140,2019-09-02,F,11919431.0,10520.0,89.12711942950776
142,2019-09-02,M,11912999.0,10328.0,93.64877986606167
144,2019-09-09,F,11924016.0,10419.0,88.30001789133756
146,2019-09-09,M,11916696.0,10157.0,92.06572991397996
148,2019-09-16,F,11928831.0,10406.0,88.26157453872727
150,2019-09-16,M,11921147.0,10143.0,91.95889646649437
152,2019-09-23,F,11934054.0,10346.0,87.8264195329735
154,2019-09-23,M,11925984.0,10384.0,94.27867102999924
156,2019-09-30,F,11934141.0,10645.0,90.29924472156338
158,2019-09-30,M,11929515.0,10372.0,93.93997808869534
160,2019-10-07,F,11940023.0,10651.0,90.23318449533075
162,2019-10-07,M,11935185.0,10324.0,93.11877058112331
164,2019-10-14,F,11944506.0,10566.0,89.4520480376246
166,2019-10-14,M,11939571.0,10689.0,96.79598264958274
168,2019-10-21,F,11949195.0,10440.0,88.46489626185502
170,2019-10-21,M,11944011.0,10380.0,93.9965223454694
172,2019-10-28,F,11954453.0,10305.0,87.44672026693301
174,2019-10-28,M,11948463.0,10109.0,91.49348426816778
