date,cancer_elective,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,13895.0,23619197.0,59.0,61.540000000000006
2019-01-07,17364.0,23624719.0,73.0,76.675
2019-01-14,16544.0,23632143.0,70.0,72.97
2019-01-21,16300.0,23638988.0,69.0,71.855
2019-01-28,16587.0,23646947.0,70.0,73.04500000000002
2019-02-04,16646.0,23654659.0,70.0,73.11999999999999
2019-02-11,16715.0,23659946.0,71.0,73.55499999999999
2019-02-18,16083.0,23665827.0,68.0,70.92
2019-02-25,16269.0,23671905.0,69.0,71.72
2019-03-04,16623.0,23676511.0,70.0,73.005
2019-03-11,17151.0,23683479.0,72.0,75.36
2019-03-18,16317.0,23687990.0,69.0,71.58500000000001
2019-03-25,15968.0,23697067.0,67.0,70.185
2019-04-01,16961.0,23695010.0,72.0,74.33999999999999
2019-04-08,16809.0,23707297.0,71.0,73.72999999999999
2019-04-15,14379.0,23711021.0,61.0,63.120000000000005
2019-04-22,15239.0,23713298.0,64.0,66.76
2019-04-29,17287.0,23718332.0,73.0,75.895
2019-05-06,15028.0,23722306.0,63.0,65.82000000000002
2019-05-13,16902.0,23728769.0,71.0,74.03000000000002
2019-05-20,16904.0,23735492.0,71.0,74.01
2019-05-27,14401.0,23740009.0,61.0,63.08500000000001
2019-06-03,16950.0,23746398.0,71.0,74.11500000000002
2019-06-10,16927.0,23754543.0,71.0,73.89
2019-06-17,16079.0,23761788.0,68.0,70.17500000000001
2019-06-24,16792.0,23770206.0,71.0,73.455
2019-07-01,16576.0,23771244.0,70.0,72.23
2019-07-08,16366.0,23785117.0,69.0,71.44000000000001
2019-07-15,16507.0,23789691.0,69.0,71.84500000000001
2019-07-22,16313.0,23796445.0,69.0,71.10500000000002
2019-07-29,16429.0,23802426.0,69.0,71.82000000000001
2019-08-05,16599.0,23807775.0,70.0,72.28
2019-08-12,16565.0,23814150.0,70.0,72.06
2019-08-19,16570.0,23821112.0,70.0,72.11000000000001
2019-08-26,14558.0,23824779.0,61.0,63.365
2019-09-02,17023.0,23832901.0,71.0,73.99000000000002
2019-09-09,16754.0,23841184.0,70.0,72.78
2019-09-16,16755.0,23850455.0,70.0,72.795
2019-09-23,16789.0,23860519.0,70.0,73.02000000000001
2019-09-30,17070.0,23864138.0,72.0,74.10500000000002
2019-10-07,16981.0,23875684.0,71.0,73.69500000000001
2019-10-14,17317.0,23884554.0,73.0,75.13000000000001
2019-10-21,16886.0,23893680.0,71.0,73.35000000000001
2019-10-28,16651.0,23903389.0,70.0,72.31
2019-11-04,17614.0,23912086.0,74.0,76.405
2019-11-11,17172.0,23921107.0,72.0,74.36000000000001
2019-11-18,17322.0,23928414.0,72.0,75.06500000000003
2019-11-25,17250.0,23933825.0,72.0,74.875
