,date,sex,population,disease,"European Standard population rate per 100,000"
0,2018-12-31,F,11819036.0,7912.0,64.5838306130339
2,2018-12-31,M,11799691.0,7897.0,74.08696532970693
4,2019-01-07,F,11821445.0,7788.0,63.422835576642086
6,2019-01-07,M,11802803.0,7945.0,74.65338764415984
8,2019-01-14,F,11824638.0,7571.0,61.54451753025953
10,2019-01-14,M,11807032.0,7567.0,70.73115932166566
12,2019-01-21,F,11827774.0,7572.0,61.55235470076745
14,2019-01-21,M,11810741.0,7988.0,74.3437068761702
16,2019-01-28,F,11831215.0,7444.0,60.595663185651354
18,2019-01-28,M,11815260.0,7676.0,71.54457866576813
20,2019-02-04,F,11834662.0,7691.0,62.63743356946295
22,2019-02-04,M,11819523.0,7970.0,73.7860350716316
24,2019-02-11,F,11836759.0,7394.0,60.23628977365133
26,2019-02-11,M,11822714.0,7590.0,70.70066992625252
28,2019-02-18,F,11839356.0,6921.0,56.365406326346644
30,2019-02-18,M,11825999.0,7324.0,68.34174552707334
32,2019-02-25,F,11842472.0,6716.0,54.87916417066654
34,2019-02-25,M,11828961.0,7035.0,65.92575434384578
36,2019-03-04,F,11844184.0,6689.0,54.232029615233465
38,2019-03-04,M,11831854.0,7176.0,66.99128008558826
40,2019-03-11,F,11847766.0,6492.0,52.678794797646155
42,2019-03-11,M,11835242.0,6914.0,64.40173292307459
44,2019-03-18,F,11849987.0,6307.0,51.31668000910905
46,2019-03-18,M,11837533.0,6868.0,63.855994137549814
48,2019-03-25,F,11854516.0,6262.0,50.94911161609203
50,2019-03-25,M,11842081.0,6647.0,61.96631374616257
52,2019-04-01,F,11853073.0,6594.0,53.52106505441754
54,2019-04-01,M,11841468.0,6998.0,65.30138928017006
56,2019-04-08,F,11858946.0,6440.0,52.17977961795444
58,2019-04-08,M,11847883.0,6822.0,63.63241783229415
60,2019-04-15,F,11860597.0,6153.0,49.683912979760564
62,2019-04-15,M,11849954.0,6695.0,63.163170562180134
64,2019-04-22,F,11861518.0,6211.0,50.387841553428835
66,2019-04-22,M,11851311.0,6577.0,61.790627223818824
68,2019-04-29,F,11863918.0,5800.0,47.1303052372976
70,2019-04-29,M,11853944.0,6189.0,58.14520277870382
72,2019-05-06,F,11865473.0,5699.0,46.07460867638748
74,2019-05-06,M,11856364.0,6266.0,58.53370902977769
76,2019-05-13,F,11868787.0,5902.0,47.68404591408514
78,2019-05-13,M,11859515.0,6404.0,59.78906111543723
80,2019-05-20,F,11872022.0,5872.0,47.530625208131205
82,2019-05-20,M,11863001.0,6299.0,58.69220503074769
84,2019-05-27,F,11874100.0,5431.0,44.01780076894265
86,2019-05-27,M,11865441.0,5798.0,54.58747055290266
88,2019-06-03,F,11877294.0,5580.0,44.9960651431326
90,2019-06-03,M,11868637.0,6024.0,56.151224900860335
92,2019-06-10,F,11881178.0,5542.0,44.697276915527766
94,2019-06-10,M,11872900.0,6027.0,56.25070104104178
96,2019-06-17,F,11884531.0,5585.0,45.028605159212425
98,2019-06-17,M,11876792.0,6296.0,58.525525537807546
100,2019-06-24,F,11888810.0,5573.0,44.97074660222387
