date,respiratory_disease,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,11201.0,23611904.0,47.0,48.39000000000001
2019-01-07,11245.0,23617401.0,48.0,48.39000000000001
2019-01-14,10708.0,23624804.0,45.0,45.940000000000005
2019-01-21,10960.0,23631621.0,46.0,46.980000000000004
2019-01-28,10872.0,23639543.0,46.0,46.59
2019-02-04,11433.0,23647215.0,48.0,48.905
2019-02-11,10606.0,23652484.0,45.0,45.44499999999999
2019-02-18,9916.0,23658329.0,42.0,42.65
2019-02-25,9368.0,23664356.0,40.0,40.29
2019-03-04,9158.0,23668927.0,39.0,39.265
2019-03-11,8790.0,23675864.0,37.0,37.575
2019-03-18,8574.0,23680330.0,36.0,36.605000000000004
2019-03-25,8542.0,23689369.0,36.0,36.50000000000001
2019-04-01,8955.0,23687249.0,38.0,38.335
2019-04-08,8764.0,23699484.0,37.0,37.45
2019-04-15,8148.0,23703142.0,34.0,34.93
2019-04-22,7948.0,23705391.0,34.0,34.175
2019-04-29,7478.0,23710360.0,32.0,32.07000000000001
2019-05-06,7083.0,23714311.0,30.0,30.160000000000004
2019-05-13,7431.0,23720731.0,31.0,31.820000000000004
2019-05-20,7553.0,23727412.0,32.0,32.305
2019-05-27,6528.0,23731893.0,28.0,28.085
2019-06-03,6899.0,23738242.0,29.0,29.345000000000002
2019-06-10,6837.0,23746351.0,29.0,29.200000000000003
2019-06-17,7215.0,23753554.0,30.0,30.665
2019-06-24,7068.0,23761927.0,30.0,30.2
2019-07-01,6721.0,23762922.0,28.0,28.639999999999997
2019-07-08,6704.0,23776744.0,28.0,28.490000000000002
2019-07-15,6581.0,23781259.0,28.0,28.064999999999998
2019-07-22,6700.0,23787948.0,28.0,28.584999999999997
2019-07-29,6533.0,23793909.0,27.0,27.925000000000004
2019-08-05,6145.0,23799218.0,26.0,26.04
2019-08-12,6062.0,23805560.0,25.0,25.815
2019-08-19,6141.0,23812464.0,26.0,26.235
2019-08-26,5963.0,23816074.0,25.0,25.450000000000003
2019-09-02,5913.0,23824172.0,25.0,25.15
2019-09-09,6802.0,23832408.0,29.0,28.830000000000005
2019-09-16,7643.0,23841622.0,32.0,32.265
2019-09-23,8226.0,23851639.0,34.0,34.765
2019-09-30,8206.0,23855039.0,34.0,34.75
2019-10-07,8492.0,23866438.0,36.0,35.955000000000005
2019-10-14,8889.0,23875269.0,37.0,37.65500000000001
2019-10-21,8636.0,23884343.0,36.0,36.585
2019-10-28,9053.0,23893995.0,38.0,38.285
2019-11-04,9353.0,23902666.0,39.0,39.39000000000001
2019-11-11,9642.0,23911644.0,40.0,40.67
2019-11-18,10483.0,23918916.0,44.0,44.150000000000006
2019-11-25,11118.0,23924290.0,46.0,46.675000000000004
2019-12-02,11617.0,23931800.0,49.0,48.74
2019-12-09,12448.0,23937161.0,52.0,52.30500000000001
2019-12-16,12855.0,23941357.0,54.0,54.21
2019-12-23,11626.0,23944307.0,49.0,49.260000000000005
2019-12-30,11900.0,23946220.0,50.0,50.515000000000015
2020-01-06,10768.0,23948149.0,45.0,45.635
2020-01-13,9437.0,23954182.0,39.0,39.92
2020-01-20,9237.0,23960468.0,39.0,38.955
2020-01-27,9688.0,23968007.0,40.0,40.915
2020-02-03,9260.0,23975040.0,39.0,39.050000000000004
2020-02-10,9206.0,23980270.0,38.0,38.815
2020-02-17,8603.0,23985530.0,36.0,36.22500000000001
2020-02-24,8781.0,23989971.0,37.0,37.225
2020-03-02,8456.0,23996004.0,35.0,35.565
2020-03-09,7929.0,24003185.0,33.0,33.56
2020-03-16,5942.0,24006650.0,25.0,25.040000000000003
2020-03-23,3942.0,24009554.0,16.0,16.695
2020-03-30,3307.0,24010688.0,14.0,14.085
2020-04-06,3021.0,24012040.0,13.0,12.825000000000003
2020-04-13,2644.0,24008085.0,11.0,11.21
2020-04-20,2773.0,24003120.0,12.0,11.92
2020-04-27,3101.0,23999911.0,13.0,13.205000000000004
2020-05-04,2930.0,23997782.0,12.0,12.57
2020-05-11,3003.0,23995906.0,13.0,13.005
2020-05-18,3134.0,23996159.0,13.0,13.455000000000002
2020-05-25,2801.0,23995064.0,12.0,12.065
2020-06-01,3193.0,23996376.0,13.0,13.600000000000001
2020-06-08,3235.0,23996956.0,13.0,13.865000000000002
2020-06-15,3440.0,23998082.0,14.0,14.650000000000002
2020-06-22,3595.0,23998911.0,15.0,15.45
2020-06-29,3422.0,23999707.0,14.0,14.5
2020-07-06,3275.0,24002614.0,14.0,13.975000000000001
2020-07-13,3520.0,24003874.0,15.0,14.930000000000001
2020-07-20,3560.0,24007434.0,15.0,15.280000000000003
2020-07-27,3729.0,24009467.0,16.0,15.78
2020-08-03,3718.0,24010895.0,15.0,15.825
2020-08-10,4029.0,24013643.0,17.0,17.09
2020-08-17,3886.0,24014991.0,16.0,16.46
2020-08-24,3989.0,24014732.0,17.0,16.950000000000003
2020-08-31,4223.0,24014912.0,18.0,17.75
2020-09-07,4868.0,24020525.0,20.0,20.555000000000003
2020-09-14,5188.0,24020659.0,22.0,21.755000000000003
2020-09-21,5118.0,24025392.0,21.0,21.585
2020-09-28,4889.0,24027788.0,20.0,20.725
2020-10-05,4786.0,24036435.0,20.0,20.125000000000004
2020-10-12,4634.0,24041112.0,19.0,19.46
2020-10-19,4710.0,24047217.0,20.0,19.87
2020-10-26,4204.0,24052346.0,17.0,17.794999999999998
2020-11-02,3978.0,24056762.0,17.0,16.85
2020-11-09,4003.0,24061180.0,17.0,16.840000000000003
2020-11-16,4027.0,24065314.0,17.0,17.035000000000004
2020-11-23,4005.0,24068623.0,17.0,16.845000000000002
2020-11-30,4262.0,24071375.0,18.0,18.045
2020-12-07,4157.0,24074926.0,17.0,17.565
2020-12-14,4020.0,24078356.0,17.0,17.0
2020-12-21,3290.0,24082192.0,14.0,14.0
2020-12-28,3290.0,24083362.0,14.0,14.000000000000002
