,date,admission_method,value_x,value_y,value,population,disease,"European Standard population rate per 100,000"
32,2019-04-22,elective,19.0,19.0,19.0,23705391.0,18443.0,80.77193342674845
33,2019-04-22,emergency,19.0,19.0,19.0,23705391.0,12877.0,55.98531134936112
34,2019-04-29,elective,19.0,19.0,19.0,23710360.0,21328.0,93.49104874725685
35,2019-04-29,emergency,19.0,19.0,19.0,23710360.0,12047.0,52.37730266385465
36,2019-05-06,elective,19.0,19.0,19.0,23714311.0,18347.0,80.18565570772304
37,2019-05-06,emergency,19.0,19.0,19.0,23714311.0,12016.0,51.9439850810849
38,2019-05-13,elective,19.0,19.0,19.0,23720731.0,20916.0,91.43090014687894
39,2019-05-13,emergency,19.0,19.0,19.0,23720731.0,12368.0,53.42720988923496
40,2019-05-20,elective,19.0,19.0,19.0,23727412.0,20936.0,91.54975122917696
41,2019-05-20,emergency,19.0,19.0,19.0,23727412.0,12221.0,52.87742323578222
42,2019-05-27,elective,19.0,19.0,19.0,23731893.0,17310.0,75.74630735179697
43,2019-05-27,emergency,19.0,19.0,19.0,23731893.0,11286.0,49.0099441117192
44,2019-06-03,elective,19.0,19.0,19.0,23738242.0,20907.0,91.19037041159137
45,2019-06-03,emergency,19.0,19.0,19.0,23738242.0,11665.0,50.382954406361826
46,2019-06-10,elective,19.0,19.0,19.0,23746351.0,20934.0,91.32833553585455
47,2019-06-10,emergency,19.0,19.0,19.0,23746351.0,11632.0,50.22131527501604
48,2019-06-17,elective,19.0,19.0,19.0,23753554.0,20026.0,87.36951928084888
49,2019-06-17,emergency,19.0,19.0,19.0,23753554.0,11956.0,51.592832180375396
50,2019-06-24,elective,19.0,19.0,19.0,23761927.0,20851.0,91.00097785934449
51,2019-06-24,emergency,19.0,19.0,19.0,23761927.0,11730.0,50.63038339063258
52,2019-07-01,elective,19.0,19.0,19.0,23762922.0,20506.0,89.26706358729507
53,2019-07-01,emergency,19.0,19.0,19.0,23762922.0,11223.0,48.34500674194341
54,2019-07-08,elective,19.0,19.0,19.0,23776744.0,20244.0,88.10805982220039
55,2019-07-08,emergency,19.0,19.0,19.0,23776744.0,11270.0,48.561077344380685
56,2019-07-15,elective,18.0,19.0,19.0,23781259.0,20176.0,87.92926612965361
57,2019-07-15,emergency,19.0,19.0,19.0,23781259.0,11242.0,48.50198156678642
58,2019-07-22,elective,19.0,19.0,19.0,23787948.0,20029.0,87.30966172162013
59,2019-07-22,emergency,19.0,19.0,19.0,23787948.0,11400.0,49.23074345873329
60,2019-07-29,elective,18.0,19.0,19.0,23793909.0,20069.0,87.57526031003562
61,2019-07-29,emergency,19.0,19.0,19.0,23793909.0,11055.0,47.67370045390514
62,2019-08-05,elective,19.0,19.0,19.0,23799218.0,20270.0,88.156074812644
63,2019-08-05,emergency,19.0,19.0,19.0,23799218.0,10763.0,46.39867582707208
64,2019-08-12,elective,19.0,19.0,19.0,23805560.0,20215.0,87.88097264487544
65,2019-08-12,emergency,19.0,19.0,19.0,23805560.0,10696.0,46.181266231639384
66,2019-08-19,elective,19.0,19.0,19.0,23812464.0,20066.0,87.22549384216755
67,2019-08-19,emergency,19.0,19.0,19.0,23812464.0,10878.0,46.9057048465575
68,2019-08-26,elective,19.0,19.0,19.0,23816074.0,17512.0,76.22704296481986
69,2019-08-26,emergency,19.0,19.0,19.0,23816074.0,10672.0,45.99885686309632
70,2019-09-02,elective,19.0,19.0,19.0,23824172.0,20786.0,90.21826610050087
71,2019-09-02,emergency,19.0,19.0,19.0,23824172.0,10484.0,45.08030175063468
72,2019-09-09,elective,19.0,19.0,19.0,23832408.0,20517.0,89.01323726241942
73,2019-09-09,emergency,19.0,19.0,19.0,23832408.0,11637.0,49.894065326913285
74,2019-09-16,elective,19.0,19.0,19.0,23841622.0,20486.0,88.9666324524884
75,2019-09-16,emergency,19.0,19.0,19.0,23841622.0,12425.0,53.127226692079624
76,2019-09-23,elective,19.0,19.0,19.0,23851639.0,20674.0,89.8212313828162
77,2019-09-23,emergency,19.0,19.0,19.0,23851639.0,13030.0,55.81523299620904
78,2019-09-30,elective,19.0,19.0,19.0,23855039.0,20963.0,90.9552271086447
79,2019-09-30,emergency,19.0,19.0,19.0,23855039.0,13068.0,55.98071639535058
80,2019-10-07,elective,19.0,19.0,19.0,23866438.0,20905.0,90.53957850706047
81,2019-10-07,emergency,19.0,19.0,19.0,23866438.0,13327.0,56.96448496162619
82,2019-10-14,elective,19.0,19.0,19.0,23875269.0,21189.0,91.89509615562042
83,2019-10-14,emergency,19.0,19.0,19.0,23875269.0,13880.0,59.316274869847746
84,2019-10-21,elective,19.0,19.0,19.0,23884343.0,20767.0,90.00267617132809
85,2019-10-21,emergency,19.0,19.0,19.0,23884343.0,13231.0,56.550269930948616
86,2019-10-28,elective,19.0,19.0,19.0,23893995.0,20345.0,88.22944197421748
87,2019-10-28,emergency,19.0,19.0,19.0,23893995.0,13861.0,59.212685140402805
88,2019-11-04,elective,19.0,19.0,19.0,23902666.0,21665.0,93.77845229417143
89,2019-11-04,emergency,19.0,19.0,19.0,23902666.0,14169.0,60.39264021419585
90,2019-11-11,elective,18.0,19.0,19.0,23911644.0,20922.0,90.64981213338908
91,2019-11-11,emergency,19.0,19.0,19.0,23911644.0,14473.0,61.578329815173944
92,2019-11-18,elective,19.0,19.0,19.0,23918916.0,21498.0,93.04076882880943
93,2019-11-18,emergency,19.0,19.0,19.0,23918916.0,15124.0,64.19513405601309
94,2019-11-25,elective,19.0,19.0,19.0,23924290.0,21179.0,91.74082516625334
95,2019-11-25,emergency,19.0,19.0,19.0,23924290.0,15742.0,66.83720341066103
96,2019-12-02,elective,19.0,19.0,19.0,23931800.0,21782.0,94.15134939089671
97,2019-12-02,emergency,19.0,19.0,19.0,23931800.0,16009.0,67.7947098725741
98,2019-12-09,elective,19.0,19.0,19.0,23937161.0,21622.0,93.50861434867815
99,2019-12-09,emergency,19.0,19.0,19.0,23937161.0,16771.0,71.03099282364853
100,2019-12-16,elective,19.0,19.0,19.0,23941357.0,21347.0,92.27431099902412
101,2019-12-16,emergency,19.0,19.0,19.0,23941357.0,17395.0,73.92483187155361
102,2019-12-23,elective,18.0,19.0,19.0,23944307.0,10947.0,47.369205409297734
103,2019-12-23,emergency,19.0,19.0,19.0,23944307.0,16283.0,69.36737198030045
104,2019-12-30,elective,19.0,19.0,19.0,23946220.0,16420.0,71.05506225202268
105,2019-12-30,emergency,19.0,19.0,19.0,23946220.0,16772.0,71.67005600418646
106,2020-01-06,elective,19.0,19.0,19.0,23948149.0,22614.0,97.60442827769347
107,2020-01-06,emergency,19.0,19.0,19.0,23948149.0,15566.0,66.43155017615439
108,2020-01-13,elective,19.0,19.0,19.0,23954182.0,21361.0,92.18170079649528
109,2020-01-13,emergency,19.0,19.0,19.0,23954182.0,14077.0,60.121058735484304
110,2020-01-20,elective,19.0,19.0,19.0,23960468.0,21241.0,91.70838245079815
111,2020-01-20,emergency,19.0,19.0,19.0,23960468.0,13789.0,58.870252633603
112,2020-01-27,elective,19.0,19.0,19.0,23968007.0,21429.0,92.54768676514787
113,2020-01-27,emergency,19.0,19.0,19.0,23968007.0,14495.0,61.85763022485863
114,2020-02-03,elective,19.0,19.0,19.0,23975040.0,21406.0,92.18333837519715
115,2020-02-03,emergency,19.0,19.0,19.0,23975040.0,13842.0,58.90322396723283
116,2020-02-10,elective,19.0,19.0,19.0,23980270.0,21324.0,91.91872149686837
117,2020-02-10,emergency,19.0,19.0,19.0,23980270.0,13996.0,59.671490345239484
118,2020-02-17,elective,19.0,19.0,19.0,23985530.0,20454.0,88.20843291275173
119,2020-02-17,emergency,19.0,19.0,19.0,23985530.0,13197.0,56.23318506645156
120,2020-02-24,elective,19.0,19.0,19.0,23989971.0,21117.0,91.0396382271625
121,2020-02-24,emergency,19.0,19.0,19.0,23989971.0,13549.0,57.85986972707846
122,2020-03-02,elective,19.0,19.0,19.0,23996004.0,21598.0,92.88145999440353
123,2020-03-02,emergency,19.0,19.0,19.0,23996004.0,13121.0,55.759190148413694
124,2020-03-09,elective,19.0,19.0,19.0,24003185.0,21208.0,91.31989637441872
125,2020-03-09,emergency,19.0,19.0,19.0,24003185.0,11841.0,50.337363542725434
126,2020-03-16,elective,18.0,19.0,19.0,24006650.0,17398.0,75.04405186583199
127,2020-03-16,emergency,19.0,19.0,19.0,24006650.0,9225.0,39.21919497412644
128,2020-03-23,elective,18.0,19.0,19.0,24009554.0,12649.0,54.622328078209634
129,2020-03-23,emergency,19.0,19.0,19.0,24009554.0,6768.0,28.896467692430935
130,2020-03-30,elective,18.0,19.0,19.0,24010688.0,10690.0,46.14798538274615
131,2020-03-30,emergency,19.0,19.0,19.0,24010688.0,6392.0,27.36203937962274
132,2020-04-06,elective,17.0,19.0,19.0,24012040.0,8763.0,37.771389959936144
133,2020-04-06,emergency,19.0,19.0,19.0,24012040.0,6111.0,26.113684003678635
134,2020-04-13,elective,18.0,19.0,19.0,24008085.0,8828.0,38.0406207186187
135,2020-04-13,emergency,19.0,19.0,19.0,24008085.0,6162.0,26.369091946893928
136,2020-04-20,elective,19.0,19.0,19.0,24003120.0,9870.0,42.53966207232298
137,2020-04-20,emergency,19.0,19.0,19.0,24003120.0,6930.0,29.723172512541087
138,2020-04-27,elective,19.0,19.0,18.0,23999911.0,9809.0,42.244414002283925
139,2020-04-27,emergency,19.0,19.0,19.0,23999911.0,7712.0,33.16833404053251
140,2020-05-04,elective,17.0,19.0,18.0,23997782.0,9304.0,40.11750229385318
141,2020-05-04,emergency,19.0,19.0,19.0,23997782.0,7718.0,33.121303619598145
142,2020-05-11,elective,19.0,19.0,19.0,23995906.0,11216.0,48.25703516705901
143,2020-05-11,emergency,19.0,19.0,19.0,23995906.0,7868.0,33.816343408515884
144,2020-05-18,elective,19.0,19.0,19.0,23996159.0,11346.0,48.914807278533736
145,2020-05-18,emergency,19.0,19.0,19.0,23996159.0,8193.0,35.150724707981006
146,2020-05-25,elective,18.0,19.0,19.0,23995064.0,10305.0,44.48079311830074
147,2020-05-25,emergency,19.0,19.0,19.0,23995064.0,7605.0,32.721052550718625
148,2020-06-01,elective,18.0,19.0,19.0,23996376.0,12326.0,53.01265159954612
149,2020-06-01,emergency,19.0,19.0,19.0,23996376.0,8380.0,35.94154577788321
150,2020-06-08,elective,19.0,19.0,19.0,23996956.0,12661.0,54.480390197539684
151,2020-06-08,emergency,19.0,19.0,19.0,23996956.0,8565.0,36.74856832521756
152,2020-06-15,elective,19.0,19.0,19.0,23998082.0,12902.0,55.52269109125283
153,2020-06-15,emergency,19.0,19.0,19.0,23998082.0,8847.0,37.94674020082968
154,2020-06-22,elective,19.0,19.0,19.0,23998911.0,13827.0,59.55219664591988
155,2020-06-22,emergency,19.0,19.0,19.0,23998911.0,9085.0,39.06890977076794
156,2020-06-29,elective,19.0,19.0,19.0,23999707.0,14076.0,60.583026501653784
157,2020-06-29,emergency,19.0,19.0,19.0,23999707.0,8708.0,37.404799263084186
158,2020-07-06,elective,19.0,19.0,19.0,24002614.0,13960.0,59.996887780928894
159,2020-07-06,emergency,19.0,19.0,19.0,24002614.0,8562.0,36.68656712323891
160,2020-07-13,elective,19.0,19.0,19.0,24003874.0,14683.0,63.14663472016121
161,2020-07-13,emergency,19.0,19.0,19.0,24003874.0,9005.0,38.57313340363768
162,2020-07-20,elective,19.0,19.0,19.0,24007434.0,14620.0,62.920382161965314
163,2020-07-20,emergency,19.0,19.0,19.0,24007434.0,8863.0,38.00150084793177
164,2020-07-27,elective,19.0,19.0,19.0,24009467.0,14605.0,62.8031749651464
165,2020-07-27,emergency,19.0,19.0,19.0,24009467.0,9001.0,38.56345296440447
166,2020-08-03,elective,19.0,19.0,19.0,24010895.0,14929.0,64.06567064913129
167,2020-08-03,emergency,19.0,19.0,19.0,24010895.0,8822.0,37.68188730846562
168,2020-08-10,elective,19.0,19.0,19.0,24013643.0,15022.0,64.45088962053553
169,2020-08-10,emergency,19.0,19.0,19.0,24013643.0,9071.0,38.772485116223116
170,2020-08-17,elective,19.0,19.0,19.0,24014991.0,15505.0,66.52705334282606
171,2020-08-17,emergency,19.0,19.0,19.0,24014991.0,9004.0,38.52935440095511
172,2020-08-24,elective,19.0,19.0,19.0,24014732.0,15605.0,67.01511546019245
173,2020-08-24,emergency,19.0,19.0,19.0,24014732.0,9156.0,39.107218202049594
174,2020-08-31,elective,19.0,19.0,19.0,24014912.0,14090.0,60.49497421730996
175,2020-08-31,emergency,19.0,19.0,19.0,24014912.0,9250.0,39.52334780511062
176,2020-09-07,elective,19.0,19.0,19.0,24020525.0,16292.0,69.77921226944818
177,2020-09-07,emergency,19.0,19.0,19.0,24020525.0,9948.0,42.262548165544274
178,2020-09-14,elective,19.0,19.0,19.0,24020659.0,16387.0,70.20817852837811
179,2020-09-14,emergency,19.0,19.0,19.0,24020659.0,10169.0,43.14396209289478
180,2020-09-21,elective,19.0,19.0,19.0,24025392.0,16612.0,71.25162867285782
181,2020-09-21,emergency,19.0,19.0,19.0,24025392.0,10007.0,42.57296335895425
182,2020-09-28,elective,19.0,19.0,19.0,24027788.0,16993.0,72.84349485127291
183,2020-09-28,emergency,19.0,19.0,19.0,24027788.0,10010.0,42.640635208605104
184,2020-10-05,elective,19.0,19.0,19.0,24036435.0,17300.0,74.00604086205594
185,2020-10-05,emergency,19.0,19.0,19.0,24036435.0,9820.0,41.68676909281409
186,2020-10-12,elective,19.0,19.0,19.0,24041112.0,17506.0,74.90836060838475
187,2020-10-12,emergency,19.0,19.0,19.0,24041112.0,9476.0,40.24650633891098
188,2020-10-19,elective,19.0,19.0,19.0,24047217.0,17309.0,74.07884549872115
189,2020-10-19,emergency,19.0,19.0,19.0,24047217.0,9483.0,40.368136812480174
190,2020-10-26,elective,19.0,19.0,19.0,24052346.0,16718.0,71.58809720320014
191,2020-10-26,emergency,19.0,19.0,19.0,24052346.0,8748.0,37.253526493754705
192,2020-11-02,elective,19.0,19.0,19.0,24056762.0,17426.0,74.42172329616152
193,2020-11-02,emergency,19.0,19.0,19.0,24056762.0,8499.0,36.08565290342024
194,2020-11-09,elective,19.0,19.0,19.0,24061180.0,17251.0,73.75690854142579
195,2020-11-09,emergency,19.0,19.0,19.0,24061180.0,8791.0,37.35121034485773
196,2020-11-16,elective,19.0,19.0,19.0,24065314.0,17116.0,73.13357824221734
197,2020-11-16,emergency,19.0,19.0,19.0,24065314.0,8644.0,36.737550556191124
198,2020-11-23,elective,19.0,19.0,19.0,24068623.0,17268.0,73.8576924908955
199,2020-11-23,emergency,19.0,19.0,19.0,24068623.0,8620.0,36.640361924442914
200,2020-11-30,elective,19.0,19.0,19.0,24071375.0,17606.0,75.29426292502369
201,2020-11-30,emergency,19.0,19.0,19.0,24071375.0,9162.0,39.01221296329958
202,2020-12-07,elective,19.0,19.0,19.0,24074926.0,17797.0,76.0286780070971
203,2020-12-07,emergency,19.0,19.0,19.0,24074926.0,9186.0,39.01030442455632
204,2020-12-14,elective,19.0,19.0,19.0,24078356.0,17816.0,76.12721502586784
205,2020-12-14,emergency,19.0,19.0,19.0,24078356.0,8588.0,36.54244087655564
206,2020-12-21,elective,19.0,19.0,19.0,24082192.0,12286.0,52.53139675183883
207,2020-12-21,emergency,19.0,19.0,19.0,24082192.0,7618.0,32.46154823211851
208,2020-12-28,elective,19.0,19.0,18.0,24083362.0,10329.0,44.154180223958726
209,2020-12-28,emergency,19.0,19.0,19.0,24083362.0,7804.0,33.270003883139616
