,date,admission_method,value_x,value_y,value,population,disease,"European Standard population rate per 100,000"
0,2018-12-31,elective,19.0,19.0,19.0,23611904.0,16461.0,72.61303484554205
1,2018-12-31,emergency,19.0,19.0,19.0,23611904.0,15874.0,69.20145932105792
2,2019-01-07,elective,19.0,19.0,19.0,23617401.0,21561.0,94.79463145215115
3,2019-01-07,emergency,19.0,19.0,19.0,23617401.0,15795.0,68.56892662784345
4,2019-01-14,elective,19.0,19.0,19.0,23624804.0,20490.0,90.13296538264116
5,2019-01-14,emergency,19.0,19.0,19.0,23624804.0,15201.0,65.88025472472283
6,2019-01-21,elective,19.0,19.0,19.0,23631621.0,20461.0,90.0235261314167
7,2019-01-21,emergency,19.0,19.0,19.0,23631621.0,15626.0,67.64764900226061
8,2019-01-28,elective,19.0,19.0,19.0,23639543.0,20691.0,91.04332876305028
9,2019-01-28,emergency,19.0,19.0,19.0,23639543.0,15178.0,65.73878836641424
10,2019-02-04,elective,19.0,19.0,19.0,23647215.0,20848.0,91.49784958733437
11,2019-02-04,emergency,19.0,19.0,19.0,23647215.0,15743.0,68.02986082824941
12,2019-02-11,elective,19.0,19.0,19.0,23652484.0,20861.0,91.57533131265741
13,2019-02-11,emergency,19.0,19.0,19.0,23652484.0,15050.0,65.16869832612666
14,2019-02-18,elective,19.0,19.0,19.0,23658329.0,19857.0,87.18198052935058
15,2019-02-18,emergency,19.0,19.0,19.0,23658329.0,14302.0,62.046519203383966
16,2019-02-25,elective,19.0,19.0,19.0,23664356.0,20352.0,89.48327949387962
17,2019-02-25,emergency,19.0,19.0,19.0,23664356.0,13816.0,60.04452377114278
18,2019-03-04,elective,19.0,19.0,19.0,23668927.0,20719.0,90.80533281450589
19,2019-03-04,emergency,19.0,19.0,19.0,23668927.0,13930.0,60.29679039702003
20,2019-03-11,elective,19.0,19.0,19.0,23675864.0,21168.0,92.81273619613775
21,2019-03-11,emergency,19.0,19.0,19.0,23675864.0,13465.0,58.27548856921268
22,2019-03-18,elective,19.0,19.0,19.0,23680330.0,20244.0,88.82094214063378
23,2019-03-18,emergency,19.0,19.0,19.0,23680330.0,13243.0,57.29923950218185
24,2019-03-25,elective,19.0,19.0,19.0,23689369.0,19969.0,87.60671700797874
25,2019-03-25,emergency,19.0,19.0,19.0,23689369.0,12968.0,56.09795270224071
26,2019-04-01,elective,19.0,19.0,19.0,23687249.0,21065.0,92.17300969548567
27,2019-04-01,emergency,19.0,19.0,19.0,23687249.0,13652.0,59.013815440415556
28,2019-04-08,elective,19.0,19.0,19.0,23699484.0,20643.0,90.33584553945137
29,2019-04-08,emergency,19.0,19.0,19.0,23699484.0,13325.0,57.59362307116171
30,2019-04-15,elective,18.0,19.0,19.0,23703142.0,17195.0,75.40940424094693
31,2019-04-15,emergency,19.0,19.0,19.0,23703142.0,12902.0,55.94008798227813
