,date,imd_group,"European Standard population rate per 100,000",disease,population
0,2018-12-31,Least deprived,55.875318357352235,2450.0,4026390.0
1,2018-12-31,Middle level,55.73858077478226,7287.0,13258377.0
2,2018-12-31,Most deprived,51.627570156021534,1982.0,4828065.0
3,2019-01-07,Least deprived,77.68387975607534,3387.0,4028793.0
4,2019-01-07,Middle level,74.49357193423629,9743.0,13268548.0
5,2019-01-07,Most deprived,70.22556857728345,2704.0,4832181.0
6,2019-01-14,Least deprived,72.20151138011214,3149.0,4031895.0
7,2019-01-14,Middle level,71.03374451231018,9273.0,13281747.0
8,2019-01-14,Most deprived,65.05930114539764,2541.0,4838107.0
9,2019-01-21,Least deprived,73.21087123714577,3216.0,4034603.0
10,2019-01-21,Middle level,70.93642054919049,9271.0,13294153.0
11,2019-01-21,Most deprived,67.50420258215796,2611.0,4843687.0
12,2019-01-28,Least deprived,70.9679401578624,3113.0,4037214.0
13,2019-01-28,Middle level,72.72213976088506,9500.0,13306217.0
14,2019-01-28,Most deprived,68.46095765577934,2654.0,4849780.0
15,2019-02-04,Least deprived,72.72761907806769,3203.0,4039701.0
16,2019-02-04,Middle level,73.08354074378589,9597.0,13317816.0
17,2019-02-04,Most deprived,67.9672442920798,2629.0,4855215.0
18,2019-02-11,Least deprived,75.10303400409127,3296.0,4042137.0
19,2019-02-11,Middle level,72.39406355493573,9492.0,13329099.0
20,2019-02-11,Most deprived,67.29305940994735,2623.0,4860422.0
21,2019-02-18,Least deprived,68.14448645215536,3000.0,4044623.0
22,2019-02-18,Middle level,68.97225290665877,9088.0,13340538.0
23,2019-02-18,Most deprived,64.81600798513121,2543.0,4865571.0
24,2019-02-25,Least deprived,72.55639376752688,3195.0,4047124.0
25,2019-02-25,Middle level,71.1712201673764,9341.0,13351984.0
26,2019-02-25,Most deprived,68.57315473227192,2645.0,4871058.0
27,2019-03-04,Least deprived,74.84836847189428,3307.0,4049435.0
28,2019-03-04,Middle level,70.81275718118715,9354.0,13362868.0
29,2019-03-04,Most deprived,71.63943735944194,2769.0,4876351.0
30,2019-03-11,Least deprived,74.47539583788001,3293.0,4051941.0
31,2019-03-11,Middle level,74.2280265909356,9817.0,13374395.0
32,2019-03-11,Most deprived,69.155431111026,2690.0,4882279.0
33,2019-03-18,Least deprived,70.67239021403628,3134.0,4054415.0
34,2019-03-18,Middle level,70.72002492758969,9328.0,13385089.0
35,2019-03-18,Most deprived,65.09029680002772,2536.0,4886963.0
36,2019-03-25,Least deprived,69.79936203959241,3090.0,4056968.0
37,2019-03-25,Middle level,69.85679195876101,9250.0,13396633.0
38,2019-03-25,Most deprived,67.34266521477925,2612.0,4894864.0
39,2019-04-01,Least deprived,75.47693504751322,3363.0,4058825.0
40,2019-04-01,Middle level,72.91600575411194,9655.0,13405208.0
41,2019-04-01,Most deprived,71.01386538882326,2747.0,4898925.0
42,2019-04-08,Least deprived,70.4364480540293,3149.0,4061539.0
43,2019-04-08,Middle level,71.9858093933405,9530.0,13417592.0
44,2019-04-08,Most deprived,70.79701934641517,2764.0,4904697.0
45,2019-04-15,Least deprived,60.8206191331019,2705.0,4063880.0
46,2019-04-15,Middle level,59.86762625884904,7941.0,13427888.0
47,2019-04-15,Most deprived,55.36336251853658,2173.0,4909313.0
48,2019-04-22,Least deprived,62.83858781016105,2801.0,4065379.0
49,2019-04-22,Middle level,65.59281131823653,8696.0,13434011.0
50,2019-04-22,Most deprived,60.34062547265118,2377.0,4911924.0
51,2019-04-29,Least deprived,74.74361046303808,3323.0,4068098.0
52,2019-04-29,Middle level,74.90639470464434,9958.0,13445161.0
53,2019-04-29,Most deprived,71.77041156560225,2803.0,4916832.0
54,2019-05-06,Least deprived,64.65116820023135,2876.0,4070067.0
55,2019-05-06,Middle level,64.11602960955791,8532.0,13454019.0
56,2019-05-06,Most deprived,60.02860677060648,2349.0,4920695.0
57,2019-05-13,Least deprived,74.49950090700217,3323.0,4072682.0
58,2019-05-13,Middle level,74.14710482551567,9883.0,13465200.0
59,2019-05-13,Most deprived,70.55935397277139,2732.0,4925653.0
60,2019-05-20,Least deprived,73.41746575217508,3285.0,4075218.0
61,2019-05-20,Middle level,75.26639667570494,10028.0,13476069.0
62,2019-05-20,Most deprived,70.5242629840187,2726.0,4930940.0
63,2019-05-27,Least deprived,59.37378576676161,2648.0,4077220.0
64,2019-05-27,Middle level,61.63841346908193,8215.0,13484653.0
65,2019-05-27,Most deprived,55.539318149591345,2149.0,4934933.0
66,2019-06-03,Least deprived,76.18826819429893,3388.0,4079795.0
67,2019-06-03,Middle level,74.35656498527099,9921.0,13495459.0
68,2019-06-03,Most deprived,70.51532699603742,2733.0,4940146.0
69,2019-06-10,Least deprived,76.2914812959117,3408.0,4082484.0
70,2019-06-10,Middle level,74.79716308910183,9967.0,13506566.0
71,2019-06-10,Most deprived,68.42042280587032,2700.0,4946154.0
72,2019-06-17,Least deprived,69.76105181476332,3130.0,4085000.0
73,2019-06-17,Middle level,71.99487825410431,9600.0,13517360.0
74,2019-06-17,Most deprived,68.0224496231073,2679.0,4951837.0
75,2019-06-24,Least deprived,74.08865787659536,3314.0,4087623.0
76,2019-06-24,Middle level,76.09934429472109,10148.0,13528719.0
77,2019-06-24,Most deprived,69.91977401574133,2747.0,4957810.0
78,2019-07-01,Least deprived,72.66553460197555,3282.0,4089674.0
79,2019-07-01,Middle level,72.73753648288584,9752.0,13537543.0
80,2019-07-01,Most deprived,72.32707450254831,2795.0,4962319.0
81,2019-07-08,Least deprived,73.58512499661678,3318.0,4092795.0
82,2019-07-08,Middle level,73.33120417769847,9845.0,13550969.0
83,2019-07-08,Most deprived,65.6325703506278,2576.0,4968457.0
84,2019-07-15,Least deprived,73.46649903234483,3325.0,4095508.0
85,2019-07-15,Middle level,73.04536246100396,9791.0,13561859.0
86,2019-07-15,Most deprived,68.58105182833096,2691.0,4973456.0
87,2019-07-22,Least deprived,72.91140387765009,3277.0,4098077.0
88,2019-07-22,Middle level,72.62625522243904,9728.0,13572661.0
89,2019-07-22,Most deprived,66.25200255285462,2608.0,4978496.0
90,2019-07-29,Least deprived,71.68028632969092,3240.0,4100568.0
91,2019-07-29,Middle level,73.4138093497685,9828.0,13583099.0
92,2019-07-29,Most deprived,69.40564514547361,2717.0,4983184.0
93,2019-08-05,Least deprived,72.33970650332769,3270.0,4103565.0
94,2019-08-05,Middle level,73.20550604598941,9820.0,13594901.0
95,2019-08-05,Most deprived,67.11825145479013,2711.0,4988207.0
96,2019-08-12,Least deprived,72.59330423655405,3298.0,4106515.0
97,2019-08-12,Middle level,72.40223724345256,9765.0,13606969.0
98,2019-08-12,Most deprived,67.4895416299938,2675.0,4993227.0
99,2019-08-19,Least deprived,73.0416184536225,3327.0,4109442.0
100,2019-08-19,Middle level,72.58727800881734,9761.0,13618707.0
101,2019-08-19,Most deprived,68.31622355958174,2696.0,4998337.0
102,2019-08-26,Least deprived,63.17856205962588,2835.0,4111837.0
103,2019-08-26,Middle level,62.81277193896116,8463.0,13628170.0
104,2019-08-26,Most deprived,58.70295695616709,2335.0,5002397.0
105,2019-09-02,Least deprived,73.51843825529185,3336.0,4115317.0
106,2019-09-02,Middle level,75.51797719951968,10218.0,13641008.0
107,2019-09-02,Most deprived,72.76529234013739,2881.0,5007578.0
108,2019-09-09,Least deprived,73.96925981545219,3368.0,4119209.0
109,2019-09-09,Middle level,74.59297487876172,10094.0,13655131.0
110,2019-09-09,Most deprived,72.21530629978726,2858.0,5013498.0
111,2019-09-16,Least deprived,74.30323363552546,3366.0,4122887.0
112,2019-09-16,Middle level,74.94691487573792,10139.0,13670517.0
113,2019-09-16,Most deprived,71.00701040462694,2829.0,5019412.0
114,2019-09-23,Least deprived,75.88952059404743,3462.0,4126840.0
115,2019-09-23,Middle level,75.05076726387607,10116.0,13687789.0
116,2019-09-23,Most deprived,73.4992449069272,2952.0,5026160.0
117,2019-09-30,Least deprived,76.50303826069863,3481.0,4130862.0
118,2019-09-30,Middle level,76.68381734182968,10386.0,13705475.0
119,2019-09-30,Most deprived,73.18050933702526,2929.0,5033180.0
120,2019-10-07,Least deprived,77.24769855084914,3540.0,4135790.0
121,2019-10-07,Middle level,76.79060840722721,10426.0,13722324.0
122,2019-10-07,Most deprived,71.91987241926047,2891.0,5040003.0
123,2019-10-14,Least deprived,76.1491968693428,3481.0,4139585.0
124,2019-10-14,Middle level,79.14029370832185,10721.0,13737395.0
125,2019-10-14,Most deprived,72.63119205213282,2899.0,5046173.0
126,2019-10-21,Least deprived,77.31764215049608,3545.0,4143171.0
127,2019-10-21,Middle level,76.65325550270639,10412.0,13752181.0
128,2019-10-21,Most deprived,73.61322166991492,2946.0,5052314.0
129,2019-10-28,Least deprived,76.73741990439227,3497.0,4146633.0
130,2019-10-28,Middle level,74.83659263374918,10171.0,13766825.0
131,2019-10-28,Most deprived,69.71465795006071,2793.0,5058329.0
132,2019-11-04,Least deprived,80.7210693805421,3704.0,4149930.0
133,2019-11-04,Middle level,80.6162040716515,11005.0,13781003.0
134,2019-11-04,Most deprived,75.94899088877813,3061.0,5064425.0
135,2019-11-11,Least deprived,78.92667877220067,3593.0,4153081.0
136,2019-11-11,Middle level,78.4482232516533,10697.0,13795585.0
137,2019-11-11,Most deprived,72.12900292006631,2924.0,5070774.0
138,2019-11-18,Least deprived,78.43609176879448,3603.0,4156117.0
139,2019-11-18,Middle level,81.22260691545522,11054.0,13808920.0
140,2019-11-18,Most deprived,74.77179525918076,3035.0,5076993.0
141,2019-11-25,Least deprived,79.96337241972815,3679.0,4158967.0
142,2019-11-25,Middle level,78.68532452029378,10757.0,13821848.0
143,2019-11-25,Most deprived,73.91720490048074,2956.0,5082901.0
144,2019-12-02,Least deprived,81.50567134035543,3763.0,4162099.0
145,2019-12-02,Middle level,81.83544099329974,11222.0,13834722.0
146,2019-12-02,Most deprived,78.0440575064793,3110.0,5088602.0
147,2019-12-09,Least deprived,81.36547056142705,3724.0,4164825.0
148,2019-12-09,Middle level,81.5447786126158,11175.0,13846315.0
149,2019-12-09,Most deprived,75.86008609501069,3088.0,5093912.0
150,2019-12-16,Least deprived,78.44040289671361,3618.0,4167394.0
151,2019-12-16,Middle level,81.41220545593897,11135.0,13856731.0
152,2019-12-16,Most deprived,75.04948860770577,3037.0,5099300.0
153,2019-12-23,Least deprived,40.59897891499306,1867.0,4169711.0
154,2019-12-23,Middle level,40.50176263474727,5577.0,13867082.0
155,2019-12-23,Most deprived,37.3486304464907,1531.0,5104079.0
156,2019-12-30,Least deprived,61.285440983088364,2832.0,4171080.0
157,2019-12-30,Middle level,61.18398493319711,8385.0,13872857.0
158,2019-12-30,Most deprived,56.32143937223762,2252.0,5106797.0
159,2020-01-06,Least deprived,87.23056708313933,4029.0,4173245.0
160,2020-01-06,Middle level,85.7943309751078,11814.0,13881863.0
161,2020-01-06,Most deprived,79.4925675612951,3210.0,5111162.0
162,2020-01-13,Least deprived,80.64084920566226,3717.0,4176253.0
163,2020-01-13,Middle level,82.34202674981607,11301.0,13895382.0
164,2020-01-13,Most deprived,78.34152821008672,3132.0,5117607.0
165,2020-01-20,Least deprived,82.77134884876995,3829.0,4179053.0
166,2020-01-20,Middle level,81.5541111598602,11228.0,13909037.0
167,2020-01-20,Most deprived,76.00753368173848,3089.0,5124412.0
168,2020-01-27,Least deprived,81.83354464987406,3792.0,4181902.0
169,2020-01-27,Middle level,81.40847251660317,11203.0,13922541.0
170,2020-01-27,Most deprived,79.39085496771067,3221.0,5130954.0
171,2020-02-03,Least deprived,80.81365925027615,3741.0,4184513.0
172,2020-02-03,Middle level,81.99825585624784,11354.0,13936064.0
173,2020-02-03,Most deprived,76.7907633028731,3156.0,5136931.0
174,2020-02-10,Least deprived,81.14580394633191,3764.0,4187049.0
175,2020-02-10,Middle level,82.88388332649193,11451.0,13948810.0
176,2020-02-10,Most deprived,75.33182317983398,3062.0,5142726.0
177,2020-02-17,Least deprived,74.98866782437703,3478.0,4189629.0
178,2020-02-17,Middle level,77.97779307003042,10789.0,13961188.0
179,2020-02-17,Most deprived,77.62441670502177,3175.0,5148406.0
180,2020-02-24,Least deprived,80.87172855230448,3763.0,4192272.0
181,2020-02-24,Middle level,80.47004108616032,11140.0,13972862.0
182,2020-02-24,Most deprived,78.14203330719815,3213.0,5153912.0
183,2020-03-02,Least deprived,82.97621790409174,3874.0,4195996.0
184,2020-03-02,Middle level,83.09646059606206,11514.0,13984933.0
185,2020-03-02,Most deprived,78.79930858507961,3256.0,5159297.0
186,2020-03-09,Least deprived,82.74498100601885,3861.0,4199986.0
187,2020-03-09,Middle level,81.79461886359239,11343.0,13997630.0
188,2020-03-09,Most deprived,76.95047548216509,3145.0,5165000.0
189,2020-03-16,Least deprived,64.81550764491851,3041.0,4202873.0
190,2020-03-16,Middle level,67.29164192256759,9345.0,14009079.0
191,2020-03-16,Most deprived,62.63447378845671,2573.0,5169913.0
192,2020-03-23,Least deprived,47.74856576667048,2212.0,4205721.0
193,2020-03-23,Middle level,48.303221052092425,6688.0,14018417.0
194,2020-03-23,Most deprived,46.65990433280406,1882.0,5173819.0
195,2020-03-30,Least deprived,38.548930652776946,1800.0,4207816.0
196,2020-03-30,Middle level,40.637030884337186,5640.0,14025954.0
197,2020-03-30,Most deprived,38.146579692539774,1575.0,5176918.0
198,2020-04-06,Least deprived,34.24160697828495,1600.0,4209549.0
199,2020-04-06,Middle level,33.3550995277648,4641.0,14032381.0
200,2020-04-06,Most deprived,29.93164108206693,1244.0,5181490.0
201,2020-04-13,Least deprived,33.95042091098882,1572.0,4210668.0
202,2020-04-13,Middle level,33.25402753912655,4626.0,14036728.0
203,2020-04-13,Most deprived,29.467308118181435,1246.0,5183401.0
204,2020-04-20,Least deprived,37.187801118231455,1723.0,4212258.0
205,2020-04-20,Middle level,37.09399554308557,5175.0,14042426.0
