,date,imd_group,"European Standard population rate per 100,000",disease,population
0,2018-12-31,Least deprived,36.558154243058944,1520.0,4026390.0
1,2018-12-31,Middle level,46.97951916995714,5905.0,13258377.0
2,2018-12-31,Most deprived,69.65958941204681,2657.0,4828065.0
3,2019-01-07,Least deprived,35.183081172353184,1478.0,4028793.0
4,2019-01-07,Middle level,47.79550404108954,6020.0,13268548.0
5,2019-01-07,Most deprived,66.49263505992272,2598.0,4832181.0
6,2019-01-14,Least deprived,35.97093226917916,1516.0,4031895.0
7,2019-01-14,Middle level,45.78000584054979,5779.0,13281747.0
8,2019-01-14,Most deprived,65.13835399215623,2534.0,4838107.0
9,2019-01-21,Least deprived,36.848085829142605,1542.0,4034603.0
10,2019-01-21,Middle level,46.2032718135992,5891.0,13294153.0
11,2019-01-21,Most deprived,66.5836730192235,2667.0,4843687.0
12,2019-01-28,Least deprived,36.290103069109584,1513.0,4037214.0
13,2019-01-28,Middle level,44.71861105170071,5659.0,13306217.0
14,2019-01-28,Most deprived,65.37975419543825,2623.0,4849780.0
15,2019-02-04,Least deprived,37.34330815313128,1563.0,4039701.0
16,2019-02-04,Middle level,47.32157880484971,6049.0,13317816.0
17,2019-02-04,Most deprived,66.82317358920689,2708.0,4855215.0
18,2019-02-11,Least deprived,34.77226390624671,1466.0,4042137.0
19,2019-02-11,Middle level,46.70334496671945,5931.0,13329099.0
20,2019-02-11,Most deprived,65.12333899522223,2563.0,4860422.0
21,2019-02-18,Least deprived,34.2615456616034,1450.0,4044623.0
22,2019-02-18,Middle level,43.351087035449034,5515.0,13340538.0
23,2019-02-18,Most deprived,61.63674185814661,2418.0,4865571.0
24,2019-02-25,Least deprived,32.469722578520624,1360.0,4047124.0
25,2019-02-25,Middle level,40.85925480404831,5201.0,13351984.0
26,2019-02-25,Most deprived,58.62332182087599,2309.0,4871058.0
27,2019-03-04,Least deprived,34.176475035735166,1434.0,4049435.0
28,2019-03-04,Middle level,42.24307325103255,5368.0,13362868.0
29,2019-03-04,Most deprived,57.68909287317726,2288.0,4876351.0
30,2019-03-11,Least deprived,31.744635372695008,1348.0,4051941.0
31,2019-03-11,Middle level,40.20608826797982,5148.0,13374395.0
32,2019-03-11,Most deprived,56.82002429597213,2301.0,4882279.0
33,2019-03-18,Least deprived,31.934376348416965,1346.0,4054415.0
34,2019-03-18,Middle level,39.89841114875711,5091.0,13385089.0
35,2019-03-18,Most deprived,56.372019443038674,2280.0,4886963.0
36,2019-03-25,Least deprived,30.76920486053603,1295.0,4056968.0
37,2019-03-25,Middle level,38.504791008101876,4938.0,13396633.0
38,2019-03-25,Most deprived,54.66929113050415,2195.0,4894864.0
39,2019-04-01,Least deprived,32.33289144918483,1383.0,4058825.0
40,2019-04-01,Middle level,40.301505261674045,5157.0,13405208.0
41,2019-04-01,Most deprived,58.698157799004335,2300.0,4898925.0
42,2019-04-08,Least deprived,30.930688422508325,1314.0,4061539.0
43,2019-04-08,Middle level,38.89977296666123,5005.0,13417592.0
44,2019-04-08,Most deprived,58.44565190826797,2322.0,4904697.0
45,2019-04-15,Least deprived,28.807678844585894,1237.0,4063880.0
46,2019-04-15,Middle level,37.78197180465056,4834.0,13427888.0
47,2019-04-15,Most deprived,53.90835223121686,2072.0,4909313.0
48,2019-04-22,Least deprived,29.383175872772775,1253.0,4065379.0
49,2019-04-22,Middle level,38.30433712442232,4877.0,13434011.0
