,date,region,population,disease,"European Standard population rate per 100,000"
86,2019-03-04,South East,1568821.0,2090.0,129.56357881460218
87,2019-03-04,South West,3243060.0,5216.0,148.12445998826274
88,2019-03-04,West Midlands,987296.0,1326.0,152.59719749554728
89,2019-03-04,Yorkshire and The Humber,3387521.0,5051.0,157.96429929213238
90,2019-03-11,East,5529554.0,8245.0,153.94785615477758
91,2019-03-11,East Midlands,4131749.0,6022.0,150.32679919473838
92,2019-03-11,London,1620608.0,1695.0,155.54474974839994
93,2019-03-11,North East,1092868.0,1695.0,161.89965690152093
94,2019-03-11,North West,2052402.0,3283.0,157.23280774871498
95,2019-03-11,South East,1568803.0,2154.0,133.39711094507575
96,2019-03-11,South West,3245066.0,5280.0,150.29807529048745
97,2019-03-11,West Midlands,987378.0,1343.0,153.70190391520612
98,2019-03-11,Yorkshire and The Humber,3387773.0,5168.0,161.96138398808986
99,2019-03-18,East,5530742.0,7994.0,149.1359415814099
100,2019-03-18,East Midlands,4132277.0,6089.0,151.94241993918433
101,2019-03-18,London,1621753.0,1588.0,144.90543957787816
102,2019-03-18,North East,1092870.0,1625.0,155.81761544363584
103,2019-03-18,North West,2052523.0,3087.0,148.2133767763053
104,2019-03-18,South East,1569055.0,2048.0,127.23933371276468
105,2019-03-18,South West,3245734.0,5111.0,145.6750845724665
106,2019-03-18,West Midlands,987417.0,1286.0,147.8710050140735
107,2019-03-18,Yorkshire and The Humber,3388238.0,4905.0,153.370805304981
108,2019-03-25,East,5531949.0,7977.0,149.22665368391878
109,2019-03-25,East Midlands,4133178.0,5793.0,144.43083016619806
110,2019-03-25,London,1622928.0,1595.0,143.93588822252383
111,2019-03-25,North East,1092992.0,1622.0,155.1674228874672
112,2019-03-25,North West,2052640.0,3042.0,145.6552603417132
113,2019-03-25,South East,1569363.0,2035.0,126.10610664943519
114,2019-03-25,South West,3250433.0,5015.0,142.60177756224505
115,2019-03-25,West Midlands,987382.0,1304.0,150.2883717094027
116,2019-03-25,Yorkshire and The Humber,3388717.0,4831.0,151.13951146344644
117,2019-04-01,East,5531706.0,8264.0,153.98218620901864
118,2019-04-01,East Midlands,4132737.0,6144.0,153.1229388974078
119,2019-04-01,London,1622869.0,1584.0,143.50507881861952
120,2019-04-01,North East,1092879.0,1622.0,155.0519070448204
121,2019-04-01,North West,2052430.0,3442.0,164.89882690362427
122,2019-04-01,South East,1569027.0,2123.0,131.2152514289835
123,2019-04-01,South West,3250336.0,5367.0,151.87114470554818
124,2019-04-01,West Midlands,987171.0,1331.0,152.7714574533479
125,2019-04-01,Yorkshire and The Humber,3388253.0,5106.0,159.94268248726232
126,2019-04-08,East,5534458.0,7999.0,149.02269416186806
127,2019-04-08,East Midlands,4134819.0,6133.0,152.76985256471394
128,2019-04-08,London,1624707.0,1623.0,147.9141737118412
129,2019-04-08,North East,1093385.0,1678.0,159.94047912139308
130,2019-04-08,North West,2053094.0,3227.0,154.39042565841387
131,2019-04-08,South East,1569686.0,2066.0,128.1555556015375
132,2019-04-08,South West,3252159.0,5137.0,145.13652522436672
133,2019-04-08,West Midlands,987544.0,1404.0,160.9375783752051
134,2019-04-08,Yorkshire and The Humber,3389747.0,4974.0,155.89865620572667
135,2019-04-15,East,5535118.0,7066.0,132.09038813765872
136,2019-04-15,East Midlands,4135321.0,5502.0,137.25503825815386
137,2019-04-15,London,1625870.0,1400.0,128.5035746177671
138,2019-04-15,North East,1093399.0,1521.0,145.62999731324965
139,2019-04-15,North West,2053153.0,2929.0,140.3787708481083
140,2019-04-15,South East,1569837.0,1846.0,113.63985202910384
141,2019-04-15,South West,3252794.0,4633.0,130.87404436876008
142,2019-04-15,West Midlands,987540.0,1157.0,133.73311065369825
143,2019-04-15,Yorkshire and The Humber,3390149.0,4486.0,140.6915707901629
144,2019-04-22,East,5535733.0,7414.0,138.72070885320807
145,2019-04-22,East Midlands,4135672.0,5641.0,140.7425505132996
146,2019-04-22,London,1626324.0,1503.0,135.89644259379924
147,2019-04-22,North East,1093374.0,1554.0,148.94678400782146
148,2019-04-22,North West,2053356.0,3006.0,143.9127217188729
149,2019-04-22,South East,1569829.0,1829.0,113.3174500502991
150,2019-04-22,South West,3253168.0,4789.0,135.38756738452253
151,2019-04-22,West Midlands,987517.0,1241.0,144.40609258523293
152,2019-04-22,Yorkshire and The Humber,3390414.0,4602.0,144.54100627719393
153,2019-04-29,East,5536864.0,7903.0,147.77808562463457
154,2019-04-29,East Midlands,4136444.0,6000.0,150.06666253172966
155,2019-04-29,London,1627667.0,1594.0,144.98595790570687
156,2019-04-29,North East,1093436.0,1689.0,161.7788035830147
157,2019-04-29,North West,2053449.0,3209.0,153.96067433736644
158,2019-04-29,South East,1569971.0,2066.0,128.18767754776866
159,2019-04-29,South West,3254124.0,5099.0,144.4080519147115
160,2019-04-29,West Midlands,987475.0,1296.0,150.67809283485678
161,2019-04-29,Yorkshire and The Humber,3390863.0,4800.0,150.99291878324573
162,2019-05-06,East,5537703.0,7101.0,132.37977019992633
163,2019-05-06,East Midlands,4136993.0,5479.0,136.48535135216335
164,2019-05-06,London,1628730.0,1472.0,133.23075028993645
165,2019-05-06,North East,1093463.0,1490.0,142.26253096615721
166,2019-05-06,North West,2053638.0,2956.0,141.19986368079137
167,2019-05-06,South East,1570096.0,1876.0,115.35347470346186
168,2019-05-06,South West,3254923.0,4683.0,132.0765189511421
169,2019-05-06,West Midlands,987470.0,1177.0,135.87172974296624
170,2019-05-06,Yorkshire and The Humber,3391154.0,4373.0,137.0416202576594
171,2019-05-13,East,5539335.0,7942.0,147.84543418777582
