date,respiratory_disease_emergency_elective,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2020-01-13,9439.0,23964025.0,39.0,39.88
2020-01-20,9237.0,23970394.0,39.0,38.93000000000001
2020-01-27,9687.0,23978016.0,40.0,40.915
2020-02-03,9262.0,23985133.0,39.0,39.050000000000004
2020-02-10,9206.0,23990464.0,38.0,38.815
2020-02-17,8601.0,23995726.0,36.0,36.2
2020-02-24,8783.0,24000255.0,37.0,37.22
2020-03-02,8457.0,24006358.0,35.0,35.565
2020-03-09,7929.0,24013653.0,33.0,33.52
2020-03-16,5940.0,24017215.0,25.0,25.040000000000003
2020-03-23,3942.0,24020164.0,16.0,16.67
2020-03-30,3304.0,24021353.0,14.0,14.07
2020-04-06,3021.0,24022733.0,13.0,12.825000000000003
2020-04-13,2642.0,24018826.0,11.0,11.21
2020-04-20,2773.0,24013876.0,12.0,11.92
2020-04-27,3100.0,24010686.0,13.0,13.205000000000004
2020-05-04,2932.0,24008646.0,12.0,12.57
2020-05-11,3003.0,24006906.0,13.0,13.005
2020-05-18,3135.0,24007251.0,13.0,13.455000000000002
2020-05-25,2801.0,24006234.0,12.0,12.065
2020-06-01,3192.0,24007604.0,13.0,13.575000000000001
2020-06-08,3235.0,24008253.0,13.0,13.865000000000002
2020-06-15,3440.0,24009419.0,14.0,14.650000000000002
2020-06-22,3595.0,24010297.0,15.0,15.45
2020-06-29,3423.0,24011147.0,14.0,14.459999999999999
2020-07-06,3275.0,24014105.0,14.0,13.975000000000001
2020-07-13,3521.0,24015400.0,15.0,14.930000000000001
2020-07-20,3560.0,24019031.0,15.0,15.280000000000003
2020-07-27,3731.0,24021237.0,16.0,15.840000000000002
2020-08-03,3718.0,24022742.0,15.0,15.815
2020-08-10,4029.0,24025552.0,17.0,17.075
2020-08-17,3886.0,24026962.0,16.0,16.46
2020-08-24,3989.0,24026794.0,17.0,16.950000000000003
2020-08-31,4223.0,24026990.0,18.0,17.75
2020-09-07,4869.0,24032832.0,20.0,20.545
2020-09-14,5188.0,24033068.0,22.0,21.730000000000004
2020-09-21,5120.0,24038036.0,21.0,21.585
2020-09-28,4888.0,24040465.0,20.0,20.725
2020-10-05,4787.0,24049153.0,20.0,20.125000000000004
2020-10-12,4636.0,24053926.0,19.0,19.435000000000002
2020-10-19,4711.0,24060061.0,20.0,19.855
2020-10-26,4204.0,24065286.0,17.0,17.794999999999998
2020-11-02,3978.0,24069750.0,17.0,16.8
2020-11-09,4004.0,24074213.0,17.0,16.865000000000002
2020-11-16,4027.0,24078398.0,17.0,17.035000000000004
2020-11-23,4005.0,24081767.0,17.0,16.845000000000002
2020-11-30,4263.0,24084556.0,18.0,18.02
2020-12-07,4158.0,24088259.0,17.0,17.540000000000003
2020-12-14,4021.0,24091733.0,17.0,17.0
2020-12-21,3290.0,24095649.0,14.0,13.99
2020-12-28,3291.0,24096851.0,14.0,13.990000000000002
