date,respiratory_disease_emergency_elective,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,11195.0,23619197.0,47.0,48.370000000000005
2019-01-07,11245.0,23624719.0,48.0,48.455000000000005
2019-01-14,10709.0,23632143.0,45.0,45.940000000000005
2019-01-21,10955.0,23638988.0,46.0,46.86000000000001
2019-01-28,10872.0,23646947.0,46.0,46.480000000000004
2019-02-04,11434.0,23654659.0,48.0,48.94
2019-02-11,10603.0,23659946.0,45.0,45.44499999999999
2019-02-18,9914.0,23665827.0,42.0,42.64
2019-02-25,9364.0,23671905.0,40.0,40.25
2019-03-04,9156.0,23676511.0,39.0,39.2
2019-03-11,8788.0,23683479.0,37.0,37.575
2019-03-18,8571.0,23687990.0,36.0,36.605000000000004
2019-03-25,8535.0,23697067.0,36.0,36.49000000000001
2019-04-01,8955.0,23695010.0,38.0,38.324999999999996
2019-04-08,8765.0,23707297.0,37.0,37.45
2019-04-15,8146.0,23711021.0,34.0,34.92999999999999
2019-04-22,7946.0,23713298.0,34.0,34.15
2019-04-29,7480.0,23718332.0,32.0,32.055
2019-05-06,7083.0,23722306.0,30.0,30.16
2019-05-13,7429.0,23728769.0,31.0,31.795
2019-05-20,7552.0,23735492.0,32.0,32.305
2019-05-27,6527.0,23740009.0,27.0,28.03
2019-06-03,6898.0,23746398.0,29.0,29.345000000000002
2019-06-10,6836.0,23754543.0,29.0,29.199999999999996
2019-06-17,7215.0,23761788.0,30.0,30.665000000000006
2019-06-24,7068.0,23770206.0,30.0,30.2
2019-07-01,6721.0,23771244.0,28.0,28.63
2019-07-08,6705.0,23785117.0,28.0,28.48
2019-07-15,6582.0,23789691.0,28.0,28.13
2019-07-22,6698.0,23796445.0,28.0,28.584999999999997
2019-07-29,6533.0,23802426.0,27.0,27.925000000000004
2019-08-05,6147.0,23807775.0,26.0,26.095
2019-08-12,6062.0,23814150.0,25.0,25.8
2019-08-19,6141.0,23821112.0,26.0,26.235
2019-08-26,5962.0,23824779.0,25.0,25.384999999999998
2019-09-02,5911.0,23832901.0,25.0,25.15
2019-09-09,6802.0,23841184.0,29.0,28.830000000000005
2019-09-16,7642.0,23850455.0,32.0,32.265
2019-09-23,8227.0,23860519.0,34.0,34.765
2019-09-30,8208.0,23864138.0,34.0,34.7
2019-10-07,8495.0,23875684.0,36.0,35.93000000000001
2019-10-14,8886.0,23884554.0,37.0,37.60000000000001
2019-10-21,8641.0,23893680.0,36.0,36.585
2019-10-28,9053.0,23903389.0,38.0,38.155
2019-11-04,9354.0,23912086.0,39.0,39.37500000000001
2019-11-11,9640.0,23921107.0,40.0,40.605000000000004
2019-11-18,10482.0,23928414.0,44.0,44.150000000000006
2019-11-25,11120.0,23933825.0,46.0,46.605000000000004
2019-12-02,11614.0,23941383.0,49.0,48.725
2019-12-09,12449.0,23946784.0,52.0,52.30500000000001
2019-12-16,12857.0,23951030.0,54.0,54.21
2019-12-23,11624.0,23954008.0,49.0,49.205000000000005
2019-12-30,11901.0,23955954.0,50.0,50.550000000000004
2020-01-06,10769.0,23957924.0,45.0,45.535000000000004
