,date,region,CVD,population,"European Standard population rate per 100,000"
128,2019-04-08,London,325.0,1625075.0,32.315
129,2019-04-08,North East,383.0,1100770.0,36.745000000000005
130,2019-04-08,North West,660.0,2053092.0,31.75
131,2019-04-08,South East,434.0,1579973.0,26.390000000000004
132,2019-04-08,South West,1084.0,3248462.0,29.92
133,2019-04-08,West Midlands,314.0,987564.0,36.775
134,2019-04-08,Yorkshire and The Humber,1050.0,3416116.0,32.965
135,2019-04-15,East,1498.0,5546741.0,28.025000000000002
136,2019-04-15,East Midlands,1177.0,4135349.0,29.54
137,2019-04-15,London,295.0,1626243.0,30.189999999999998
138,2019-04-15,North East,333.0,1100793.0,32.22
139,2019-04-15,North West,623.0,2053152.0,30.040000000000003
140,2019-04-15,South East,420.0,1580134.0,25.01
141,2019-04-15,South West,935.0,3249108.0,25.830000000000002
142,2019-04-15,West Midlands,272.0,987561.0,32.28
143,2019-04-15,Yorkshire and The Humber,952.0,3416543.0,29.880000000000003
144,2019-04-22,East,1578.0,5547375.0,29.584999999999997
145,2019-04-22,East Midlands,1246.0,4135701.0,31.270000000000003
146,2019-04-22,London,350.0,1626699.0,34.254999999999995
147,2019-04-22,North East,332.0,1100773.0,31.985000000000003
148,2019-04-22,North West,650.0,2053355.0,31.175
149,2019-04-22,South East,424.0,1580138.0,25.665000000000003
150,2019-04-22,South West,1042.0,3249465.0,28.880000000000003
151,2019-04-22,West Midlands,275.0,987538.0,32.885
152,2019-04-22,Yorkshire and The Humber,945.0,3416831.0,29.82
153,2019-04-29,East,1758.0,5548530.0,32.865
154,2019-04-29,East Midlands,1313.0,4136471.0,33.0
155,2019-04-29,London,345.0,1628042.0,33.95
156,2019-04-29,North East,370.0,1100841.0,35.30500000000001
157,2019-04-29,North West,659.0,2053449.0,31.654999999999998
158,2019-04-29,South East,466.0,1580294.0,28.389999999999997
159,2019-04-29,South West,1131.0,3250425.0,31.345000000000002
160,2019-04-29,West Midlands,306.0,987496.0,36.28
161,2019-04-29,Yorkshire and The Humber,1015.0,3417296.0,31.994999999999997
162,2019-05-06,East,1643.0,5549386.0,30.539999999999996
163,2019-05-06,East Midlands,1258.0,4137020.0,31.53
164,2019-05-06,London,332.0,1629105.0,32.82000000000001
165,2019-05-06,North East,361.0,1100886.0,34.63
166,2019-05-06,North West,620.0,2053639.0,29.770000000000003
167,2019-05-06,South East,409.0,1580430.0,24.56
168,2019-05-06,South West,1087.0,3251235.0,29.785000000000004
169,2019-05-06,West Midlands,297.0,987492.0,35.2
170,2019-05-06,Yorkshire and The Humber,964.0,3417600.0,30.33
171,2019-05-13,East,1827.0,5551033.0,34.195
172,2019-05-13,East Midlands,1362.0,4137760.0,34.135
173,2019-05-13,London,347.0,1630405.0,34.605
174,2019-05-13,North East,393.0,1100990.0,37.765
175,2019-05-13,North West,685.0,2053848.0,32.825
176,2019-05-13,South East,505.0,1580991.0,30.325
177,2019-05-13,South West,1135.0,3252270.0,31.445
178,2019-05-13,West Midlands,316.0,987641.0,37.315
179,2019-05-13,Yorkshire and The Humber,1088.0,3418265.0,34.285
180,2019-05-20,East,1692.0,5552563.0,31.625
181,2019-05-20,East Midlands,1338.0,4138781.0,33.43
182,2019-05-20,London,359.0,1631795.0,35.88
183,2019-05-20,North East,337.0,1101100.0,32.21
184,2019-05-20,North West,665.0,2054045.0,31.895
185,2019-05-20,South East,457.0,1581242.0,27.660000000000004
186,2019-05-20,South West,1148.0,3253858.0,31.735000000000003
187,2019-05-20,West Midlands,336.0,987732.0,39.875
188,2019-05-20,Yorkshire and The Humber,1035.0,3418772.0,32.435
189,2019-05-27,East,1507.0,5553592.0,28.185000000000002
190,2019-05-27,East Midlands,1112.0,4139382.0,27.935
191,2019-05-27,London,271.0,1633009.0,26.509999999999998
192,2019-05-27,North East,332.0,1101099.0,31.395
193,2019-05-27,North West,597.0,2054189.0,28.72
194,2019-05-27,South East,445.0,1581368.0,26.740000000000002
195,2019-05-27,South West,992.0,3254856.0,27.215
196,2019-05-27,West Midlands,259.0,987733.0,30.470000000000002
197,2019-05-27,Yorkshire and The Humber,921.0,3419137.0,29.1
198,2019-06-03,East,1727.0,5554977.0,32.185
199,2019-06-03,East Midlands,1286.0,4139866.0,32.07000000000001
200,2019-06-03,London,354.0,1634505.0,34.144999999999996
201,2019-06-03,North East,367.0,1101240.0,34.83500000000001
202,2019-06-03,North West,671.0,2054252.0,32.18
203,2019-06-03,South East,466.0,1581687.0,27.779999999999998
204,2019-06-03,South West,1126.0,3256744.0,30.84
205,2019-06-03,West Midlands,323.0,987812.0,38.335
206,2019-06-03,Yorkshire and The Humber,1076.0,3419638.0,33.78999999999999
207,2019-06-10,East,1799.0,5556696.0,33.28
208,2019-06-10,East Midlands,1366.0,4141083.0,34.004999999999995
209,2019-06-10,London,373.0,1635870.0,34.82
210,2019-06-10,North East,387.0,1101343.0,36.915000000000006
211,2019-06-10,North West,674.0,2054701.0,32.050000000000004
212,2019-06-10,South East,452.0,1582131.0,27.005
213,2019-06-10,South West,1117.0,3258508.0,30.650000000000002
214,2019-06-10,West Midlands,315.0,987866.0,37.46
215,2019-06-10,Yorkshire and The Humber,1060.0,3420399.0,33.15
216,2019-06-17,East,1795.0,5558785.0,33.285000000000004
217,2019-06-17,East Midlands,1290.0,4142409.0,32.215
218,2019-06-17,London,324.0,1637189.0,30.98
219,2019-06-17,North East,364.0,1101372.0,34.61
220,2019-06-17,North West,688.0,2054942.0,33.1
221,2019-06-17,South East,485.0,1582313.0,29.23
222,2019-06-17,South West,1128.0,3259134.0,30.85
223,2019-06-17,West Midlands,321.0,988031.0,38.375
224,2019-06-17,Yorkshire and The Humber,1026.0,3421207.0,32.02
225,2019-06-24,East,1747.0,5560871.0,32.605000000000004
226,2019-06-24,East Midlands,1296.0,4143475.0,32.36
227,2019-06-24,London,354.0,1638758.0,34.84
228,2019-06-24,North East,365.0,1101527.0,34.44
229,2019-06-24,North West,691.0,2055285.0,33.06
230,2019-06-24,South East,469.0,1583522.0,28.290000000000003
231,2019-06-24,South West,1142.0,3259859.0,31.395000000000003
232,2019-06-24,West Midlands,331.0,988177.0,39.385000000000005
233,2019-06-24,Yorkshire and The Humber,1067.0,3421765.0,33.405
234,2019-07-01,East,1650.0,5561994.0,30.7
235,2019-07-01,East Midlands,1324.0,4143484.0,32.85
236,2019-07-01,London,321.0,1639401.0,31.45
237,2019-07-01,North East,383.0,1101375.0,36.22500000000001
238,2019-07-01,North West,691.0,2055066.0,33.03
239,2019-07-01,South East,507.0,1583375.0,30.43
240,2019-07-01,South West,1096.0,3259797.0,30.075000000000003
241,2019-07-01,West Midlands,308.0,988012.0,36.425
242,2019-07-01,Yorkshire and The Humber,921.0,3421650.0,28.725
243,2019-07-08,East,1772.0,5565950.0,32.95
244,2019-07-08,East Midlands,1259.0,4145668.0,31.45
245,2019-07-08,London,361.0,1641481.0,34.33500000000001
246,2019-07-08,North East,350.0,1101869.0,33.35
247,2019-07-08,North West,643.0,2055909.0,30.720000000000002
248,2019-07-08,South East,462.0,1584084.0,27.615000000000002
249,2019-07-08,South West,1032.0,3261520.0,28.245000000000005
250,2019-07-08,West Midlands,280.0,988378.0,32.71
251,2019-07-08,Yorkshire and The Humber,938.0,3423005.0,29.415
252,2019-07-15,East,1733.0,5567650.0,32.245000000000005
253,2019-07-15,East Midlands,1343.0,4146057.0,33.625
254,2019-07-15,London,354.0,1642527.0,33.845000000000006
255,2019-07-15,North East,361.0,1101968.0,34.41
256,2019-07-15,North West,633.0,2056209.0,30.314999999999998
257,2019-07-15,South East,451.0,1583963.0,27.150000000000006
258,2019-07-15,South West,1092.0,3262224.0,29.97
259,2019-07-15,West Midlands,303.0,988548.0,35.650000000000006
260,2019-07-15,Yorkshire and The Humber,918.0,3423127.0,28.7
261,2019-07-22,East,1738.0,5569898.0,32.32
262,2019-07-22,East Midlands,1226.0,4146807.0,30.560000000000002
263,2019-07-22,London,355.0,1644087.0,34.025
264,2019-07-22,North East,351.0,1102207.0,33.415000000000006
265,2019-07-22,North West,656.0,2056536.0,31.46
266,2019-07-22,South East,467.0,1584129.0,28.170000000000005
267,2019-07-22,South West,1071.0,3262930.0,29.37
268,2019-07-22,West Midlands,292.0,988615.0,34.825
269,2019-07-22,Yorkshire and The Humber,952.0,3423734.0,29.939999999999998
270,2019-07-29,East,1635.0,5571636.0,30.4
271,2019-07-29,East Midlands,1219.0,4147634.0,30.429999999999996
272,2019-07-29,London,331.0,1645533.0,32.455
273,2019-07-29,North East,378.0,1102409.0,35.995
274,2019-07-29,North West,587.0,2056705.0,28.115000000000002
275,2019-07-29,South East,465.0,1584299.0,28.03
276,2019-07-29,South West,1098.0,3263614.0,30.085
277,2019-07-29,West Midlands,292.0,988656.0,34.375
278,2019-07-29,Yorkshire and The Humber,1004.0,3424397.0,31.42
279,2019-08-05,East,1636.0,5573426.0,30.47
280,2019-08-05,East Midlands,1240.0,4148494.0,30.99
281,2019-08-05,London,339.0,1646913.0,33.605000000000004
282,2019-08-05,North East,352.0,1102434.0,33.265
283,2019-08-05,North West,605.0,2056791.0,28.955000000000002
284,2019-08-05,South East,483.0,1584316.0,29.064999999999998
285,2019-08-05,South West,1063.0,3264174.0,29.115000000000002
286,2019-08-05,West Midlands,297.0,988566.0,35.245
287,2019-08-05,Yorkshire and The Humber,963.0,3425062.0,30.070000000000004
288,2019-08-12,East,1646.0,5575057.0,30.72
289,2019-08-12,East Midlands,1267.0,4149644.0,31.489999999999995
290,2019-08-12,London,351.0,1647800.0,34.555
291,2019-08-12,North East,343.0,1102470.0,32.665000000000006
292,2019-08-12,North West,623.0,2057149.0,29.89
293,2019-08-12,South East,443.0,1584595.0,26.51
294,2019-08-12,South West,1103.0,3265304.0,30.110000000000003
295,2019-08-12,West Midlands,303.0,988645.0,35.785
296,2019-08-12,Yorkshire and The Humber,892.0,3425841.0,27.909999999999997
297,2019-08-19,East,1622.0,5577006.0,30.08
298,2019-08-19,East Midlands,1121.0,4150694.0,27.94
299,2019-08-19,London,321.0,1649265.0,31.685
300,2019-08-19,North East,345.0,1102591.0,33.025
301,2019-08-19,North West,610.0,2057615.0,29.235
302,2019-08-19,South East,444.0,1584890.0,26.63
303,2019-08-19,South West,1088.0,3266252.0,29.72
304,2019-08-19,West Midlands,278.0,988600.0,33.175000000000004
305,2019-08-19,Yorkshire and The Humber,1008.0,3426480.0,31.580000000000002
306,2019-08-26,East,1484.0,5578110.0,27.490000000000002
307,2019-08-26,East Midlands,1131.0,4151431.0,28.174999999999997
308,2019-08-26,London,310.0,1650296.0,30.755
309,2019-08-26,North East,327.0,1102735.0,30.94
310,2019-08-26,North West,542.0,2057702.0,25.950000000000003
311,2019-08-26,South East,396.0,1584834.0,23.709999999999997
312,2019-08-26,South West,1041.0,3267073.0,28.415000000000003
313,2019-08-26,West Midlands,267.0,988441.0,31.56
314,2019-08-26,Yorkshire and The Humber,899.0,3426385.0,28.22
315,2019-09-02,East,1618.0,5579860.0,29.929999999999996
316,2019-09-02,East Midlands,1337.0,4152841.0,33.12
317,2019-09-02,London,319.0,1651905.0,30.539999999999996
318,2019-09-02,North East,353.0,1102889.0,33.39
319,2019-09-02,North West,636.0,2058070.0,30.275
320,2019-09-02,South East,468.0,1585086.0,27.98
321,2019-09-02,South West,1061.0,3268541.0,29.01
322,2019-09-02,West Midlands,279.0,988455.0,32.385000000000005
323,2019-09-02,Yorkshire and The Humber,932.0,3427455.0,29.215000000000003
324,2019-09-09,East,1753.0,5581790.0,32.395
325,2019-09-09,East Midlands,1230.0,4154026.0,30.689999999999998
326,2019-09-09,London,316.0,1653688.0,30.105
327,2019-09-09,North East,382.0,1103714.0,36.02
328,2019-09-09,North West,686.0,2058430.0,32.65
329,2019-09-09,South East,486.0,1585074.0,29.225000000000005
330,2019-09-09,South West,1114.0,3269758.0,30.404999999999998
331,2019-09-09,West Midlands,302.0,988618.0,35.765
332,2019-09-09,Yorkshire and The Humber,1008.0,3428231.0,31.384999999999998
333,2019-09-16,East,1709.0,5582920.0,31.555000000000003
334,2019-09-16,East Midlands,1246.0,4155692.0,30.975
335,2019-09-16,London,347.0,1655410.0,33.27
336,2019-09-16,North East,348.0,1103913.0,32.665
337,2019-09-16,North West,711.0,2058776.0,33.88
338,2019-09-16,South East,453.0,1586159.0,26.98
339,2019-09-16,South West,1104.0,3271654.0,30.150000000000002
340,2019-09-16,West Midlands,313.0,988577.0,36.86500000000001
341,2019-09-16,Yorkshire and The Humber,990.0,3429430.0,30.830000000000002
342,2019-09-23,East,1743.0,5583245.0,32.335
343,2019-09-23,East Midlands,1323.0,4159562.0,32.865
344,2019-09-23,London,402.0,1657223.0,37.975
345,2019-09-23,North East,382.0,1104999.0,36.43000000000001
346,2019-09-23,North West,664.0,2058988.0,31.884999999999998
347,2019-09-23,South East,476.0,1587244.0,28.435000000000002
348,2019-09-23,South West,1180.0,3272535.0,32.23
349,2019-09-23,West Midlands,291.0,988718.0,34.42
350,2019-09-23,Yorkshire and The Humber,999.0,3430035.0,31.080000000000005
351,2019-09-30,East,1854.0,5581850.0,34.334999999999994
352,2019-09-30,East Midlands,1323.0,4162304.0,32.82
353,2019-09-30,London,362.0,1659318.0,34.425000000000004
354,2019-09-30,North East,362.0,1105559.0,34.28
355,2019-09-30,North West,701.0,2058343.0,33.46
356,2019-09-30,South East,482.0,1588141.0,28.765
357,2019-09-30,South West,1095.0,3272506.0,29.959999999999997
358,2019-09-30,West Midlands,326.0,988919.0,38.325
359,2019-09-30,Yorkshire and The Humber,1005.0,3428984.0,31.404999999999998
360,2019-10-07,East,1737.0,5585524.0,32.13
361,2019-10-07,East Midlands,1341.0,4163919.0,33.185
362,2019-10-07,London,374.0,1662095.0,35.754999999999995
363,2019-10-07,North East,381.0,1105664.0,35.720000000000006
364,2019-10-07,North West,654.0,2058693.0,31.145
365,2019-10-07,South East,518.0,1588716.0,30.770000000000003
366,2019-10-07,South West,1093.0,3274094.0,29.765
367,2019-10-07,West Midlands,286.0,989195.0,33.81999999999999
368,2019-10-07,Yorkshire and The Humber,1052.0,3429419.0,32.65
369,2019-10-14,East,1769.0,5587805.0,32.72
370,2019-10-14,East Midlands,1288.0,4165589.0,31.895000000000003
371,2019-10-14,London,357.0,1664584.0,33.775
372,2019-10-14,North East,374.0,1105829.0,35.245000000000005
373,2019-10-14,North West,697.0,2058894.0,33.305
374,2019-10-14,South East,486.0,1589162.0,28.79
375,2019-10-14,South West,1204.0,3274928.0,32.75
376,2019-10-14,West Midlands,306.0,989544.0,36.07
377,2019-10-14,Yorkshire and The Humber,1054.0,3429815.0,32.71
378,2019-10-21,East,1649.0,5590264.0,30.624999999999996
379,2019-10-21,East Midlands,1279.0,4167356.0,31.659999999999997
380,2019-10-21,London,347.0,1667096.0,33.195
381,2019-10-21,North East,373.0,1106031.0,35.42
382,2019-10-21,North West,680.0,2058917.0,32.495
383,2019-10-21,South East,495.0,1589701.0,29.325000000000003
384,2019-10-21,South West,1150.0,3275816.0,31.475
385,2019-10-21,West Midlands,276.0,989746.0,31.96
386,2019-10-21,Yorkshire and The Humber,1005.0,3430307.0,31.259999999999998
387,2019-10-28,East,1766.0,5592865.0,32.635000000000005
388,2019-10-28,East Midlands,1243.0,4169378.0,30.765000000000004
389,2019-10-28,London,365.0,1669726.0,35.35000000000001
390,2019-10-28,North East,356.0,1106140.0,33.685
391,2019-10-28,North West,624.0,2059180.0,29.8
392,2019-10-28,South East,464.0,1590117.0,27.66
393,2019-10-28,South West,1117.0,3276786.0,30.5
394,2019-10-28,West Midlands,285.0,989751.0,33.705
395,2019-10-28,Yorkshire and The Humber,1038.0,3430944.0,32.365
396,2019-11-04,East,1852.0,5595255.0,34.19
397,2019-11-04,East Midlands,1332.0,4171674.0,32.905
398,2019-11-04,London,330.0,1671961.0,32.235
399,2019-11-04,North East,372.0,1106225.0,35.144999999999996
400,2019-11-04,North West,706.0,2059092.0,33.580000000000005
401,2019-11-04,South East,499.0,1590334.0,29.570000000000007
402,2019-11-04,South West,1195.0,3277688.0,32.105
403,2019-11-04,West Midlands,303.0,989682.0,35.5
404,2019-11-04,Yorkshire and The Humber,1032.0,3431655.0,32.085
405,2019-11-11,East,1805.0,5597781.0,33.345000000000006
406,2019-11-11,East Midlands,1290.0,4173232.0,32.0
407,2019-11-11,London,374.0,1674515.0,35.52
408,2019-11-11,North East,391.0,1106300.0,37.215
409,2019-11-11,North West,641.0,2059236.0,30.794999999999995
410,2019-11-11,South East,515.0,1590838.0,30.575000000000003
411,2019-11-11,South West,1171.0,3278359.0,31.830000000000002
412,2019-11-11,West Midlands,317.0,990042.0,37.19
413,2019-11-11,Yorkshire and The Humber,988.0,3432239.0,30.97
414,2019-11-18,East,1794.0,5599617.0,33.04
415,2019-11-18,East Midlands,1332.0,4175221.0,33.13000000000001
416,2019-11-18,London,351.0,1676259.0,34.255
417,2019-11-18,North East,393.0,1106416.0,37.235
418,2019-11-18,North West,652.0,2059420.0,31.1
419,2019-11-18,South East,458.0,1591221.0,27.39
420,2019-11-18,South West,1210.0,3279132.0,32.980000000000004
421,2019-11-18,West Midlands,288.0,989635.0,33.980000000000004
422,2019-11-18,Yorkshire and The Humber,1079.0,3432917.0,33.525
423,2019-11-25,East,1702.0,5600600.0,31.490000000000002
424,2019-11-25,East Midlands,1329.0,4176780.0,33.015
425,2019-11-25,London,302.0,1676844.0,28.845000000000002
426,2019-11-25,North East,379.0,1106597.0,36.165
427,2019-11-25,North West,606.0,2059602.0,28.980000000000004
428,2019-11-25,South East,497.0,1591393.0,29.450000000000003
429,2019-11-25,South West,1165.0,3280106.0,31.93
430,2019-11-25,West Midlands,302.0,989741.0,35.845
431,2019-11-25,Yorkshire and The Humber,1061.0,3433565.0,33.03
432,2019-12-02,East,1812.0,5602186.0,33.275
433,2019-12-02,East Midlands,1243.0,4178683.0,30.68
434,2019-12-02,London,325.0,1678100.0,32.085
435,2019-12-02,North East,360.0,1106606.0,33.915
436,2019-12-02,North West,631.0,2059632.0,30.195
437,2019-12-02,South East,479.0,1591584.0,28.385
438,2019-12-02,South West,1178.0,3282074.0,32.18500000000001
439,2019-12-02,West Midlands,289.0,989835.0,33.99
440,2019-12-02,Yorkshire and The Humber,996.0,3434041.0,30.724999999999998
441,2019-12-09,East,1731.0,5603383.0,31.925
442,2019-12-09,East Midlands,1249.0,4179478.0,30.794999999999998
443,2019-12-09,London,364.0,1679575.0,33.19
444,2019-12-09,North East,347.0,1106736.0,33.035000000000004
445,2019-12-09,North West,654.0,2059709.0,30.980000000000004
446,2019-12-09,South East,469.0,1591755.0,27.770000000000003
447,2019-12-09,South West,1156.0,3283299.0,31.509999999999998
448,2019-12-09,West Midlands,298.0,989902.0,34.900000000000006
449,2019-12-09,Yorkshire and The Humber,1037.0,3434270.0,32.254999999999995
450,2019-12-16,East,1661.0,5604684.0,30.554999999999996
451,2019-12-16,East Midlands,1324.0,4179968.0,32.685
452,2019-12-16,London,331.0,1680358.0,31.58
453,2019-12-16,North East,333.0,1106828.0,31.869999999999997
454,2019-12-16,North West,676.0,2059823.0,32.285000000000004
455,2019-12-16,South East,494.0,1591841.0,29.485000000000003
456,2019-12-16,South West,1195.0,3284337.0,32.47
457,2019-12-16,West Midlands,259.0,989955.0,30.46
458,2019-12-16,Yorkshire and The Humber,1014.0,3434508.0,31.610000000000007
459,2019-12-23,East,1179.0,5606006.0,21.860000000000003
460,2019-12-23,East Midlands,877.0,4180314.0,21.75
461,2019-12-23,London,201.0,1680905.0,19.72
462,2019-12-23,North East,272.0,1106809.0,25.880000000000003
463,2019-12-23,North West,479.0,2059749.0,22.905
464,2019-12-23,South East,310.0,1591933.0,18.455000000000002
465,2019-12-23,South West,729.0,3284911.0,19.880000000000003
466,2019-12-23,West Midlands,177.0,989849.0,21.099999999999998
467,2019-12-23,Yorkshire and The Humber,726.0,3434779.0,22.705000000000002
468,2019-12-30,East,1475.0,5606720.0,27.31
469,2019-12-30,East Midlands,1074.0,4180625.0,26.665
470,2019-12-30,London,262.0,1681220.0,25.52
471,2019-12-30,North East,294.0,1106845.0,27.93
472,2019-12-30,North West,546.0,2059767.0,26.18
473,2019-12-30,South East,354.0,1591816.0,21.015
474,2019-12-30,South West,924.0,3285395.0,25.040000000000003
