,date,region,CVD,population,"European Standard population rate per 100,000"
0,2018-12-31,East,1464.0,5526390.0,27.535
1,2018-12-31,East Midlands,1060.0,4122241.0,26.775
2,2018-12-31,London,280.0,1607041.0,27.645
3,2018-12-31,North East,270.0,1099151.0,26.025000000000002
4,2018-12-31,North West,551.0,2048922.0,26.845000000000002
5,2018-12-31,South East,391.0,1577217.0,23.5
6,2018-12-31,South West,882.0,3228923.0,24.484999999999996
7,2018-12-31,West Midlands,256.0,985090.0,30.48
8,2018-12-31,Yorkshire and The Humber,847.0,3409381.0,26.695
9,2019-01-07,East,1843.0,5528507.0,34.605
10,2019-01-07,East Midlands,1306.0,4122810.0,32.92
11,2019-01-07,London,359.0,1608378.0,35.59
12,2019-01-07,North East,362.0,1099281.0,34.575
13,2019-01-07,North West,659.0,2049164.0,31.744999999999997
14,2019-01-07,South East,448.0,1577153.0,27.049999999999997
15,2019-01-07,South West,1153.0,3229428.0,31.965
16,2019-01-07,West Midlands,286.0,985316.0,33.714999999999996
17,2019-01-07,Yorkshire and The Humber,1011.0,3409822.0,31.815
18,2019-01-14,East,1732.0,5530194.0,32.52
19,2019-01-14,East Midlands,1299.0,4123783.0,32.935
20,2019-01-14,London,359.0,1610101.0,35.93
21,2019-01-14,North East,338.0,1099454.0,32.495000000000005
22,2019-01-14,North West,637.0,2049684.0,31.175
23,2019-01-14,South East,452.0,1577264.0,27.279999999999998
24,2019-01-14,South West,1048.0,3230534.0,29.345
25,2019-01-14,West Midlands,293.0,985719.0,34.81
26,2019-01-14,Yorkshire and The Humber,1039.0,3410507.0,32.765
27,2019-01-21,East,1737.0,5531730.0,32.78
28,2019-01-21,East Midlands,1318.0,4124888.0,33.285000000000004
29,2019-01-21,London,367.0,1611783.0,36.330000000000005
30,2019-01-21,North East,369.0,1099600.0,35.345
31,2019-01-21,North West,719.0,2050002.0,35.065000000000005
32,2019-01-21,South East,454.0,1577421.0,27.825000000000003
33,2019-01-21,South West,1164.0,3231650.0,32.475
34,2019-01-21,West Midlands,290.0,985911.0,34.224999999999994
35,2019-01-21,Yorkshire and The Humber,1100.0,3411072.0,34.615
36,2019-01-28,East,1781.0,5533402.0,33.29
37,2019-01-28,East Midlands,1270.0,4125979.0,32.095
38,2019-01-28,London,357.0,1613009.0,35.775
39,2019-01-28,North East,352.0,1099659.0,33.67
40,2019-01-28,North West,709.0,2050329.0,34.03
41,2019-01-28,South East,441.0,1577808.0,26.91
42,2019-01-28,South West,1047.0,3233957.0,29.040000000000003
43,2019-01-28,West Midlands,284.0,986112.0,33.795
44,2019-01-28,Yorkshire and The Humber,971.0,3411744.0,30.544999999999998
45,2019-02-04,East,1746.0,5534832.0,32.655
46,2019-02-04,East Midlands,1300.0,4127340.0,32.73
47,2019-02-04,London,373.0,1614784.0,36.87
48,2019-02-04,North East,342.0,1099808.0,32.955000000000005
49,2019-02-04,North West,675.0,2050677.0,32.324999999999996
50,2019-02-04,South East,463.0,1578308.0,28.260000000000005
51,2019-02-04,South West,1083.0,3235090.0,29.875
52,2019-02-04,West Midlands,324.0,986540.0,38.254999999999995
53,2019-02-04,Yorkshire and The Humber,1021.0,3412292.0,32.155
54,2019-02-11,East,1773.0,5535903.0,33.245
55,2019-02-11,East Midlands,1307.0,4128106.0,32.875
56,2019-02-11,London,345.0,1616046.0,34.19500000000001
57,2019-02-11,North East,367.0,1099931.0,34.915
58,2019-02-11,North West,686.0,2050966.0,33.335
59,2019-02-11,South East,456.0,1578531.0,27.884999999999998
60,2019-02-11,South West,1093.0,3235982.0,30.249999999999996
61,2019-02-11,West Midlands,290.0,986721.0,34.715
62,2019-02-11,Yorkshire and The Humber,1060.0,3412747.0,33.445
63,2019-02-18,East,1658.0,5537079.0,31.020000000000003
64,2019-02-18,East Midlands,1192.0,4129026.0,30.090000000000003
65,2019-02-18,London,342.0,1617413.0,34.574999999999996
66,2019-02-18,North East,313.0,1100141.0,29.93
67,2019-02-18,North West,633.0,2051209.0,30.46
68,2019-02-18,South East,469.0,1578665.0,28.575000000000006
69,2019-02-18,South West,1019.0,3237128.0,28.215
70,2019-02-18,West Midlands,280.0,987150.0,33.445
71,2019-02-18,Yorkshire and The Humber,989.0,3412972.0,31.014999999999997
72,2019-02-25,East,1713.0,5538535.0,32.335
73,2019-02-25,East Midlands,1281.0,4129921.0,32.225
74,2019-02-25,London,349.0,1618482.0,34.17
75,2019-02-25,North East,391.0,1100156.0,37.495
76,2019-02-25,North West,637.0,2051465.0,30.745
77,2019-02-25,South East,468.0,1578990.0,28.365
78,2019-02-25,South West,1090.0,3238557.0,30.365000000000002
79,2019-02-25,West Midlands,297.0,987257.0,35.175
80,2019-02-25,Yorkshire and The Humber,1017.0,3413439.0,32.11
81,2019-03-04,East,1778.0,5539559.0,33.42
82,2019-03-04,East Midlands,1317.0,4130722.0,33.285
83,2019-03-04,London,381.0,1619315.0,36.335
84,2019-03-04,North East,378.0,1100169.0,36.004999999999995
85,2019-03-04,North West,745.0,2052089.0,35.83
86,2019-03-04,South East,476.0,1579042.0,28.884999999999998
87,2019-03-04,South West,1170.0,3239400.0,32.305
88,2019-03-04,West Midlands,316.0,987315.0,37.519999999999996
89,2019-03-04,Yorkshire and The Humber,1064.0,3413782.0,33.435
90,2019-03-11,East,1807.0,5541092.0,33.870000000000005
91,2019-03-11,East Midlands,1291.0,4131776.0,32.470000000000006
92,2019-03-11,London,373.0,1620964.0,36.785000000000004
93,2019-03-11,North East,360.0,1100231.0,34.495
94,2019-03-11,North West,678.0,2052401.0,32.31
95,2019-03-11,South East,479.0,1579033.0,28.859999999999996
96,2019-03-11,South West,1045.0,3241396.0,28.855
97,2019-03-11,West Midlands,317.0,987396.0,37.135
98,2019-03-11,Yorkshire and The Humber,1067.0,3414051.0,33.555
99,2019-03-18,East,1703.0,5542300.0,31.915
100,2019-03-18,East Midlands,1328.0,4132304.0,33.410000000000004
101,2019-03-18,London,338.0,1622114.0,33.660000000000004
102,2019-03-18,North East,345.0,1100235.0,33.285000000000004
103,2019-03-18,North West,664.0,2052521.0,31.955000000000002
104,2019-03-18,South East,472.0,1579296.0,28.695
105,2019-03-18,South West,1143.0,3242059.0,31.845
106,2019-03-18,West Midlands,302.0,987437.0,35.64000000000001
107,2019-03-18,Yorkshire and The Humber,1050.0,3414540.0,32.93
108,2019-03-25,East,1738.0,5543527.0,32.565
109,2019-03-25,East Midlands,1227.0,4133206.0,30.900000000000002
110,2019-03-25,London,345.0,1623294.0,33.18
111,2019-03-25,North East,335.0,1100366.0,32.01
112,2019-03-25,North West,623.0,2052637.0,30.079999999999995
113,2019-03-25,South East,460.0,1579616.0,27.994999999999997
114,2019-03-25,South West,1052.0,3246757.0,29.045
115,2019-03-25,West Midlands,331.0,987402.0,39.54
116,2019-03-25,Yorkshire and The Humber,1051.0,3415046.0,33.08
117,2019-04-01,East,1818.0,5543303.0,33.995000000000005
118,2019-04-01,East Midlands,1304.0,4132765.0,32.754999999999995
119,2019-04-01,London,338.0,1623237.0,32.37
120,2019-04-01,North East,358.0,1100258.0,34.00000000000001
121,2019-04-01,North West,708.0,2052428.0,33.775000000000006
122,2019-04-01,South East,487.0,1579295.0,29.400000000000002
123,2019-04-01,South West,1143.0,3246649.0,31.534999999999997
124,2019-04-01,West Midlands,290.0,987191.0,34.12
125,2019-04-01,Yorkshire and The Humber,1085.0,3414608.0,34.03
126,2019-04-08,East,1671.0,5546073.0,31.215000000000003
127,2019-04-08,East Midlands,1275.0,4134847.0,31.905
