,date,ethnicity,respiratory_disease,population,"European Standard population rate per 100,000"
133,01/07/2019,4,299,466995,86.09
134,01/07/2019,5,197,414110,73.625
135,08/07/2019,1,15827,13997572,110.92
136,08/07/2019,2,223,288885,116.36
137,08/07/2019,3,949,1384524,102.11
138,08/07/2019,4,323,467765,88.69
139,08/07/2019,5,184,415026,71.61
140,15/07/2019,1,15639,14007160,109.395
141,15/07/2019,2,190,289296,99.425
142,15/07/2019,3,939,1386252,101.48
143,15/07/2019,4,316,468421,94.215
144,15/07/2019,5,171,415842,66.095
145,22/07/2019,1,15640,14016587,109.225
146,22/07/2019,2,186,289711,99.945
147,22/07/2019,3,871,1387893,94.05
148,22/07/2019,4,316,469080,89.445
149,22/07/2019,5,193,416641,78.55
150,29/07/2019,1,15605,14025749,108.835
151,29/07/2019,2,195,290103,105.365
152,29/07/2019,3,997,1389450,107.555
153,29/07/2019,4,319,469731,92.545
154,29/07/2019,5,181,417403,74.9
155,05/08/2019,1,15342,14035834,107.01
156,05/08/2019,2,175,290567,105.775
157,05/08/2019,3,975,1391304,104.735
158,05/08/2019,4,298,470468,84.055
159,05/08/2019,5,164,418192,68.67
160,12/08/2019,1,15124,14046281,104.97
161,12/08/2019,2,159,291044,95.31
162,12/08/2019,3,957,1393114,101.845
163,12/08/2019,4,335,471229,96.64
164,12/08/2019,5,149,419126,61.2
165,19/08/2019,1,15229,14056562,105.835
166,19/08/2019,2,191,291494,105.82
167,19/08/2019,3,942,1394871,101.12
168,19/08/2019,4,305,471973,85.7
169,19/08/2019,5,175,419944,67.525
170,26/08/2019,1,13967,14064661,97.085
171,26/08/2019,2,178,291860,93.215
172,26/08/2019,3,897,1396342,96.005
173,26/08/2019,4,258,472585,71.33
174,26/08/2019,5,153,420654,58.05
175,02/09/2019,1,15205,14075581,105.125
176,02/09/2019,2,208,292382,117.815
177,02/09/2019,3,936,1398301,101.605
178,02/09/2019,4,310,473342,88.91
179,02/09/2019,5,170,421593,65.675
180,09/09/2019,1,15920,14088035,110.875
181,09/09/2019,2,213,292959,114.635
182,09/09/2019,3,1055,1400312,109.455
183,09/09/2019,4,303,474254,83.75
184,09/09/2019,5,212,422760,87.645
185,16/09/2019,1,16278,14100867,114.14
186,16/09/2019,2,211,293624,103.69
187,16/09/2019,3,1104,1402334,111.03
188,16/09/2019,4,372,475188,102.5
189,16/09/2019,5,198,424278,75.055
190,23/09/2019,1,16762,14114659,117.05
191,23/09/2019,2,221,294361,112.66
192,23/09/2019,3,1054,1405113,104.34
193,23/09/2019,4,319,476375,88.605
194,23/09/2019,5,218,426028,78.665
195,30/09/2019,1,16886,14128254,118.125
196,30/09/2019,2,210,295110,108.72
197,30/09/2019,3,1040,1407991,107.165
198,30/09/2019,4,348,477526,100.605
