,date,region,respiratory_disease,population,"European Standard population rate per 100,000"
64,2019-02-18,East Midlands,5753.0,4128865.0,142.77999999999997
65,2019-02-18,London,1630.0,1616992.0,143.345
66,2019-02-18,North East,1564.0,1092839.0,147.61499999999998
67,2019-02-18,North West,3186.0,2051198.0,153.71
68,2019-02-18,South East,1873.0,1568440.0,116.125
69,2019-02-18,South West,3992.0,3234705.0,115.98500000000003
70,2019-02-18,West Midlands,1434.0,987086.0,159.94
71,2019-02-18,Yorkshire and The Humber,4616.0,3390381.0,142.54500000000002
72,2019-02-25,East,7185.0,5531745.0,133.145
73,2019-02-25,East Midlands,5793.0,4129761.0,144.145
74,2019-02-25,London,1636.0,1618059.0,143.15
75,2019-02-25,North East,1658.0,1092843.0,157.29000000000002
76,2019-02-25,North West,3145.0,2051453.0,152.81
77,2019-02-25,South East,1956.0,1568755.0,121.40999999999998
78,2019-02-25,South West,4091.0,3236141.0,118.80000000000003
79,2019-02-25,West Midlands,1442.0,987193.0,161.57
80,2019-02-25,Yorkshire and The Humber,4667.0,3390818.0,144.365
81,2019-03-04,East,7433.0,5532738.0,136.79999999999998
82,2019-03-04,East Midlands,5677.0,4130559.0,140.75
83,2019-03-04,London,1605.0,1618890.0,141.42499999999998
84,2019-03-04,North East,1609.0,1092847.0,152.16500000000002
85,2019-03-04,North West,3310.0,2052076.0,160.05
86,2019-03-04,South East,1890.0,1568795.0,116.98499999999999
87,2019-03-04,South West,4286.0,3236988.0,124.04
88,2019-03-04,West Midlands,1355.0,987250.0,150.705
89,2019-03-04,Yorkshire and The Humber,4613.0,3391127.0,142.24000000000004
90,2019-03-11,East,7402.0,5534258.0,136.68
91,2019-03-11,East Midlands,5683.0,4131611.0,141.155
92,2019-03-11,London,1601.0,1620530.0,142.22
93,2019-03-11,North East,1591.0,1092898.0,150.43500000000003
94,2019-03-11,North West,3276.0,2052389.0,158.435
95,2019-03-11,South East,1878.0,1568777.0,116.26500000000001
96,2019-03-11,South West,4093.0,3238986.0,118.67500000000001
97,2019-03-11,West Midlands,1442.0,987332.0,159.65499999999997
98,2019-03-11,Yorkshire and The Humber,4714.0,3391378.0,145.67499999999998
99,2019-03-18,East,7098.0,5535441.0,130.93
100,2019-03-18,East Midlands,5630.0,4132139.0,139.555
101,2019-03-18,London,1531.0,1621674.0,133.735
102,2019-03-18,North East,1511.0,1092900.0,143.17
103,2019-03-18,North West,3127.0,2052509.0,151.34500000000003
104,2019-03-18,South East,1880.0,1569028.0,116.69999999999999
105,2019-03-18,South West,4069.0,3239650.0,118.14
106,2019-03-18,West Midlands,1351.0,987371.0,150.135
107,2019-03-18,Yorkshire and The Humber,4598.0,3391838.0,141.825
108,2019-03-25,East,7094.0,5536649.0,131.095
109,2019-03-25,East Midlands,5632.0,4133037.0,139.46499999999997
110,2019-03-25,London,1558.0,1622839.0,134.07000000000002
111,2019-03-25,North East,1565.0,1093022.0,147.93500000000003
112,2019-03-25,North West,3100.0,2052626.0,150.12000000000003
113,2019-03-25,South East,1815.0,1569331.0,112.385
114,2019-03-25,South West,4059.0,3244334.0,117.67000000000002
115,2019-03-25,West Midlands,1337.0,987335.0,148.66500000000005
116,2019-03-25,Yorkshire and The Humber,4482.0,3392310.0,138.10999999999999
117,2019-04-01,East,7323.0,5536386.0,135.14000000000001
118,2019-04-01,East Midlands,5911.0,4132596.0,146.06000000000003
119,2019-04-01,London,1538.0,1622779.0,133.495
120,2019-04-01,North East,1553.0,1092908.0,146.85
121,2019-04-01,North West,3412.0,2052415.0,165.07500000000002
122,2019-04-01,South East,1980.0,1568995.0,122.53
123,2019-04-01,South West,4162.0,3244232.0,120.02499999999999
124,2019-04-01,West Midlands,1470.0,987124.0,163.435
125,2019-04-01,Yorkshire and The Humber,4924.0,3391847.0,151.56500000000003
126,2019-04-08,East,6971.0,5539136.0,128.85500000000002
127,2019-04-08,East Midlands,5676.0,4134678.0,140.82999999999998
128,2019-04-08,London,1598.0,1624616.0,140.35
129,2019-04-08,North East,1617.0,1093414.0,152.81000000000003
130,2019-04-08,North West,3255.0,2053079.0,157.055
131,2019-04-08,South East,1872.0,1569654.0,115.775
132,2019-04-08,South West,4039.0,3246048.0,116.57000000000002
133,2019-04-08,West Midlands,1496.0,987497.0,166.745
134,2019-04-08,Yorkshire and The Humber,4628.0,3393346.0,142.305
135,2019-04-15,East,6511.0,5539792.0,120.49500000000002
136,2019-04-15,East Midlands,5177.0,4135181.0,128.60500000000002
137,2019-04-15,London,1447.0,1625775.0,127.69
138,2019-04-15,North East,1463.0,1093427.0,138.77
139,2019-04-15,North West,2994.0,2053140.0,144.86499999999998
140,2019-04-15,South East,1694.0,1569804.0,104.415
141,2019-04-15,South West,3765.0,3246676.0,108.02999999999999
142,2019-04-15,West Midlands,1300.0,987493.0,144.985
143,2019-04-15,Yorkshire and The Humber,4338.0,3393755.0,133.93
144,2019-04-22,East,6500.0,5540405.0,120.26000000000002
145,2019-04-22,East Midlands,5258.0,4135532.0,130.49500000000003
146,2019-04-22,London,1493.0,1626229.0,130.70000000000002
147,2019-04-22,North East,1484.0,1093402.0,140.89499999999998
148,2019-04-22,North West,2982.0,2053343.0,144.17
149,2019-04-22,South East,1659.0,1569794.0,102.71
150,2019-04-22,South West,3695.0,3247046.0,106.21000000000001
151,2019-04-22,West Midlands,1273.0,987470.0,143.725
152,2019-04-22,Yorkshire and The Humber,4435.0,3394017.0,137.055
153,2019-04-29,East,6803.0,5541547.0,125.76
154,2019-04-29,East Midlands,5642.0,4136304.0,139.90000000000003
155,2019-04-29,London,1510.0,1627572.0,132.36
156,2019-04-29,North East,1565.0,1093465.0,148.17499999999998
157,2019-04-29,North West,3214.0,2053435.0,155.335
158,2019-04-29,South East,1839.0,1569935.0,113.93500000000003
159,2019-04-29,South West,4046.0,3247998.0,116.755
160,2019-04-29,West Midlands,1327.0,987428.0,148.28
161,2019-04-29,Yorkshire and The Humber,4386.0,3394474.0,135.72
162,2019-05-06,East,6241.0,5542391.0,115.09
163,2019-05-06,East Midlands,5102.0,4136852.0,126.25500000000001
164,2019-05-06,London,1434.0,1628633.0,123.605
165,2019-05-06,North East,1378.0,1093492.0,130.72
166,2019-05-06,North West,2858.0,2053625.0,138.03000000000003
167,2019-05-06,South East,1751.0,1570058.0,108.225
168,2019-05-06,South West,3691.0,3248789.0,105.65
169,2019-05-06,West Midlands,1266.0,987423.0,141.78
170,2019-05-06,Yorkshire and The Humber,4174.0,3394761.0,128.265
171,2019-05-13,East,7036.0,5544016.0,129.54500000000002
172,2019-05-13,East Midlands,5653.0,4137589.0,140.12500000000003
173,2019-05-13,London,1562.0,1629930.0,135.785
174,2019-05-13,North East,1507.0,1093584.0,142.4
175,2019-05-13,North West,3242.0,2053833.0,156.375
176,2019-05-13,South East,1784.0,1570601.0,110.11500000000001
177,2019-05-13,South West,4041.0,3249820.0,116.54499999999999
178,2019-05-13,West Midlands,1350.0,987572.0,150.88000000000002
179,2019-05-13,Yorkshire and The Humber,4405.0,3395403.0,135.665
180,2019-05-20,East,6991.0,5545537.0,129.04000000000002
181,2019-05-20,East Midlands,5741.0,4138606.0,141.85500000000002
182,2019-05-20,London,1591.0,1631317.0,139.14499999999998
183,2019-05-20,North East,1501.0,1093685.0,141.35
184,2019-05-20,North West,3169.0,2054029.0,152.96
185,2019-05-20,South East,1843.0,1570835.0,114.10000000000001
186,2019-05-20,South West,4038.0,3251407.0,116.40500000000002
187,2019-05-20,West Midlands,1402.0,987663.0,157.64499999999998
188,2019-05-20,Yorkshire and The Humber,4531.0,3395895.0,139.43500000000003
189,2019-05-27,East,6079.0,5546545.0,112.385
190,2019-05-27,East Midlands,4959.0,4139205.0,122.915
191,2019-05-27,London,1345.0,1632530.0,118.34
192,2019-05-27,North East,1433.0,1093674.0,135.965
193,2019-05-27,North West,2877.0,2054173.0,138.74
194,2019-05-27,South East,1594.0,1570948.0,98.13000000000001
195,2019-05-27,South West,3499.0,3252392.0,100.58500000000001
196,2019-05-27,West Midlands,1173.0,987664.0,130.56000000000003
197,2019-05-27,Yorkshire and The Humber,3928.0,3396245.0,121.36500000000002
198,2019-06-03,East,6760.0,5547912.0,124.84000000000002
199,2019-06-03,East Midlands,5498.0,4139686.0,135.65
200,2019-06-03,London,1544.0,1634021.0,133.44
201,2019-06-03,North East,1437.0,1093813.0,135.36500000000004
202,2019-06-03,North West,3125.0,2054236.0,150.685
203,2019-06-03,South East,1780.0,1571257.0,109.60999999999999
204,2019-06-03,South West,3976.0,3254280.0,113.88000000000002
205,2019-06-03,West Midlands,1294.0,987742.0,144.845
206,2019-06-03,Yorkshire and The Humber,4356.0,3396709.0,134.10500000000002
207,2019-06-10,East,6849.0,5549613.0,126.11500000000002
208,2019-06-10,East Midlands,5424.0,4140902.0,134.04999999999998
209,2019-06-10,London,1513.0,1635386.0,131.09
210,2019-06-10,North East,1441.0,1093909.0,135.975
211,2019-06-10,North West,3080.0,2054684.0,148.57000000000005
212,2019-06-10,South East,1813.0,1571689.0,111.935
213,2019-06-10,South West,3931.0,3256042.0,112.685
214,2019-06-10,West Midlands,1299.0,987794.0,145.47
215,2019-06-10,Yorkshire and The Humber,4356.0,3397447.0,134.54
216,2019-06-17,East,6741.0,5551681.0,124.2
217,2019-06-17,East Midlands,5439.0,4142229.0,133.99999999999997
218,2019-06-17,London,1569.0,1636702.0,136.68
219,2019-06-17,North East,1396.0,1093927.0,131.79999999999998
220,2019-06-17,North West,3085.0,2054925.0,148.68499999999997
221,2019-06-17,South East,1818.0,1571865.0,112.43
222,2019-06-17,South West,3931.0,3256661.0,113.11499999999998
223,2019-06-17,West Midlands,1294.0,987959.0,143.49500000000003
224,2019-06-17,Yorkshire and The Humber,4397.0,3398229.0,135.39000000000001
225,2019-06-24,East,6736.0,5553752.0,123.925
226,2019-06-24,East Midlands,5438.0,4143289.0,134.22
227,2019-06-24,London,1563.0,1638268.0,135.535
228,2019-06-24,North East,1461.0,1094077.0,137.81
229,2019-06-24,North West,3195.0,2055268.0,154.05
230,2019-06-24,South East,1833.0,1573063.0,113.02
231,2019-06-24,South West,3920.0,3257373.0,112.72000000000001
232,2019-06-24,West Midlands,1290.0,988105.0,143.85
233,2019-06-24,Yorkshire and The Humber,4454.0,3398747.0,136.925
234,2019-07-01,East,6753.0,5554863.0,124.14
235,2019-07-01,East Midlands,5559.0,4143293.0,136.815
236,2019-07-01,London,1546.0,1638913.0,135.71
237,2019-07-01,North East,1457.0,1093916.0,136.94500000000002
238,2019-07-01,North West,3155.0,2055048.0,151.79500000000002
239,2019-07-01,South East,1738.0,1572907.0,107.425
240,2019-07-01,South West,3859.0,3257320.0,111.11
241,2019-07-01,West Midlands,1314.0,987941.0,146.76
242,2019-07-01,Yorkshire and The Humber,3923.0,3398622.0,120.34499999999998
243,2019-07-08,East,6797.0,5558802.0,125.02499999999998
244,2019-07-08,East Midlands,5487.0,4145477.0,135.11
245,2019-07-08,London,1585.0,1640989.0,135.935
246,2019-07-08,North East,1477.0,1094408.0,138.93000000000004
247,2019-07-08,North West,3104.0,2055891.0,149.57000000000002
248,2019-07-08,South East,1776.0,1573586.0,109.39000000000001
249,2019-07-08,South West,3804.0,3259030.0,109.34
250,2019-07-08,West Midlands,1351.0,988308.0,150.60500000000002
251,2019-07-08,Yorkshire and The Humber,3855.0,3399954.0,118.65
252,2019-07-15,East,6664.0,5560500.0,122.38999999999999
253,2019-07-15,East Midlands,5412.0,4145865.0,133.535
254,2019-07-15,London,1462.0,1642030.0,128.055
255,2019-07-15,North East,1416.0,1094503.0,132.82500000000002
256,2019-07-15,North West,3086.0,2056190.0,148.505
257,2019-07-15,South East,1769.0,1573456.0,108.65499999999999
258,2019-07-15,South West,3919.0,3259729.0,112.28999999999999
259,2019-07-15,West Midlands,1356.0,988479.0,151.915
260,2019-07-15,Yorkshire and The Humber,3842.0,3400062.0,118.465
261,2019-07-22,East,6686.0,5562729.0,122.96499999999997
262,2019-07-22,East Midlands,5516.0,4146614.0,136.24
263,2019-07-22,London,1508.0,1643586.0,133.35000000000002
264,2019-07-22,North East,1455.0,1094731.0,137.22
265,2019-07-22,North West,3016.0,2056517.0,145.54
266,2019-07-22,South East,1791.0,1573602.0,110.32499999999999
267,2019-07-22,South West,3873.0,3260425.0,111.13499999999999
268,2019-07-22,West Midlands,1344.0,988546.0,150.99
269,2019-07-22,Yorkshire and The Humber,4090.0,3400640.0,126.02000000000001
270,2019-07-29,East,6697.0,5564451.0,123.25
271,2019-07-29,East Midlands,5317.0,4147443.0,131.01500000000001
272,2019-07-29,London,1482.0,1645030.0,129.055
273,2019-07-29,North East,1432.0,1094931.0,134.91500000000002
274,2019-07-29,North West,3015.0,2056686.0,145.10999999999999
275,2019-07-29,South East,1742.0,1573761.0,107.345
276,2019-07-29,South West,3787.0,3261113.0,108.21000000000001
277,2019-07-29,West Midlands,1279.0,988587.0,143.36499999999998
278,2019-07-29,Yorkshire and The Humber,4146.0,3401294.0,127.67000000000002
279,2019-08-05,East,6371.0,5566225.0,116.965
280,2019-08-05,East Midlands,5226.0,4148299.0,128.685
281,2019-08-05,London,1442.0,1646408.0,126.565
282,2019-08-05,North East,1408.0,1094951.0,132.47
283,2019-08-05,North West,2937.0,2056769.0,141.36499999999998
284,2019-08-05,South East,1694.0,1573775.0,103.99500000000003
285,2019-08-05,South West,3716.0,3261640.0,106.465
286,2019-08-05,West Midlands,1213.0,988497.0,136.10500000000002
287,2019-08-05,Yorkshire and The Humber,4234.0,3401931.0,130.62
288,2019-08-12,East,6394.0,5567842.0,117.47500000000001
289,2019-08-12,East Midlands,5289.0,4149449.0,130.29000000000002
290,2019-08-12,London,1413.0,1647293.0,125.495
291,2019-08-12,North East,1384.0,1094982.0,130.87
292,2019-08-12,North West,2849.0,2057123.0,137.49499999999998
293,2019-08-12,South East,1722.0,1574033.0,105.96500000000002
294,2019-08-12,South West,3573.0,3262766.0,101.805
295,2019-08-12,West Midlands,1253.0,988576.0,140.965
296,2019-08-12,Yorkshire and The Humber,4101.0,3402696.0,126.15500000000002
297,2019-08-19,East,6385.0,5569767.0,117.41000000000001
298,2019-08-19,East Midlands,5164.0,4150499.0,127.355
299,2019-08-19,London,1477.0,1648758.0,131.52
300,2019-08-19,North East,1356.0,1095096.0,127.715
301,2019-08-19,North West,3000.0,2057590.0,144.48499999999999
302,2019-08-19,South East,1694.0,1574319.0,104.045
303,2019-08-19,South West,3665.0,3263713.0,104.28999999999999
304,2019-08-19,West Midlands,1233.0,988531.0,138.29
305,2019-08-19,Yorkshire and The Humber,4169.0,3403305.0,128.345
306,2019-08-26,East,5876.0,5570856.0,108.105
307,2019-08-26,East Midlands,4776.0,4151235.0,117.50500000000002
308,2019-08-26,London,1324.0,1649787.0,115.735
309,2019-08-26,North East,1264.0,1095234.0,118.72500000000001
310,2019-08-26,North West,2772.0,2057675.0,133.51000000000002
311,2019-08-26,South East,1550.0,1574258.0,95.43500000000002
312,2019-08-26,South West,3365.0,3264532.0,95.63
313,2019-08-26,West Midlands,1149.0,988372.0,128.85500000000002
314,2019-08-26,Yorkshire and The Humber,3966.0,3403170.0,121.92500000000001
315,2019-09-02,East,6246.0,5572585.0,114.57499999999999
316,2019-09-02,East Midlands,5158.0,4152641.0,126.495
317,2019-09-02,London,1413.0,1651393.0,121.96000000000001
318,2019-09-02,North East,1403.0,1095382.0,131.965
319,2019-09-02,North West,2854.0,2058042.0,136.97500000000002
320,2019-09-02,South East,1706.0,1574497.0,104.49000000000001
321,2019-09-02,South West,3678.0,3266009.0,105.03
322,2019-09-02,West Midlands,1286.0,988385.0,143.94500000000002
323,2019-09-02,Yorkshire and The Humber,4249.0,3404187.0,130.45
324,2019-09-09,East,6625.0,5574509.0,121.01500000000001
325,2019-09-09,East Midlands,5434.0,4153826.0,133.145
326,2019-09-09,London,1496.0,1653177.0,132.85500000000002
327,2019-09-09,North East,1440.0,1096202.0,135.4
328,2019-09-09,North West,3079.0,2058402.0,147.62499999999997
329,2019-09-09,South East,1778.0,1574467.0,109.58000000000001
330,2019-09-09,South West,3977.0,3267231.0,114.01
331,2019-09-09,West Midlands,1246.0,988548.0,138.485
332,2019-09-09,Yorkshire and The Humber,4403.0,3404924.0,134.20500000000004
333,2019-09-16,East,6905.0,5575607.0,125.86000000000001
334,2019-09-16,East Midlands,5623.0,4155494.0,137.91500000000002
335,2019-09-16,London,1541.0,1654890.0,133.035
336,2019-09-16,North East,1398.0,1096391.0,130.79500000000002
337,2019-09-16,North West,3211.0,2058750.0,154.0
338,2019-09-16,South East,1786.0,1575540.0,109.71500000000003
339,2019-09-16,South West,3883.0,3269135.0,111.12500000000001
340,2019-09-16,West Midlands,1427.0,988506.0,157.0
341,2019-09-16,Yorkshire and The Humber,4650.0,3406108.0,141.73
342,2019-09-23,East,6944.0,5575898.0,127.17500000000001
343,2019-09-23,East Midlands,5580.0,4159365.0,136.96499999999997
344,2019-09-23,London,1577.0,1656701.0,134.63000000000002
345,2019-09-23,North East,1533.0,1097471.0,143.285
346,2019-09-23,North West,3144.0,2058961.0,151.01
347,2019-09-23,South East,1902.0,1576595.0,116.575
348,2019-09-23,South West,4034.0,3270000.0,115.77999999999999
349,2019-09-23,West Midlands,1359.0,988646.0,150.92
350,2019-09-23,Yorkshire and The Humber,4768.0,3406670.0,145.31500000000003
351,2019-09-30,East,7034.0,5574502.0,128.62
352,2019-09-30,East Midlands,5779.0,4162108.0,141.84000000000003
353,2019-09-30,London,1582.0,1658790.0,134.69
354,2019-09-30,North East,1518.0,1098021.0,142.62
355,2019-09-30,North West,3153.0,2058317.0,151.83
356,2019-09-30,South East,1841.0,1577470.0,112.87000000000002
357,2019-09-30,South West,4029.0,3269983.0,115.59000000000002
358,2019-09-30,West Midlands,1339.0,988845.0,148.73000000000002
359,2019-09-30,Yorkshire and The Humber,4615.0,3405587.0,141.13999999999996
360,2019-10-07,East,7063.0,5578151.0,128.865
361,2019-10-07,East Midlands,5815.0,4163720.0,142.5
362,2019-10-07,London,1546.0,1661565.0,132.715
363,2019-10-07,North East,1574.0,1098120.0,146.99000000000004
364,2019-10-07,North West,3304.0,2058665.0,158.27500000000003
365,2019-10-07,South East,1880.0,1578034.0,115.485
366,2019-10-07,South West,4002.0,3271566.0,114.35500000000002
367,2019-10-07,West Midlands,1394.0,989122.0,154.10000000000002
368,2019-10-07,Yorkshire and The Humber,4781.0,3405970.0,146.195
369,2019-10-14,East,7165.0,5580415.0,130.895
370,2019-10-14,East Midlands,6001.0,4165387.0,147.03499999999997
371,2019-10-14,London,1544.0,1664047.0,133.35500000000002
372,2019-10-14,North East,1551.0,1098272.0,145.26999999999998
373,2019-10-14,North West,3429.0,2058865.0,163.905
374,2019-10-14,South East,1944.0,1578458.0,119.02
375,2019-10-14,South West,4118.0,3272409.0,117.78499999999997
376,2019-10-14,West Midlands,1475.0,989469.0,162.965
377,2019-10-14,Yorkshire and The Humber,4865.0,3406318.0,148.225
378,2019-10-21,East,7041.0,5582867.0,128.435
379,2019-10-21,East Midlands,5726.0,4167156.0,140.19
380,2019-10-21,London,1488.0,1666554.0,128.69000000000003
381,2019-10-21,North East,1595.0,1098460.0,149.22500000000002
382,2019-10-21,North West,3284.0,2058888.0,157.805
383,2019-10-21,South East,1908.0,1578990.0,116.86500000000002
384,2019-10-21,South West,4107.0,3273299.0,117.17499999999998
385,2019-10-21,West Midlands,1332.0,989670.0,147.445
386,2019-10-21,Yorkshire and The Humber,4689.0,3406777.0,143.05999999999997
387,2019-10-28,East,7278.0,5585459.0,132.685
388,2019-10-28,East Midlands,5761.0,4169177.0,141.255
389,2019-10-28,London,1604.0,1669182.0,140.63
390,2019-10-28,North East,1513.0,1098564.0,141.6
391,2019-10-28,North West,3367.0,2059151.0,161.26999999999998
392,2019-10-28,South East,1906.0,1579390.0,116.93
393,2019-10-28,South West,4163.0,3274254.0,119.265
394,2019-10-28,West Midlands,1417.0,989672.0,157.7
395,2019-10-28,Yorkshire and The Humber,4737.0,3407370.0,144.69500000000002
396,2019-11-04,East,7347.0,5587824.0,133.625
397,2019-11-04,East Midlands,6051.0,4171475.0,147.72
398,2019-11-04,London,1577.0,1671409.0,135.60999999999999
399,2019-11-04,North East,1593.0,1098649.0,148.265
400,2019-11-04,North West,3488.0,2059062.0,167.29500000000002
401,2019-11-04,South East,2046.0,1579591.0,125.47
402,2019-11-04,South West,4375.0,3275144.0,125.305
403,2019-11-04,West Midlands,1373.0,989601.0,152.63000000000002
404,2019-11-04,Yorkshire and The Humber,4934.0,3408068.0,150.33499999999998
405,2019-11-11,East,7300.0,5590353.0,132.93500000000003
406,2019-11-11,East Midlands,6009.0,4173037.0,146.36500000000004
407,2019-11-11,London,1629.0,1673957.0,137.05499999999998
408,2019-11-11,North East,1624.0,1098714.0,151.88499999999996
409,2019-11-11,North West,3554.0,2059203.0,170.66000000000003
410,2019-11-11,South East,1934.0,1580061.0,118.52
411,2019-11-11,South West,4409.0,3275831.0,126.57000000000002
412,2019-11-11,West Midlands,1366.0,989961.0,151.42999999999998
413,2019-11-11,Yorkshire and The Humber,4940.0,3408617.0,150.265
414,2019-11-18,East,7475.0,5592164.0,135.575
415,2019-11-18,East Midlands,6236.0,4175022.0,152.17
416,2019-11-18,London,1665.0,1675697.0,142.04
417,2019-11-18,North East,1690.0,1098825.0,157.57500000000002
418,2019-11-18,North West,3624.0,2059384.0,173.8
419,2019-11-18,South East,2023.0,1580429.0,123.96000000000001
420,2019-11-18,South West,4488.0,3276596.0,128.555
421,2019-11-18,West Midlands,1515.0,989553.0,165.63500000000005
422,2019-11-18,Yorkshire and The Humber,5169.0,3409272.0,156.655
423,2019-11-25,East,7551.0,5593129.0,137.17499999999998
424,2019-11-25,East Midlands,6447.0,4176575.0,157.24000000000004
425,2019-11-25,London,1680.0,1676275.0,144.235
426,2019-11-25,North East,1701.0,1098997.0,158.53
427,2019-11-25,North West,3740.0,2059568.0,179.44999999999996
428,2019-11-25,South East,2011.0,1580589.0,123.705
429,2019-11-25,South West,4507.0,3277570.0,129.09
430,2019-11-25,West Midlands,1459.0,989656.0,161.265
431,2019-11-25,Yorkshire and The Humber,5311.0,3409890.0,161.25
432,2019-12-02,East,7743.0,5594697.0,140.07
433,2019-12-02,East Midlands,6354.0,4178476.0,154.64
434,2019-12-02,London,1639.0,1677528.0,140.07500000000002
435,2019-12-02,North East,1714.0,1099003.0,159.535
436,2019-12-02,North West,3607.0,2059596.0,172.415
437,2019-12-02,South East,2010.0,1580769.0,123.05499999999999
438,2019-12-02,South West,4613.0,3279529.0,132.29000000000002
439,2019-12-02,West Midlands,1490.0,989750.0,162.54999999999998
440,2019-12-02,Yorkshire and The Humber,5167.0,3410345.0,156.175
441,2019-12-09,East,8006.0,5595877.0,144.965
442,2019-12-09,East Midlands,6444.0,4179267.0,156.82500000000002
443,2019-12-09,London,1722.0,1678990.0,146.245
444,2019-12-09,North East,1771.0,1099130.0,165.63499999999996
445,2019-12-09,North West,3916.0,2059673.0,187.54499999999996
446,2019-12-09,South East,2082.0,1580914.0,127.955
447,2019-12-09,South West,4692.0,3280758.0,134.52500000000003
448,2019-12-09,West Midlands,1536.0,989814.0,167.56500000000005
449,2019-12-09,Yorkshire and The Humber,5208.0,3410560.0,158.335
450,2019-12-16,East,8093.0,5597171.0,146.77
451,2019-12-16,East Midlands,6560.0,4179748.0,160.06000000000003
452,2019-12-16,London,1800.0,1679767.0,154.10500000000002
453,2019-12-16,North East,1724.0,1099217.0,161.515
454,2019-12-16,North West,3662.0,2059787.0,175.275
455,2019-12-16,South East,2205.0,1580978.0,134.92000000000002
456,2019-12-16,South West,4862.0,3281787.0,138.45
457,2019-12-16,West Midlands,1525.0,989868.0,168.565
458,2019-12-16,Yorkshire and The Humber,5254.0,3410755.0,159.97
459,2019-12-23,East,6081.0,5598474.0,110.035
