,date,region,respiratory_disease,population,"European Standard population rate per 100,000"
0,2018-12-31,East,6814.0,5519714.0,126.185
1,2018-12-31,East Midlands,5422.0,4122105.0,135.14499999999998
2,2018-12-31,London,1481.0,1606646.0,130.72500000000002
3,2018-12-31,North East,1451.0,1091890.0,138.89
4,2018-12-31,North West,3100.0,2048909.0,151.43
5,2018-12-31,South East,1730.0,1567069.0,106.71
6,2018-12-31,South West,3907.0,3226525.0,112.96
7,2018-12-31,West Midlands,1418.0,985033.0,158.57999999999998
8,2018-12-31,Yorkshire and The Humber,4603.0,3386960.0,143.05
9,2019-01-07,East,7780.0,5521830.0,143.945
10,2019-01-07,East Midlands,5925.0,4122674.0,147.46500000000003
11,2019-01-07,London,1676.0,1607981.0,150.14000000000001
12,2019-01-07,North East,1707.0,1092018.0,162.21
13,2019-01-07,North West,3535.0,2049150.0,170.95999999999998
14,2019-01-07,South East,2006.0,1566986.0,124.16000000000001
15,2019-01-07,South West,4381.0,3227018.0,127.18499999999999
16,2019-01-07,West Midlands,1501.0,985259.0,167.27000000000004
17,2019-01-07,Yorkshire and The Humber,4905.0,3387362.0,151.70000000000002
18,2019-01-14,East,7458.0,5523507.0,137.96
19,2019-01-14,East Midlands,5793.0,4123646.0,144.11
20,2019-01-14,London,1613.0,1609702.0,142.36
21,2019-01-14,North East,1692.0,1092188.0,160.495
22,2019-01-14,North West,3494.0,2049671.0,169.535
23,2019-01-14,South East,1904.0,1567078.0,117.885
24,2019-01-14,South West,4228.0,3228136.0,122.94999999999999
25,2019-01-14,West Midlands,1545.0,985662.0,171.37
26,2019-01-14,Yorkshire and The Humber,4833.0,3388017.0,149.185
27,2019-01-21,East,7647.0,5525023.0,141.54999999999998
28,2019-01-21,East Midlands,5961.0,4124746.0,147.97500000000002
29,2019-01-21,London,1713.0,1611376.0,150.715
30,2019-01-21,North East,1625.0,1092326.0,154.23000000000002
31,2019-01-21,North West,3579.0,2049990.0,173.39999999999998
32,2019-01-21,South East,1938.0,1567232.0,120.46000000000002
33,2019-01-21,South West,4375.0,3229248.0,127.16000000000001
34,2019-01-21,West Midlands,1507.0,985853.0,167.43
35,2019-01-21,Yorkshire and The Humber,4926.0,3388565.0,151.57500000000002
36,2019-01-28,East,7616.0,5526679.0,140.675
37,2019-01-28,East Midlands,5831.0,4125829.0,145.055
38,2019-01-28,London,1633.0,1612600.0,145.245
39,2019-01-28,North East,1583.0,1092380.0,150.31500000000003
40,2019-01-28,North West,3491.0,2050317.0,168.94500000000002
41,2019-01-28,South East,1940.0,1567617.0,120.215
42,2019-01-28,South West,4222.0,3231539.0,122.635
43,2019-01-28,West Midlands,1523.0,986051.0,170.525
44,2019-01-28,Yorkshire and The Humber,4920.0,3389227.0,151.69500000000002
45,2019-02-04,East,7727.0,5528095.0,142.235
46,2019-02-04,East Midlands,6004.0,4127189.0,148.98000000000002
47,2019-02-04,London,1706.0,1614374.0,148.97499999999997
48,2019-02-04,North East,1581.0,1092515.0,149.645
49,2019-02-04,North West,3648.0,2050665.0,176.575
50,2019-02-04,South East,2094.0,1568099.0,129.69500000000002
51,2019-02-04,South West,4515.0,3232668.0,131.35
52,2019-02-04,West Midlands,1443.0,986478.0,160.34000000000003
53,2019-02-04,Yorkshire and The Humber,4935.0,3389744.0,151.63000000000002
54,2019-02-11,East,7555.0,5529145.0,139.43500000000003
55,2019-02-11,East Midlands,5823.0,4127947.0,144.60999999999999
56,2019-02-11,London,1679.0,1615631.0,147.39
57,2019-02-11,North East,1675.0,1092631.0,158.725
58,2019-02-11,North West,3344.0,2050955.0,161.41000000000003
59,2019-02-11,South East,1958.0,1568312.0,121.00499999999998
60,2019-02-11,South West,4318.0,3233557.0,125.76
61,2019-02-11,West Midlands,1373.0,986658.0,153.17499999999998
62,2019-02-11,Yorkshire and The Humber,4961.0,3390167.0,153.035
63,2019-02-18,East,7280.0,5530310.0,134.59
