date,respiratory_disease_elective,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2020-06-08,327.0,24008253.0,1.0,1.5200000000000005
2020-06-15,366.0,24009419.0,2.0,1.555
2020-06-22,416.0,24010297.0,2.0,1.9149999999999998
2020-06-29,442.0,24011147.0,2.0,1.915
2020-07-06,468.0,24014105.0,2.0,2.02
2020-07-13,474.0,24015400.0,2.0,1.96
2020-07-20,547.0,24019031.0,2.0,2.33
2020-07-27,613.0,24021237.0,3.0,2.5549999999999997
2020-08-03,604.0,24022742.0,3.0,2.5399999999999996
2020-08-10,614.0,24025552.0,3.0,2.5949999999999993
2020-08-17,676.0,24026962.0,3.0,2.6950000000000003
2020-08-24,646.0,24026794.0,3.0,2.715
2020-08-31,629.0,24026990.0,3.0,2.645
2020-09-07,744.0,24032832.0,3.0,3.2049999999999996
2020-09-14,751.0,24033068.0,3.0,3.255
2020-09-21,802.0,24038036.0,3.0,3.41
2020-09-28,870.0,24040465.0,4.0,3.5849999999999995
2020-10-05,870.0,24049153.0,4.0,3.68
2020-10-12,879.0,24053926.0,4.0,3.7400000000000007
2020-10-19,931.0,24060061.0,4.0,3.79
2020-10-26,868.0,24065286.0,4.0,3.53
2020-11-02,839.0,24069750.0,3.0,3.535
2020-11-09,836.0,24074213.0,3.0,3.4550000000000005
2020-11-16,869.0,24078398.0,4.0,3.595
2020-11-23,891.0,24081767.0,4.0,3.7800000000000007
2020-11-30,845.0,24084556.0,4.0,3.6350000000000002
2020-12-07,795.0,24088259.0,3.0,3.28
2020-12-14,817.0,24091733.0,3.0,3.3249999999999997
2020-12-21,483.0,24095649.0,2.0,2.0650000000000004
2020-12-28,335.0,24096851.0,1.0,1.3800000000000001
