,date,sex,population,disease,"European Standard population rate per 100,000"
0,2018-12-31,F,11819036.0,16409.0,137.8367991489685
2,2018-12-31,M,11799691.0,15919.0,148.14128347581658
4,2019-01-07,F,11821445.0,18705.0,157.14239224853188
6,2019-01-07,M,11802803.0,18644.0,172.97308170319366
8,2019-01-14,F,11824638.0,17879.0,150.05234203214695
10,2019-01-14,M,11807032.0,17806.0,165.02899658666541
12,2019-01-21,F,11827774.0,17830.0,149.85072682429984
14,2019-01-21,M,11810741.0,18247.0,168.58999796071643
16,2019-01-28,F,11831215.0,17812.0,149.73249981867383
18,2019-01-28,M,11815260.0,18049.0,166.9440741300388
20,2019-02-04,F,11834662.0,18016.0,151.15376124761164
22,2019-02-04,M,11819523.0,18569.0,170.97377419853262
24,2019-02-11,F,11836759.0,17851.0,149.90329292425372
26,2019-02-11,M,11822714.0,18050.0,166.68366643884264
28,2019-02-18,F,11839356.0,16924.0,142.21163459543217
30,2019-02-18,M,11825999.0,17229.0,159.10308224200173
32,2019-02-25,F,11842472.0,16970.0,142.8402398550432
34,2019-02-25,M,11828961.0,17189.0,159.36764532206453
36,2019-03-04,F,11844184.0,16992.0,142.37538047923283
38,2019-03-04,M,11831854.0,17645.0,162.96471981641525
40,2019-03-11,F,11847766.0,17220.0,144.43202673105776
42,2019-03-11,M,11835242.0,17408.0,160.6174856403258
44,2019-03-18,F,11849987.0,16446.0,138.2780652584338
46,2019-03-18,M,11837533.0,17032.0,157.07316524935712
48,2019-03-25,F,11854516.0,16238.0,136.48893163636552
50,2019-03-25,M,11842081.0,16683.0,153.86234802726844
52,2019-04-01,F,11853073.0,17222.0,144.33157797575566
54,2019-04-01,M,11841468.0,17491.0,161.40499603563708
56,2019-04-08,F,11858946.0,16752.0,140.21735865374097
58,2019-04-08,M,11847883.0,17216.0,158.8485019739885
60,2019-04-15,F,11860597.0,14938.0,124.85824713781699
62,2019-04-15,M,11849954.0,15343.0,142.2787700903942
64,2019-04-22,F,11861518.0,15659.0,131.22101125463234
66,2019-04-22,M,11851311.0,15657.0,144.98614022229705
68,2019-04-29,F,11863918.0,16413.0,137.928070007594
70,2019-04-29,M,11853944.0,16966.0,157.00418764615935
72,2019-05-06,F,11865473.0,15022.0,125.63387907746635
74,2019-05-06,M,11856364.0,15341.0,141.4791533237265
76,2019-05-13,F,11868787.0,16424.0,137.3797827466532
78,2019-05-13,M,11859515.0,16856.0,155.52544825983745
80,2019-05-20,F,11872022.0,16353.0,137.0128942630648
82,2019-05-20,M,11863001.0,16800.0,154.76217490375134
84,2019-05-27,F,11874100.0,14162.0,118.52435782768443
86,2019-05-27,M,11865441.0,14432.0,133.79908618726105
88,2019-06-03,F,11877294.0,16202.0,135.41454525328714
90,2019-06-03,M,11868637.0,16365.0,150.61308109273762
92,2019-06-10,F,11881178.0,16014.0,133.89627772049954
94,2019-06-10,M,11872900.0,16556.0,152.41829544240977
96,2019-06-17,F,11884531.0,15708.0,131.2650108520694
98,2019-06-17,M,11876792.0,16269.0,149.3818746256383
100,2019-06-24,F,11888810.0,16054.0,134.1890325828005
102,2019-06-24,M,11880932.0,16524.0,151.8379734796478
104,2019-07-01,F,11889068.0,15643.0,130.6675902371049
106,2019-07-01,M,11881712.0,16082.0,147.31657321158175
108,2019-07-08,F,11895881.0,15376.0,128.40079202927515
110,2019-07-08,M,11888771.0,16138.0,147.9259321207204
112,2019-07-15,F,11897910.0,15654.0,130.74981069660947
114,2019-07-15,M,11891314.0,15943.0,146.27555105124523
116,2019-07-22,F,11901465.0,15435.0,128.87687685845341
118,2019-07-22,M,11894511.0,15988.0,146.84215959866734
120,2019-07-29,F,11904562.0,15473.0,129.26719892479832
122,2019-07-29,M,11897394.0,15840.0,145.4846061224142
124,2019-08-05,F,11907174.0,15481.0,129.30264587178593
126,2019-08-05,M,11900131.0,15554.0,142.51657210473508
128,2019-08-12,F,11910037.0,15253.0,127.24501388523323
130,2019-08-12,M,11903644.0,15655.0,143.58822365348945
132,2019-08-19,F,11913515.0,15278.0,127.42662770055365
134,2019-08-19,M,11907125.0,15665.0,143.4862563765813
136,2019-08-26,F,11915306.0,13939.0,116.39118446716984
138,2019-08-26,M,11909002.0,14246.0,130.62839131874577
140,2019-09-02,F,11919431.0,15501.0,129.21295451338113
142,2019-09-02,M,11912999.0,15767.0,144.11788189995306
144,2019-09-09,F,11924016.0,15814.0,131.8502143994527
146,2019-09-09,M,11916696.0,16341.0,148.96103918003837
148,2019-09-16,F,11928831.0,16281.0,135.55634037895575
150,2019-09-16,M,11921147.0,16628.0,151.59578379467678
152,2019-09-23,F,11934054.0,16654.0,138.6272807574915
154,2019-09-23,M,11925984.0,17048.0,155.42796839934138
156,2019-09-30,F,11934141.0,17042.0,141.9597235561568
158,2019-09-30,M,11929515.0,16987.0,154.87316458419104
160,2019-10-07,F,11940023.0,16986.0,141.08870800192673
162,2019-10-07,M,11935185.0,17250.0,156.72191923878432
164,2019-10-14,F,11944506.0,17379.0,144.03042356570757
166,2019-10-14,M,11939571.0,17686.0,161.16791682633266
168,2019-10-21,F,11949195.0,16804.0,139.52511886053279
170,2019-10-21,M,11944011.0,17197.0,156.52102313686242
172,2019-10-28,F,11954453.0,17022.0,141.42346302306393
174,2019-10-28,M,11948463.0,17183.0,156.44892835769946
176,2019-11-04,F,11958779.0,17841.0,147.942425577012
178,2019-11-04,M,11952835.0,17993.0,163.42098420083627
180,2019-11-11,F,11963496.0,17725.0,146.78294178251173
182,2019-11-11,M,11957140.0,17844.0,161.84419747467604
184,2019-11-18,F,11967283.0,18248.0,151.07481150377936
186,2019-11-18,M,11960658.0,18371.0,166.29744197747175
188,2019-11-25,F,11970441.0,18341.0,151.95005976062177
190,2019-11-25,M,11962911.0,18583.0,167.95827051614756
192,2019-12-02,F,11974360.0,18797.0,155.6157600819893
194,2019-12-02,M,11966548.0,18995.0,171.460006679404
196,2019-12-09,F,11977086.0,19044.0,157.49992879923371
198,2019-12-09,M,11969222.0,19353.0,174.56904739796738
200,2019-12-16,F,11979444.0,19392.0,159.9176824443904
202,2019-12-16,M,11971110.0,19356.0,175.2571740302424
204,2019-12-23,F,11980544.0,13851.0,113.48910100477629
206,2019-12-23,M,11972988.0,13472.0,122.504199430617
208,2019-12-30,F,11981621.0,16945.0,139.43899501753907
210,2019-12-30,M,11973857.0,16246.0,148.16152018497067
212,2020-01-06,F,11982379.0,19080.0,157.56225166592446
214,2020-01-06,M,11975068.0,19103.0,173.44553471292417
216,2020-01-13,F,11985629.0,17549.0,145.01890226760523
218,2020-01-13,M,11977918.0,17889.0,162.43457226397993
220,2020-01-20,F,11988398.0,17437.0,144.3390888831737
222,2020-01-20,M,11981519.0,17592.0,159.59024923503497
224,2020-01-27,F,11992123.0,17810.0,147.38992994914028
226,2020-01-27,M,11985415.0,18111.0,164.49814118243216
228,2020-02-03,F,11995422.0,17340.0,143.31507557744334
230,2020-02-03,M,11989235.0,17912.0,162.02762193797696
232,2020-02-10,F,11997767.0,17461.0,144.3294021080241
234,2020-02-10,M,11992222.0,17859.0,162.11930106489217
236,2020-02-17,F,12000125.0,16446.0,136.1530750418475
238,2020-02-17,M,11995125.0,17201.0,155.6797065447043
240,2020-02-24,F,12002081.0,17019.0,140.6460351606085
242,2020-02-24,M,11997698.0,17646.0,160.16100689623784
244,2020-03-02,F,12004849.0,17125.0,141.32029149346218
246,2020-03-02,M,12001035.0,17593.0,158.81475625588394
248,2020-03-09,F,12008169.0,16381.0,135.63163705974682
250,2020-03-09,M,12005011.0,16673.0,150.78280249566768
252,2020-03-16,F,12009835.0,13119.0,108.8272976592004
254,2020-03-16,M,12006906.0,13637.0,123.3211593781126
256,2020-03-23,F,12011201.0,9819.0,81.7316444489203
258,2020-03-23,M,12008490.0,9692.0,87.7622082704693
260,2020-03-30,F,12011721.0,8746.0,72.82926677099447
262,2020-03-30,M,12009159.0,8414.0,76.24275804365476
264,2020-04-06,F,12012494.0,7634.0,63.43852839810522
266,2020-04-06,M,12009766.0,7372.0,66.75594987694357
268,2020-04-13,F,12010667.0,7650.0,63.49030298349515
270,2020-04-13,M,12007686.0,7385.0,66.94684678187936
272,2020-04-20,F,12008479.0,8542.0,70.9861440316809
274,2020-04-20,M,12004921.0,8267.0,75.28733862192342
276,2020-04-27,F,12006853.0,8848.0,73.38171777226962
278,2020-04-27,M,12003358.0,8764.0,79.77186243136791
280,2020-05-04,F,12005751.0,8598.0,71.18791743130551
282,2020-05-04,M,12002421.0,8645.0,78.85606099314113
284,2020-05-11,F,12005007.0,9572.0,79.1731772940787
286,2020-05-11,M,12001425.0,9514.0,86.75389382966712
288,2020-05-18,F,12005167.0,9538.0,78.9040930692719
290,2020-05-18,M,12001612.0,9998.0,91.22790434146874
292,2020-05-25,F,12004715.0,8984.0,74.47512251097868
294,2020-05-25,M,12001047.0,9019.0,82.47337897242966
296,2020-06-01,F,12005415.0,10468.0,86.45849672519556
298,2020-06-01,M,12001718.0,10348.0,94.24646687256664
300,2020-06-08,F,12005691.0,10412.0,86.08386342187065
302,2020-06-08,M,12002090.0,10815.0,98.31495317063784
304,2020-06-15,F,12006111.0,10747.0,88.80865015907276
306,2020-06-15,M,12002835.0,11005.0,100.12097828835373
308,2020-06-22,F,12006542.0,11496.0,95.17606414464248
310,2020-06-22,M,12003281.0,11420.0,104.21587158073424
312,2020-06-29,F,12006940.0,11247.0,93.19910393001467
314,2020-06-29,M,12003733.0,11537.0,104.91101420873673
316,2020-07-06,F,12008536.0,11062.0,91.37358015675521
318,2020-07-06,M,12005096.0,11460.0,104.31070265069008
320,2020-07-13,F,12009213.0,11794.0,97.47965838089674
322,2020-07-13,M,12005714.0,11900.0,108.07547554304482
324,2020-07-20,F,12010873.0,11534.0,95.19347311922647
326,2020-07-20,M,12007684.0,11956.0,108.75986813120859
328,2020-07-27,F,12011713.0,11531.0,95.09722034638874
330,2020-07-27,M,12009050.0,12079.0,109.91033705473325
332,2020-08-03,F,12011842.0,11900.0,98.16589055605579
334,2020-08-03,M,12010424.0,11857.0,107.31922507171925
336,2020-08-10,F,12013326.0,11886.0,98.03198443142726
338,2020-08-10,M,12011752.0,12213.0,110.61761469827829
340,2020-08-17,F,12013855.0,12155.0,100.33177623859804
342,2020-08-17,M,12012634.0,12354.0,111.96259761939051
344,2020-08-24,F,12013645.0,12253.0,101.17575247938204
346,2020-08-24,M,12012674.0,12510.0,113.40265699003379
