date,cvd_elective,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,1503.0,23619197.0,6.0,6.75
2019-01-07,2709.0,23624719.0,11.0,11.975000000000001
2019-01-14,2467.0,23632143.0,10.0,10.870000000000001
2019-01-21,2640.0,23638988.0,11.0,11.680000000000001
2019-01-28,2635.0,23646947.0,11.0,11.694999999999999
2019-02-04,2672.0,23654659.0,11.0,11.770000000000003
2019-02-11,2626.0,23659946.0,11.0,11.700000000000001
2019-02-18,2321.0,23665827.0,10.0,10.21
2019-02-25,2600.0,23671905.0,11.0,11.435
2019-03-04,2647.0,23676511.0,11.0,11.64
2019-03-11,2567.0,23683479.0,11.0,11.190000000000001
2019-03-18,2519.0,23687990.0,11.0,11.11
2019-03-25,2560.0,23697067.0,11.0,11.260000000000002
2019-04-01,2655.0,23695010.0,11.0,11.674999999999999
2019-04-08,2407.0,23707297.0,10.0,10.455000000000002
2019-04-15,1872.0,23711021.0,8.0,8.225
2019-04-22,2078.0,23713298.0,9.0,9.135
2019-04-29,2597.0,23718332.0,11.0,11.39
2019-05-06,2209.0,23722306.0,9.0,9.750000000000002
2019-05-13,2691.0,23728769.0,11.0,11.819999999999999
2019-05-20,2593.0,23735492.0,11.0,11.325
2019-05-27,1930.0,23740009.0,8.0,8.445
2019-06-03,2604.0,23746398.0,11.0,11.385
2019-06-10,2660.0,23754543.0,11.0,11.575
2019-06-17,2591.0,23761788.0,11.0,11.225000000000001
2019-06-24,2695.0,23770206.0,11.0,11.78
2019-07-01,2621.0,23771244.0,11.0,11.549999999999999
2019-07-08,2538.0,23785117.0,11.0,11.160000000000002
2019-07-15,2547.0,23789691.0,11.0,11.120000000000001
2019-07-22,2417.0,23796445.0,10.0,10.540000000000001
2019-07-29,2447.0,23802426.0,10.0,10.770000000000001
2019-08-05,2328.0,23807775.0,10.0,10.09
2019-08-12,2340.0,23814150.0,10.0,10.26
2019-08-19,2273.0,23821112.0,10.0,9.970000000000002
2019-08-26,1954.0,23824779.0,8.0,8.505
2019-09-02,2450.0,23832901.0,10.0,10.69
2019-09-09,2495.0,23841184.0,10.0,10.705
2019-09-16,2495.0,23850455.0,10.0,10.695
2019-09-23,2508.0,23860519.0,11.0,10.930000000000001
2019-09-30,2494.0,23864138.0,10.0,10.865000000000004
2019-10-07,2570.0,23875684.0,11.0,11.204999999999998
2019-10-14,2520.0,23884554.0,11.0,10.96
