date,cvd_elective,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2019-10-21,2480.0,23893680.0,10.0,10.82
2019-10-28,2370.0,23903389.0,10.0,10.39
2019-11-04,2562.0,23912086.0,11.0,11.09
2019-11-11,2550.0,23921107.0,11.0,10.984999999999998
2019-11-18,2632.0,23928414.0,11.0,11.490000000000002
2019-11-25,2565.0,23933825.0,11.0,11.17
2019-12-02,2700.0,23941383.0,11.0,11.565
2019-12-09,2739.0,23946784.0,11.0,11.79
2019-12-16,2524.0,23951030.0,11.0,10.925
2019-12-23,764.0,23954008.0,3.0,3.125
2019-12-30,1358.0,23955954.0,6.0,5.864999999999999
2020-01-06,2756.0,23957924.0,12.0,12.010000000000002
2020-01-13,2641.0,23964025.0,11.0,11.360000000000001
2020-01-20,2607.0,23970394.0,11.0,11.255
2020-01-27,2690.0,23978016.0,11.0,11.655000000000001
2020-02-03,2622.0,23985133.0,11.0,11.285
2020-02-10,2641.0,23990464.0,11.0,11.365
2020-02-17,2339.0,23995726.0,10.0,10.065
2020-02-24,2691.0,24000255.0,11.0,11.529999999999998
2020-03-02,2661.0,24006358.0,11.0,11.540000000000001
2020-03-09,2547.0,24013653.0,11.0,11.030000000000001
2020-03-16,1798.0,24017215.0,7.0,7.74
2020-03-23,1072.0,24020164.0,4.0,4.6
2020-03-30,684.0,24021353.0,3.0,2.9000000000000004
2020-04-06,494.0,24022733.0,2.0,2.1250000000000004
2020-04-13,479.0,24018826.0,2.0,2.025
2020-04-20,612.0,24013876.0,3.0,2.59
2020-04-27,680.0,24010686.0,3.0,2.8449999999999998
2020-05-04,690.0,24008646.0,3.0,2.875
2020-05-11,888.0,24006906.0,4.0,3.7399999999999998
2020-05-18,916.0,24007251.0,4.0,3.93
2020-05-25,824.0,24006234.0,3.0,3.5400000000000005
2020-06-01,1091.0,24007604.0,5.0,4.6049999999999995
2020-06-08,1265.0,24008253.0,5.0,5.455000000000001
2020-06-15,1299.0,24009419.0,5.0,5.465
2020-06-22,1423.0,24010297.0,6.0,5.97
2020-06-29,1482.0,24011147.0,6.0,6.345000000000001
2020-07-06,1576.0,24014105.0,7.0,6.705
2020-07-13,1629.0,24015400.0,7.0,6.945
2020-07-20,1711.0,24019031.0,7.0,7.43
2020-07-27,1592.0,24021237.0,7.0,6.930000000000001
2020-08-03,1588.0,24022742.0,7.0,6.91
2020-08-10,1723.0,24025552.0,7.0,7.3999999999999995
2020-08-17,1708.0,24026962.0,7.0,7.425000000000002
2020-08-24,1657.0,24026794.0,7.0,6.925000000000001
2020-08-31,1466.0,24026990.0,6.0,6.264999999999999
2020-09-07,1830.0,24032832.0,8.0,7.775000000000001
2020-09-14,1953.0,24033068.0,8.0,8.34
2020-09-21,1902.0,24038036.0,8.0,8.000000000000002
2020-09-28,2078.0,24040465.0,9.0,9.020000000000001
2020-10-05,2103.0,24049153.0,9.0,9.004999999999999
2020-10-12,2055.0,24053926.0,9.0,8.700000000000001
2020-10-19,1985.0,24060061.0,8.0,8.415000000000001
2020-10-26,1856.0,24065286.0,8.0,7.9350000000000005
2020-11-02,2047.0,24069750.0,9.0,8.725000000000001
2020-11-09,1836.0,24074213.0,8.0,7.76
2020-11-16,1903.0,24078398.0,8.0,8.120000000000001
2020-11-23,1881.0,24081767.0,8.0,8.095
2020-11-30,1962.0,24084556.0,8.0,8.385
2020-12-07,1937.0,24088259.0,8.0,8.305
2020-12-14,1947.0,24091733.0,8.0,8.395
2020-12-21,904.0,24095649.0,4.0,3.9050000000000007
2020-12-28,530.0,24096851.0,2.0,2.2150000000000003
