,date,region,cancer,population,"European Standard population rate per 100,000"
92,2019-03-11,London,1263.0,1620541.0,116.06499999999998
93,2019-03-11,North East,1110.0,1092886.0,106.48500000000001
94,2019-03-11,North West,2282.0,2052407.0,109.125
95,2019-03-11,South East,1557.0,1568811.0,96.755
96,2019-03-11,South West,3856.0,3245051.0,109.4
97,2019-03-11,West Midlands,800.0,987358.0,94.90499999999999
98,2019-03-11,Yorkshire and The Humber,3423.0,3391437.0,108.38000000000002
99,2019-03-18,East,5623.0,5535469.0,105.89999999999998
100,2019-03-18,East Midlands,4259.0,4132228.0,106.88500000000002
101,2019-03-18,London,1228.0,1621686.0,112.24500000000002
102,2019-03-18,North East,1078.0,1092888.0,103.595
103,2019-03-18,North West,2159.0,2052527.0,103.38000000000001
104,2019-03-18,South East,1466.0,1569063.0,91.27000000000001
105,2019-03-18,South West,3676.0,3245719.0,104.355
106,2019-03-18,West Midlands,761.0,987397.0,90.64
107,2019-03-18,Yorkshire and The Humber,3205.0,3391896.0,101.36500000000001
108,2019-03-25,East,5547.0,5536628.0,104.585
109,2019-03-25,East Midlands,4093.0,4133078.0,102.605
110,2019-03-25,London,1165.0,1622814.0,106.89
111,2019-03-25,North East,1100.0,1092999.0,105.16
112,2019-03-25,North West,2129.0,2052634.0,101.78500000000001
113,2019-03-25,South East,1487.0,1569331.0,92.46499999999999
114,2019-03-25,South West,3637.0,3244178.0,103.165
115,2019-03-25,West Midlands,743.0,987343.0,88.34
116,2019-03-25,Yorkshire and The Humber,3226.0,3392347.0,101.915
117,2019-04-01,East,5720.0,5536407.0,107.395
118,2019-04-01,East Midlands,4316.0,4132693.0,107.935
119,2019-04-01,London,1188.0,1622798.0,109.96500000000002
120,2019-04-01,North East,1110.0,1092902.0,106.47500000000001
121,2019-04-01,North West,2345.0,2052430.0,112.06
122,2019-04-01,South East,1510.0,1569008.0,93.585
123,2019-04-01,South West,3892.0,3244124.0,110.17999999999999
124,2019-04-01,West Midlands,777.0,987137.0,92.30000000000001
125,2019-04-01,Yorkshire and The Humber,3507.0,3391910.0,110.86
126,2019-04-08,East,5701.0,5539159.0,106.98500000000001
127,2019-04-08,East Midlands,4314.0,4134775.0,107.82
128,2019-04-08,London,1247.0,1624635.0,114.555
129,2019-04-08,North East,1093.0,1093408.0,104.64
130,2019-04-08,North West,2241.0,2053094.0,107.0
131,2019-04-08,South East,1584.0,1569667.0,98.435
132,2019-04-08,South West,3806.0,3245943.0,107.51500000000001
133,2019-04-08,West Midlands,793.0,987510.0,93.99999999999999
134,2019-04-08,Yorkshire and The Humber,3317.0,3393409.0,104.715
135,2019-04-15,East,5036.0,5539815.0,94.785
136,2019-04-15,East Midlands,3839.0,4135278.0,96.315
137,2019-04-15,London,1060.0,1625795.0,96.715
138,2019-04-15,North East,1022.0,1093422.0,98.035
139,2019-04-15,North West,2027.0,2053153.0,96.79999999999998
140,2019-04-15,South East,1364.0,1569817.0,84.41500000000002
141,2019-04-15,South West,3391.0,3246572.0,95.80499999999999
142,2019-04-15,West Midlands,656.0,987506.0,78.27
143,2019-04-15,Yorkshire and The Humber,2968.0,3393818.0,93.47500000000001
144,2019-04-22,East,5279.0,5540428.0,99.31499999999998
145,2019-04-22,East Midlands,3926.0,4135629.0,98.3
146,2019-04-22,London,1121.0,1626250.0,102.815
147,2019-04-22,North East,1036.0,1093397.0,99.485
148,2019-04-22,North West,2041.0,2053356.0,97.63000000000001
149,2019-04-22,South East,1356.0,1569808.0,84.33500000000001
150,2019-04-22,South West,3494.0,3246942.0,99.00500000000001
151,2019-04-22,West Midlands,726.0,987483.0,86.795
152,2019-04-22,Yorkshire and The Humber,3153.0,3394081.0,99.48499999999999
153,2019-04-29,East,5820.0,5541570.0,109.41499999999999
154,2019-04-29,East Midlands,4345.0,4136401.0,108.99
155,2019-04-29,London,1250.0,1627594.0,114.76500000000001
156,2019-04-29,North East,1158.0,1093460.0,111.115
157,2019-04-29,North West,2324.0,2053448.0,111.26499999999999
158,2019-04-29,South East,1527.0,1569949.0,94.75999999999999
159,2019-04-29,South West,3890.0,3247893.0,110.18499999999999
160,2019-04-29,West Midlands,802.0,987441.0,95.04
161,2019-04-29,Yorkshire and The Humber,3395.0,3394538.0,107.19000000000001
162,2019-05-06,East,5148.0,5542414.0,96.69999999999999
163,2019-05-06,East Midlands,3971.0,4136951.0,99.28
164,2019-05-06,London,1107.0,1628656.0,100.595
165,2019-05-06,North East,1052.0,1093487.0,100.585
166,2019-05-06,North West,2076.0,2053637.0,99.03000000000002
167,2019-05-06,South East,1422.0,1570074.0,87.56499999999998
168,2019-05-06,South West,3479.0,3248685.0,98.18999999999998
169,2019-05-06,West Midlands,687.0,987436.0,81.02499999999999
170,2019-05-06,Yorkshire and The Humber,2984.0,3394825.0,93.75
171,2019-05-13,East,5664.0,5544039.0,106.16499999999999
172,2019-05-13,East Midlands,4286.0,4137689.0,107.09499999999998
173,2019-05-13,London,1201.0,1629953.0,109.96500000000002
174,2019-05-13,North East,1148.0,1093579.0,110.02499999999999
175,2019-05-13,North West,2293.0,2053845.0,109.82
176,2019-05-13,South East,1533.0,1570623.0,94.95
177,2019-05-13,South West,3934.0,3249716.0,111.07999999999998
178,2019-05-13,West Midlands,782.0,987585.0,92.78
179,2019-05-13,Yorkshire and The Humber,3356.0,3395467.0,105.44
180,2019-05-20,East,5845.0,5545561.0,109.84000000000002
181,2019-05-20,East Midlands,4457.0,4138706.0,111.59
182,2019-05-20,London,1258.0,1631340.0,114.495
183,2019-05-20,North East,1138.0,1093681.0,109.025
184,2019-05-20,North West,2175.0,2054041.0,103.43
185,2019-05-20,South East,1558.0,1570857.0,96.24
186,2019-05-20,South West,3807.0,3251302.0,107.24500000000002
187,2019-05-20,West Midlands,797.0,987676.0,94.45500000000001
188,2019-05-20,Yorkshire and The Humber,3275.0,3395960.0,103.24
189,2019-05-27,East,5137.0,5546580.0,96.38
190,2019-05-27,East Midlands,3774.0,4139297.0,94.45
191,2019-05-27,London,1058.0,1632552.0,97.83000000000001
192,2019-05-27,North East,994.0,1093663.0,95.09500000000001
193,2019-05-27,North West,2021.0,2054189.0,96.51999999999998
194,2019-05-27,South East,1252.0,1570993.0,77.40499999999999
195,2019-05-27,South West,3356.0,3258538.0,94.29499999999999
196,2019-05-27,West Midlands,701.0,987691.0,83.495
197,2019-05-27,Yorkshire and The Humber,2887.0,3396307.0,91.22500000000001
198,2019-06-03,East,5779.0,5547947.0,108.31500000000001
199,2019-06-03,East Midlands,4269.0,4139777.0,106.22000000000001
200,2019-06-03,London,1205.0,1634042.0,109.53999999999998
201,2019-06-03,North East,1116.0,1093803.0,106.325
202,2019-06-03,North West,2254.0,2054253.0,107.09000000000002
203,2019-06-03,South East,1530.0,1571302.0,94.64000000000001
204,2019-06-03,South West,3917.0,3260436.0,109.94
205,2019-06-03,West Midlands,755.0,987769.0,89.42
206,2019-06-03,Yorkshire and The Humber,3299.0,3396771.0,103.93999999999998
207,2019-06-10,East,5777.0,5549650.0,108.125
208,2019-06-10,East Midlands,4345.0,4140994.0,108.37
209,2019-06-10,London,1243.0,1635407.0,113.53500000000001
210,2019-06-10,North East,1085.0,1093899.0,103.83999999999999
211,2019-06-10,North West,2239.0,2054701.0,106.94500000000001
212,2019-06-10,South East,1474.0,1571734.0,90.96000000000001
213,2019-06-10,South West,3840.0,3262202.0,107.74000000000001
214,2019-06-10,West Midlands,747.0,987821.0,88.965
215,2019-06-10,Yorkshire and The Humber,3325.0,3397509.0,104.425
216,2019-06-17,East,5538.0,5551720.0,103.745
217,2019-06-17,East Midlands,4200.0,4142320.0,104.59
218,2019-06-17,London,1237.0,1636723.0,111.945
219,2019-06-17,North East,1077.0,1093917.0,103.26
220,2019-06-17,North West,2129.0,2054942.0,101.37
221,2019-06-17,South East,1421.0,1571909.0,88.025
222,2019-06-17,South West,3712.0,3262821.0,104.35499999999999
223,2019-06-17,West Midlands,768.0,987986.0,91.02000000000001
224,2019-06-17,Yorkshire and The Humber,3228.0,3398291.0,101.52500000000002
225,2019-06-24,East,5767.0,5553791.0,108.05
226,2019-06-24,East Midlands,4296.0,4143381.0,107.28500000000001
227,2019-06-24,London,1251.0,1638289.0,113.945
228,2019-06-24,North East,1187.0,1094067.0,113.655
229,2019-06-24,North West,2272.0,2055285.0,108.255
230,2019-06-24,South East,1504.0,1573106.0,92.86
231,2019-06-24,South West,3759.0,3263541.0,105.66
232,2019-06-24,West Midlands,808.0,988132.0,95.70500000000001
233,2019-06-24,Yorkshire and The Humber,3268.0,3398811.0,102.97
234,2019-07-01,East,5654.0,5554901.0,105.57000000000001
235,2019-07-01,East Midlands,4324.0,4143389.0,107.29
236,2019-07-01,London,1232.0,1638934.0,113.24000000000001
237,2019-07-01,North East,1105.0,1093906.0,105.42
238,2019-07-01,North West,2235.0,2055065.0,105.98
239,2019-07-01,South East,1431.0,1572953.0,88.18
240,2019-07-01,South West,3876.0,3263488.0,108.34999999999998
241,2019-07-01,West Midlands,814.0,987968.0,95.59999999999998
242,2019-07-01,Yorkshire and The Humber,3124.0,3398686.0,97.85000000000001
243,2019-07-08,East,5825.0,5558840.0,108.92000000000002
244,2019-07-08,East Midlands,4216.0,4145574.0,104.69999999999999
245,2019-07-08,London,1245.0,1641011.0,113.33
246,2019-07-08,North East,1115.0,1094397.0,106.49499999999999
247,2019-07-08,North West,2169.0,2055908.0,103.01500000000001
248,2019-07-08,South East,1474.0,1573644.0,90.84500000000001
249,2019-07-08,South West,3798.0,3265208.0,106.25500000000001
250,2019-07-08,West Midlands,760.0,988334.0,90.355
251,2019-07-08,Yorkshire and The Humber,3084.0,3400019.0,96.625
252,2019-07-15,East,5721.0,5560538.0,106.83500000000001
253,2019-07-15,East Midlands,4355.0,4145962.0,108.32000000000001
