date,respiratory_disease,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,29932.0,23500904.0,127.0,130.665
2019-01-07,33418.0,23506281.0,142.0,145.755
2019-01-14,32565.0,23513552.0,138.0,141.67999999999998
2019-01-21,33276.0,23520185.0,141.0,144.785
2019-01-28,32768.0,23527954.0,139.0,142.60000000000002
2019-02-04,33637.0,23535448.0,143.0,146.075
2019-02-11,32684.0,23540559.0,139.0,142.045
2019-02-18,31338.0,23546290.0,133.0,136.325
2019-02-25,31574.0,23552135.0,134.0,137.51000000000002
2019-03-04,31780.0,23556551.0,135.0,138.04500000000002
2019-03-11,31678.0,23563334.0,134.0,137.67000000000002
2019-03-18,30803.0,23567570.0,131.0,133.735
2019-03-25,30647.0,23576345.0,130.0,132.965
2019-04-01,32273.0,23574060.0,137.0,139.97500000000002
2019-04-08,31154.0,23586156.0,132.0,135.10999999999999
2019-04-15,28674.0,23589644.0,122.0,124.47
2019-04-22,28786.0,23591782.0,122.0,125.225
2019-04-29,30336.0,23596628.0,129.0,131.91000000000003
2019-05-06,27894.0,23600409.0,118.0,120.89500000000002
2019-05-13,30584.0,23606655.0,130.0,132.525
2019-05-20,30805.0,23613174.0,130.0,133.43500000000003
2019-05-27,26890.0,23617512.0,114.0,116.68
2019-06-03,29761.0,23623701.0,126.0,128.88
2019-06-10,29710.0,23631639.0,126.0,128.705
2019-06-17,29678.0,23638647.0,126.0,128.445
2019-06-24,29888.0,23646820.0,126.0,129.475
2019-07-01,29309.0,23647662.0,124.0,126.61999999999998
2019-07-08,29239.0,23661312.0,124.0,126.19000000000001
2019-07-15,28934.0,23665684.0,122.0,125.01000000000002
2019-07-22,29271.0,23672181.0,124.0,126.635
2019-07-29,28909.0,23678006.0,122.0,124.96000000000001
2019-08-05,28235.0,23683143.0,119.0,121.81500000000001
2019-08-12,27972.0,23689322.0,118.0,120.8
2019-08-19,28148.0,23696077.0,119.0,121.36500000000001
2019-08-26,26050.0,23699550.0,110.0,112.255
2019-09-02,27994.0,23707467.0,118.0,120.53
2019-09-09,29481.0,23715531.0,124.0,126.80499999999999
2019-09-16,30427.0,23724572.0,128.0,130.675
2019-09-23,30831.0,23734333.0,130.0,132.545
2019-09-30,30898.0,23737582.0,130.0,132.95
2019-10-07,31363.0,23748774.0,132.0,134.475
2019-10-14,32097.0,23757384.0,135.0,137.82
2019-10-21,31175.0,23766258.0,131.0,133.895
2019-10-28,31744.0,23775722.0,134.0,136.195
2019-11-04,32779.0,23784214.0,138.0,140.39000000000001
2019-11-11,32764.0,23793018.0,138.0,140.25
2019-11-18,33902.0,23800110.0,142.0,144.89000000000001
2019-11-25,34402.0,23805305.0,145.0,147.14000000000001
2019-12-02,34327.0,23812637.0,144.0,146.42499999999998
2019-12-09,35375.0,23817825.0,149.0,151.125
2019-12-16,35679.0,23821826.0,150.0,152.45
2019-12-23,27273.0,23824608.0,114.0,116.63500000000002
2019-12-30,31173.0,23826453.0,131.0,133.6
2020-01-06,34030.0,23828197.0,143.0,145.74
2020-01-13,32417.0,23834005.0,136.0,138.89
2020-01-20,32369.0,23840060.0,136.0,138.60999999999999
2020-01-27,33239.0,23847216.0,139.0,142.44
2020-02-03,32423.0,23853904.0,136.0,138.57500000000002
2020-02-10,32369.0,23858639.0,136.0,138.20000000000002
2020-02-17,31312.0,23863319.0,131.0,133.85500000000002
2020-02-24,32217.0,23867360.0,135.0,137.90000000000003
2020-03-02,31298.0,23872833.0,131.0,133.48
2020-03-09,29049.0,23879603.0,122.0,123.985
2020-03-16,21974.0,23882786.0,92.0,93.94499999999998
2020-03-23,16920.0,23885410.0,71.0,72.48499999999999
2020-03-30,17568.0,23886359.0,74.0,75.36500000000001
2020-04-06,16130.0,23885285.0,68.0,68.965
2020-04-13,15079.0,23881267.0,63.0,64.425
2020-04-20,16096.0,23876181.0,67.0,69.06500000000001
2020-04-27,16979.0,23872840.0,71.0,72.87
2020-05-04,16634.0,23870584.0,70.0,71.25
2020-05-11,17342.0,23868667.0,73.0,74.35
2020-05-18,18069.0,23868787.0,76.0,77.53
2020-05-25,17072.0,23867605.0,72.0,73.345
2020-06-01,18813.0,23868778.0,79.0,80.70500000000001
2020-06-08,19099.0,23869243.0,80.0,81.855
2020-06-15,19716.0,23870211.0,83.0,84.46500000000002
2020-06-22,21032.0,23870901.0,88.0,90.23499999999999
2020-06-29,20757.0,23871558.0,87.0,89.08500000000001
2020-07-06,21044.0,23874264.0,88.0,90.0
2020-07-13,21482.0,23875335.0,90.0,91.84999999999998
2020-07-20,22099.0,23878702.0,93.0,94.525
2020-07-27,22150.0,23880573.0,93.0,94.87999999999998
2020-08-03,22313.0,23881778.0,93.0,95.38499999999999
2020-08-10,23123.0,23884283.0,97.0,98.775
2020-08-17,22986.0,23885391.0,96.0,98.27
2020-08-24,23145.0,23884985.0,97.0,98.95000000000003
2020-08-31,22340.0,23884934.0,94.0,95.48
2020-09-07,24654.0,23890346.0,103.0,105.035
2020-09-14,25378.0,23890228.0,106.0,107.98000000000003
2020-09-21,25478.0,23894692.0,107.0,108.77999999999999
2020-09-28,25848.0,23896798.0,108.0,110.37
2020-10-05,25597.0,23902429.0,107.0,108.91499999999999
2020-10-12,25530.0,23906292.0,107.0,108.60000000000001
2020-10-19,25490.0,23910366.0,107.0,108.665
2020-10-26,23807.0,23915197.0,100.0,101.60499999999998
2020-11-02,22392.0,23919338.0,94.0,95.335
2020-11-09,22020.0,23923444.0,92.0,93.74499999999998
2020-11-16,19314.0,23927287.0,81.0,82.075
2020-11-23,15299.0,23930228.0,64.0,65.03999999999999
2020-11-30,1912.0,23932636.0,8.0,8.279999999999998
2020-12-07,0.0,23935904.0,0.0,0.0
2020-12-14,0.0,23938963.0,0.0,0.0
